시군구,IT·정보통신,건설·부동산,교육,금융·보험,기타,미상,보건·의료·복지,사업·전문서비스,운수·물류,유통·판매·무역,음식·숙박·여가,제조,공고수
강서구,0.8,4.2,1.7,0.2,4.6,18.0,3.5,3.8,3.0,6.9,2.7,50.6,3839
해운대구,4.9,5.2,5.1,0.7,8.3,21.6,15.0,8.5,0.9,8.4,14.5,6.9,2960
부산진구,2.7,4.2,6.9,3.1,5.9,25.0,24.5,8.2,2.3,5.6,7.4,4.1,2526
기장군,0.8,3.0,2.8,0.2,8.5,20.2,9.9,3.4,1.2,6.3,8.1,35.6,1749
사상구,1.2,4.1,1.8,0.1,4.4,24.3,10.3,4.4,0.9,9.6,1.7,37.1,1745
사하구,0.5,4.1,3.3,0.1,5.8,24.1,18.8,3.2,1.9,5.4,3.9,28.8,1476
동래구,1.3,5.7,9.7,1.3,7.5,20.0,32.3,6.0,0.3,5.7,5.8,4.4,1220
남구,5.1,5.5,4.2,1.2,6.3,24.1,21.5,8.1,3.7,6.2,7.0,7.2,1211
금정구,2.1,8.8,4.1,0.5,5.7,20.9,21.9,5.0,2.5,9.0,5.9,13.6,1101
연제구,1.8,6.3,5.7,2.9,5.4,26.7,22.2,12.1,0.4,7.0,7.5,2.1,1059
수영구,1.4,7.0,3.7,0.5,6.4,25.4,24.8,5.7,0.5,7.4,12.3,4.8,1039
동구,4.1,4.9,1.8,5.1,5.9,25.3,16.6,8.6,5.1,6.4,9.2,7.0,871
북구,3.3,4.8,4.8,0.7,4.2,27.8,33.8,4.7,1.2,4.1,3.5,6.9,807
중구,3.0,5.2,1.1,0.3,5.2,24.9,14.7,7.8,10.2,11.1,13.1,3.6,696
서구,0.0,4.8,2.2,0.0,5.4,27.2,22.2,7.4,3.1,11.5,6.1,10.0,459
영도구,1.6,3.4,3.2,0.0,6.1,22.9,14.9,4.3,3.6,4.8,7.5,27.8,442
