KECO중분류,세세분류수,대표명칭,직종분류코드,직종분류명,근거
01,48,의회 의원 / 고위 공무원 및 정당‧특수 단체 임원 / 기업 대표 및 기업 고위 임원,01,경영·사무·금융·보험직,의회의원·고위공무원·기업임원·행정관리자 — 경영
02,128,"정부 행정 전문가 / 행정사 / 경영 및 진단 전문가(경영 컨설턴트, M&A·창업·인증심사·FTA)",01,경영·사무·금융·보험직,행정·경영·회계·광고·상품기획 전문가 및 사무원
03,22,투자 및 신용 분석가(애널리스트) / 자산 운용가(펀드매니저) / 금융 및 보험 상품 개발자,01,경영·사무·금융·보험직,투자분석·자산운용·보험 — 금융·보험
11,2,인문과학 연구원 / 사회과학 연구원,02,연구직 및 공학기술직,인문·사회과학 연구원
12,7,자연과학 연구원 / 자연과학 시험원 / 생명과학 연구원,02,연구직 및 공학기술직,자연·생명과학 연구원 및 시험원
13,38,컴퓨터 하드웨어 기술자 및 연구원 / 통신공학 기술자 및 연구원 / 통신기기·장비 개발자 및 연구원,13,정보통신관련직,컴퓨터 하드웨어·통신공학·소프트웨어 개발 — 정보통신
14,22,건축가(건축설계 포함) / 건축공학 기술자 / 건축 현장소장,02,연구직 및 공학기술직,건축가·건축공학 기술자 — 공학기술
15,73,기계공학 기술자 및 연구원 / 산업기계공학 기술자 및 연구원 / 건설기계공학 기술자 및 연구원,02,연구직 및 공학기술직,기계·금형·재료·전기전자·화공·환경 공학기술자
21,53,"대학 교수 / 대학 강사(초빙,겸임,BK,강의전담 교수 등 비전임교원 포함) / 중·고등학교 교사",03,교육·법률·사회복지·경찰·소방직 및 군인,대학교수·교사·강사 — 교육
22,9,판사 및 검사 / 변호사 / 법무사 및 집행관,03,교육·법률·사회복지·경찰·소방직 및 군인,판사·검사·변호사 — 법률
23,20,사회복지사 / 사회복지사(사회복지시설) / 사회복지사(공공행정),03,교육·법률·사회복지·경찰·소방직 및 군인,사회복지사·상담사 — 사회복지
24,3,경찰관 및 수사관 / 소방관 / 소년원 학교 교사 및 교도관,03,교육·법률·사회복지·경찰·소방직 및 군인,경찰·소방·교도
25,5,영관급 이상 장교 / 위관급 장교 / 준사관,03,교육·법률·사회복지·경찰·소방직 및 군인,군인
30,39,전문 의사 / 일반 의사 / 한의사,04,보건·의료직,의사·간호사·약사·의료기사 — 보건·의료
41,74,작가 / 번역가 및 통역가 / 번역가(영어),05,예술·디자인·방송·스포츠직,작가·번역·디자이너·방송 — 예술·디자인·방송
42,15,스포츠 감독 및 코치 / 직업 운동선수 / 경기 심판 및 경기 기록원,05,예술·디자인·방송·스포츠직,스포츠
51,21,이용사 / 미용사 / 네일 관리사(손톱 관리사),06,미용·여행·숙박·음식·경비·청소직,이용·미용·피부관리
52,12,여행 상품 개발자 / 여행 사무원 / 관광 서비스 종사원,06,미용·여행·숙박·음식·경비·청소직,여행·관광
53,25,주방장 및 요리 연구가(푸드코디네이터 포함) / 한식 조리사 / 중식 조리사,06,미용·여행·숙박·음식·경비·청소직,조리·음식 서비스
54,16,경호원 / 청원경찰 / 시설 및 특수 경비원,06,미용·여행·숙박·음식·경비·청소직,경호·경비
55,8,요양보호사 / 요양보호사(노인요양사) / 재가 요양보호사,06,미용·여행·숙박·음식·경비·청소직,요양보호·간병 — 돌봄
56,25,"건물 청소원 / 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등) / 호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",06,미용·여행·숙박·음식·경비·청소직,청소·방역·가사
61,75,부동산 컨설턴트 및 중개사 / 기술 영업원 / 자동차부품 및 운송장비 기술영업원,07,영업·판매직,영업원·판매원·중개사 — 영업·판매
62,44,항공기 조종사 / 선장 및 항해사·도선사 / 철도 및 전동차 기관사,08,운전·운송직,조종사·항해사·기관사·운전원·배송 — 운전·운송
70,56,"강구조물 가공원 및 건립원(철골공) / 경량 철골공(석고보드공,텍스공,조립주택 건립원) / 철근공",09,건설·채굴직,건설 기능원·채굴 — 건설·채굴
81,68,로봇 설치 및 정비원 / 공업기계 설치 및 정비원 / 공작기계 설치·정비원,10,설치·정비·생산직,기계 설치·정비
