규칙ID,제목·토큰조건,업종조건,제외조건,직종코드,근거,적용건수
MED-영양,영양실장,,조리,305000,«영양실장» — 병원 영양실 책임자 = 영양사,1
MED-재활,재활치료실,,,306501,«재활치료실 실장» — 재활치료실 = 물리치료사,1
MED-전산,전산실장,,,13,«전산실장» — 병원 전산실 = 정보시스템 운영. 중분류 13까지만,1
MED-원무,원무,,,026502,«원무팀장» — 원무 = 병원행정 사무원(원무),2
MED-대외,대외협력,의료,,026201,«대외협력팀 팀장» — 병원 대외협력 = 마케팅·홍보 사무,1
MED-QPS,QPS,,,307600,«QPS» = Quality & Patient Safety — 환자안전 관리사,1
MED-진료실,진료실실장|교정과 실장,,,30,«진료실 실장» — 진료 보조. 간호조무사/치과위생사 구분 불가 → 중분류 30,2
MED-코디,코디|데스크|상담 ?실장|총괄실장|실장,의료|광고·홍보,조리|급식|영양실,029210,의료기관 «데스크·상담·총괄 실장» / «코디팀장» — 병원 코디네이터,10
MED-오사카,클리닉.*총괄실장,,,029210,«클리닉 총괄실장» — 병원 코디네이터,1
ENG-교정,교정실무자|계측기 교정,,,153400,«교정실무자» — 계측기 교정·시험 = 전기·전자공학 시험원,1
IT-PC정비,(PC|pc).*유지보수|IT 유지보수,,,841100,«PC IT 유지보수 엔지니어» — 컴퓨터 설치 및 수리원(A/S),1
IT-클라우드,클라우드|가상화|IT ?인프라|인프라 엔지니어|인프라\),,,136102,«클라우드·가상화·IT인프라 엔지니어» — 네트워크 관리자(클라우드컴퓨팅 운영관리자),6
IT-네트워크,NETWORK|네트워크 엔지니어,,,136102,«NETWORK 엔지니어» — 네트워크 운영·관리,1
IT-SW,소프트 엔지니어|소프트웨어 엔지니어|자바 개발자,,,133200,«소프트웨어 엔지니어 / 자바 개발자» — 응용 소프트웨어 개발자,1
IT-차량통신,차량용 통신 엔지니어,,,13,«차량용 통신 엔지니어» (FESCARO=차량 보안 SW) — 중분류 13까지만,1
IT-일본상위,상위공정,,,13,«상위공정»(上流工程) — 일본 IT 설계공정. 중분류 13까지만,1
IT-일반,AI ?엔지니어|AI엔지니어|머신러닝|AX 엔지니어|Vision AI|솔루션 엔지니어|Microsoft|Power Platform|IT ?엔지니어|IT엔지니어|프로덕트 엔지니어|플랫폼 엔지니어|데이터 엔지니어|벡엔드|백엔드|IT 팀장|티맥스,,,13,"IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만",21
ENG-제어,PLC제어|모션제어|머신비전|공장자동화,,,153102,«PLC·모션제어·머신비전» — 전기계측 제어 기술자(공정자동화),3
ENG-CAE,CAE|구조해석|소음 진동,,,151100,«구조해석 CAE 엔지니어» — 기계공학 기술자 및 연구원,1
ENG-차량,차량실험|실험/인증,,,151108,«차량실험/인증 엔지니어» — 자동차공학 기술자 및 연구원,2
ENG-방산,방위산업,,,15,«방위산업 엔지니어» — 기계·전기 공학기술직. 중분류 15까지만,1
ENG-CNC,CNC 엔지니어|공정설계,,,15,«CNC 엔지니어 / 공정설계» — 기계 공학기술직. 중분류 15까지만,1
ENG-수석,Chief Engineer|수석 엔지니어,,,15,«Chief Engineer» — 전기·설비·기계 총괄 기술자. 중분류 15까지만,1
ENG-PM,Project Manager|프로젝트 매니져,기계·설비·자동차|조선·항공·우주|액체 여과기|기타제조업|금속·재료·철강·요업,,15,«기술 프로젝트 매니져» + 기계 업종 — 공학기술직. 중분류 15까지만,1
FIX-승강기,승강기,,,811300,«승강기 유지관리 엔지니어» — 승강기 설치 및 정비원,1
FIX-자동차,자동차 AS|AS 업무 엔지니어|현대자동차,,,812400,«자동차 A/S 엔지니어» — 자동차 정비원,1
FIX-의료기기,의료기기.*엔지니어,,,832904,«의료기기 로봇/필드 엔지니어» — 의료기기·장비 설치·수리원,1
FIX-정수기,교원웰스,,,832204,«교원웰스 엔지니어» — 정수기·냉온수기 설치 및 수리원,1
FIX-내비,아이나비,,,832906,«아이나비 서비스센터 엔지니어» — 영상·음향기기 등 설치·수리원,1
FIX-전력인프라,전력 인프라,,,83,«데이터센터 전력 인프라 유지보수» — 전기·전자 설치·정비. 중분류 83까지만,1
FIX-항해통신,항해 통신,,,83,«항해 통신 엔지니어» — 선박 통신장비 설치·정비. 중분류 83까지만,2
FIX-BWMS,BWMS|BWTS|커미셔닝|테크로스,,,81,«BWMS/BWTS 서비스 엔지니어» — 선박 기계장비 설치·정비. 중분류 81까지만,4
FIX-장비,(공기압축기|밸브|산업장비|커팅장비|레이저 장비|유압)(?=.*(엔지니어|A/?S|서비스|정비)),,,81,장비명 + «A/S·서비스 엔지니어» — 기계장비 설치·정비. 중분류 81까지만. 장비명만으로는 못 붙인다 — 고용24 정답에 «원광밸브(주) 영업관리»(사무직) 처럼 회사명에 장비명이 든 공고가 있다,7
FIX-전기업종,엔지니어,전기·전자·제어|하드웨어·장비|반도체·광학·LCD,,83,«엔지니어» + 전기·전자·제어 업종 — 전기·전자 설치·정비. 중분류 83까지만,3
