공고ID,직종코드,메모
KR2026090700005376,026501,수작업 — 총무 및 일반 사무원
KR2026090700015103,420400,수작업 — 스포츠 강사 및 트레이너
KR2026090700015204,307500,수작업 — 간호조무사
KR2026090700015229,028100,수작업 — 무역 사무원
KR2026090700015315,702900,수작업 — 기타 건축 마감 관련 기능 종사원
KR2026090700015336,2142,수작업 — 상위 2142자리
KR2026090700015355,029203,수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700015372,813201,수작업 — CNC 선반 조작원(NC 선반 조작원)
KR2026090700015412,834002,수작업 — 빌딩 전기관리원
KR2026090700015443,612106,"수작업 — IT 기술영업원(전산장비,소프트웨어)"
KR2026090700015462,832906,수작업 — 영상·음향기기 등 기타 전기·전자 기기 설치·수리원
KR2026090700015473,133200,수작업 — 응용 소프트웨어 개발자
KR2026090700015497,029203,수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700015509,614000,수작업 — 텔레마케터
KR2026090700015533,033201,수작업 — 보험 대리인 및 중개인
KR2026090700015622,2147,수작업 — 상위 2147자리
KR2026090700015668,532202,수작업 — 일반 음식점 접객서빙원
KR2026090700015733,82,수작업 — 상위 82자리
KR2026090700015752,872100,수작업 — 정육 가공원 및 도축원
KR2026090700015789,153,수작업 — 상위 153자리
KR2026090700015882,2142,수작업 — 상위 2142자리
KR2026090700016145,028100,수작업 — 무역 사무원
KR2026090700016378,306400,수작업 — 치과위생사
KR2026090700016403,214202,수작업 — 수학 강사
KR2026090700016544,872100,수작업 — 정육 가공원 및 도축원
KR2026090700016570,532201,수작업 — 호텔·레스토랑 웨이터·웨이트리스
KR2026090700016667,2147,수작업 — 상위 2147자리
KR2026090700016820,029202,수작업 — 콜센터 상담원(콜센터·고객센터·CS센터)
KR2026090700016825,420403,수작업 — 헬스 트레이너
KR2026090700016836,013903,수작업 — 빌딩 관리소장
KR2026090700016879,550102,수작업 — 재가 요양보호사
KR2026090700016893,026501,수작업 — 총무 및 일반 사무원
KR2026090700016907,013903,수작업 — 빌딩 관리소장
KR2026090700016929,615500,수작업 — 상품 대여원
KR2026090700016972,3,수작업 — 상위 3자리
KR2026090700017041,214701,수작업 — 미술 강사
KR2026090700017042,616101,수작업 — 매장 계산원
KR2026090700017298,5,수작업 — 상위 5자리
KR2026090700017426,8900,수작업 — 상위 8900자리
KR2026090700017449,813200,수작업 — 금속 공작기계 조작원
KR2026090700017491,022100,"수작업 — 경영 및 진단 전문가(경영 컨설턴트, M&A·창업·인증심사·FTA)"
KR2026090700017563,871100,수작업 — 제과원 및 제빵사
KR2026090700017588,028407,수작업 — 창고 관리원(자재 검수원 포함)
KR2026090700017953,153300,수작업 — 전자공학 기술자 및 연구원
KR2026090700017956,133100,수작업 — 시스템 소프트웨어 개발자
KR2026090700017984,4,수작업 — 상위 4자리
KR2026090700018208,6,수작업 — 상위 6자리
KR2026090700018257,032300,수작업 — 보험 심사원 및 사무원
KR2026090700018286,027100,수작업 — 회계 사무원
KR2026090700018299,532201,수작업 — 호텔·레스토랑 웨이터·웨이트리스
KR2026090700018323,153300,수작업 — 전자공학 기술자 및 연구원
KR2026090700018327,133100,수작업 — 시스템 소프트웨어 개발자
KR2026090700018412,028100,수작업 — 무역 사무원
KR2026090700018415,531500,수작업 — 일식 조리사
KR2026090700018539,420403,수작업 — 헬스 트레이너
KR2026090700018545,611000,수작업 — 부동산 컨설턴트 및 중개사
