토큰,직종코드,직종명,직종분류코드,직종분류명,출처,순도,건수,근거
생산,,,10,설치·정비·생산직,학습,71%,268,정답 268건 중 189건이 10 설치·정비·생산직 — 세세분류는 흩어진다
가공,,,10,설치·정비·생산직,학습,86%,214,정답 214건 중 183건이 10 설치·정비·생산직 — 세세분류는 흩어진다
기계,,,10,설치·정비·생산직,학습,59%,210,정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
제조,,,10,설치·정비·생산직,학습,62%,197,정답 197건 중 122건이 10 설치·정비·생산직 — 세세분류는 흩어진다
청소,,,06,미용·여행·숙박·음식·경비·청소직,학습,85%,165,정답 165건 중 140건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
사무,,,01,경영·사무·금융·보험직,학습,82%,165,정답 165건 중 136건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
포장,,,10,설치·정비·생산직,학습,80%,142,정답 142건 중 114건이 10 설치·정비·생산직 — 세세분류는 흩어진다
조리,,,06,미용·여행·숙박·음식·경비·청소직,학습,94%,127,정답 127건 중 119건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
조립,,,10,설치·정비·생산직,학습,87%,110,정답 110건 중 96건이 10 설치·정비·생산직 — 세세분류는 흩어진다
제작,,,10,설치·정비·생산직,학습,62%,104,정답 104건 중 65건이 10 설치·정비·생산직 — 세세분류는 흩어진다
설계,,,02,연구직 및 공학기술직,학습,77%,86,정답 86건 중 66건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
용접,,,10,설치·정비·생산직,학습,87%,75,정답 75건 중 65건이 10 설치·정비·생산직 — 세세분류는 흩어진다
설비,,,10,설치·정비·생산직,학습,54%,67,정답 67건 중 36건이 10 설치·정비·생산직 — 세세분류는 흩어진다
교사,232100,보육교사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,61%,67,정답 67건 중 41건이 232100 보육교사
조리사,,,06,미용·여행·숙박·음식·경비·청소직,학습,97%,67,정답 67건 중 65건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
선박,,,10,설치·정비·생산직,학습,54%,65,정답 65건 중 35건이 10 설치·정비·생산직 — 세세분류는 흩어진다
도면,,,02,연구직 및 공학기술직,학습,52%,61,정답 61건 중 32건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
회계,,,01,경영·사무·금융·보험직,학습,95%,59,정답 59건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
돌봄,,,06,미용·여행·숙박·음식·경비·청소직,학습,70%,57,정답 57건 중 40건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
경리,,,01,경영·사무·금융·보험직,학습,98%,57,정답 57건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
조선,,,10,설치·정비·생산직,학습,54%,54,정답 54건 중 29건이 10 설치·정비·생산직 — 세세분류는 흩어진다
품질관리,,,01,경영·사무·금융·보험직,학습,75%,52,정답 52건 중 39건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
위생,,,06,미용·여행·숙박·음식·경비·청소직,학습,56%,50,정답 50건 중 28건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
세무,027102,회계 사무원(회계·세무 사무소),01,경영·사무·금융·보험직,학습,74%,42,정답 42건 중 31건이 027102 회계 사무원(회계·세무 사무소)
생산관리,,,01,경영·사무·금융·보험직,학습,83%,41,정답 41건 중 34건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
시공,,,02,연구직 및 공학기술직,학습,62%,40,정답 40건 중 25건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
물류,,,01,경영·사무·금융·보험직,학습,62%,39,정답 39건 중 24건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
금형,,,10,설치·정비·생산직,학습,81%,37,정답 37건 중 30건이 10 설치·정비·생산직 — 세세분류는 흩어진다
건축,,,02,연구직 및 공학기술직,학습,50%,36,정답 36건 중 18건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
간호,,,04,보건·의료직,학습,79%,34,정답 34건 중 27건이 04 보건·의료직 — 세세분류는 흩어진다
소방,,,02,연구직 및 공학기술직,학습,61%,33,정답 33건 중 20건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
설치,,,10,설치·정비·생산직,학습,55%,33,정답 33건 중 18건이 10 설치·정비·생산직 — 세세분류는 흩어진다
권선공,890000,기타 제조 관련 단순 종사원,10,설치·정비·생산직,학습,100%,29,정답 29건 중 29건이 890000 기타 제조 관련 단순 종사원
노인복지시설,231101,사회복지사(사회복지시설),03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,29,정답 29건 중 29건이 231101 사회복지사(사회복지시설)
장애인복지시설등,231101,사회복지사(사회복지시설),03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,29,정답 29건 중 29건이 231101 사회복지사(사회복지시설)
회계사무원(회계사무소),027102,회계 사무원(회계·세무 사무소),01,경영·사무·금융·보험직,학습,100%,29,정답 29건 중 29건이 027102 회계 사무원(회계·세무 사무소)
기자,,,10,설치·정비·생산직,학습,50%,28,정답 28건 중 14건이 10 설치·정비·생산직 — 세세분류는 흩어진다
총무,,,01,경영·사무·금융·보험직,학습,96%,27,정답 27건 중 26건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
배관,,,10,설치·정비·생산직,학습,58%,26,정답 26건 중 15건이 10 설치·정비·생산직 — 세세분류는 흩어진다
보육,232100,보육교사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,73%,26,정답 26건 중 19건이 232100 보육교사
구매,,,01,경영·사무·금융·보험직,학습,92%,26,정답 26건 중 24건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
사회복지,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,71%,24,정답 24건 중 17건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
채용담당,550102,재가 요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,62%,24,정답 24건 중 15건이 550102 재가 요양보호사
