사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
게임잡,넥슨게임즈,[퍼스트 디센던트] 전분야 채용,"게임개발(클라이언트), 모델링, 애니메이션, 이펙트·FX, 게임기획",경력무관,정규직,서울 > 강남구,"클라이언트, VisualC, VisualC++, C, C++, 배경, 원화, 캐릭터원화, 배경원화, 포토샵, 몬스터, 모델링, 캐릭터, 이펙트, FX, 게임기획, 밸런스기획, 레벨기획, 시스템기획, 컨텐츠  클라이언",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=242587,,2026-09-07 17:57:58
게임잡,넥슨게임즈,[던전앤파이터 아라드]  전분야 채용,"게임개발(클라이언트), 모델링, 애니메이션, 이펙트·FX, 게임기획",경력무관,정규직,서울 > 강남구,"클라이언트, VisualC, VisualC++, C, C++, 배경, 원화, 캐릭터원화, 배경원화, 포토샵, 몬스터, 모델링, 캐릭터, 이펙트, FX, 게임기획, 밸런스기획, 레벨기획, 시스템기획, 컨텐츠  클라이언",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=242612,,2026-09-07 17:57:58
게임잡,넥슨게임즈,"[넥슨게임즈] 기획, 프로그래밍, 아트 전분야, PM 채용","게임개발(클라이언트), 애니메이션, 이펙트·FX, 게임기획, 서버",경력무관,정규직,서울 > 강남구 서울,"C++, 모바일, 인터페이스, UX·UI, 배경, 모델링, 캐릭터, 하이폴리곤, 애니메이션, 3DMax, 이펙트, 게임기획, 시나리오, PM, 서버, MS-SQL, SQL, TCP·IP, QA, TQA  C++, 모",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=246514,,2026-09-07 17:57:59
게임잡,데브캣,[마비노기 모바일] 시스템/UX 기획자 채용,"게임개발(모바일), 게임기획",경력 5년 이상,정규직,서울 > 강남구,"모바일, UX·UI, 게임기획, 시스템기획, UI·UX, 모바일UI, 마비노기모바일, 데브캣  모바일, UX·UI, 게임기획, 시스템기획, UI·UX, 모바일UI, 마비노기모바일, 데브캣",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=273029,,2026-09-07 17:57:59
게임잡,팀42,[신규프로젝트 S] 카툰스타일 이펙트 아티스트 채용,이펙트·FX,경력무관,정규직,서울 > 마포구,"모바일, 이펙트  모바일, 이펙트",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=278624,,2026-09-07 17:58:00
게임잡,블루홀스튜디오,[Bluehole Studio] Technical Artist (5년 이상) - Project V,"게임개발(클라이언트), 모델링, 애니메이션",경력 5년 이상,정규직,경기 > 성남시 분당구,"C++, TA, HLSL, 쉐이더, Shader  C++, TA, HLSL, 쉐이더, Shader",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=278833,,2026-09-07 17:58:00
게임잡,데브캣,[마비노기 모바일] 해외 라이브 서비스 기획자 채용,"게임개발(모바일), 게임기획",경력 3년 이상,정규직,서울 > 강남구,"게임기획, 밸런스기획, 유료화, 해외서비스, 해외, 이벤트, 일본, 일본서비스, 마비노기, 마비노기모바일  게임기획, 밸런스기획, 유료화, 해외서비스, 해외, 이벤트, 일본, 일본서비스, 마비노기, 마비노기모바일",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=281022,,2026-09-07 17:58:01
게임잡,드림에이지(구 HYBE IM),[DRIMAGE(구 하이브IM)-K스튜디오] 게임 시스템 기획(MMORPG),게임기획,경력 3년 이상,정규직,서울 > 강남구,"컨텐츠, 기획, 시스템, 게임  컨텐츠, 기획, 시스템, 게임",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=281343,,2026-09-07 17:58:01
게임잡,드림에이지(구 HYBE IM),[DRIMAGE(구 HYBE IM)-K스튜디오] 애니메이터(MMORPG),애니메이션,경력 5년 이상,정규직,서울 > 강남구,"mmorpg, 애니메이터  mmorpg, 애니메이터",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=281344,,2026-09-07 17:58:02
게임잡,넷마블네오,[넷마블네오] 개발 3본부 PM 담당 채용,"게임개발(모바일), 게임기획",경력 3년 이상,정규직,서울 > 구로구,"모바일, 3D, 레벨, 3DSmax, 캐릭터, 애니메이션, CharacterStudio, 3DMax, Maya, 플래쉬애니메이션, Physique, 메카닉, 오브젝트, 라이트웨이브, 소프트이미지, TA, 아트, 언리",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=281427,,2026-09-07 17:58:02
게임잡,슈퍼캣,[슈퍼캣 / 도깨비의세계] 경제 밸런스 기획자 채용 (경력),게임기획,경력 3년 이상,정규직,서울 > 강남구 수인분당선,"게임기획, 밸런스기획, 시스템기획  게임기획, 밸런스기획, 시스템기획",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=281522,,2026-09-07 17:58:03
게임잡,기어세컨드,[Project TTT] 서브컬쳐 캐주얼 게임 기획자,게임기획,경력 2년 이상,정규직,서울 > 성동구,"모바일, 레벨, 컨셉, 게임기획, 시나리오, 퀘스트, 밸런스기획, 레벨기획, 시스템기획, 컨텐츠  모바일, 레벨, 컨셉, 게임기획, 시나리오, 퀘스트, 밸런스기획, 레벨기획, 시스템기획, 컨텐츠",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=281527,,2026-09-07 17:58:03
게임잡,기어세컨드,[기어세컨드] 2D 게임 그래픽 아티스트,"인터페이스 디자인, 원화, 이펙트·FX",경력무관,정규직,서울 > 성동구,"모바일, 인터페이스, UX·UI, 원화, 캐릭터원화, 컨셉, 포토샵, 도트, 몬스터, 캐릭터, 이펙트, AD  모바일, 인터페이스, UX·UI, 원화, 캐릭터원화, 컨셉, 포토샵, 도트, 몬스터, 캐릭터, 이펙트, ",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=281560,,2026-09-07 17:58:04
