공고URL,직종코드,담당업무,직종,직무키워드,학력,경력,급여,근무형태,상세주소,모집인원,수집시각
https://www.jobkorea.co.kr/Recruit/GI_Read/5616443/Ext?siteCode=WN&sc=,561101,"CGV 부산 센텀시티점 미화원 구인 합니다. 주 업무 : CGV 부산 센텀시티점 내 미화업무 (상영관청소,분리수거 및 화장실 청소 등 미화업무 일체)","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",-,학력무관,관계없음,월급 175만원 ~ 175만원,고용형태,"부산광역시 해운대구 센텀남대로 35, 8층 CGV 센텀시티 (우동)",1명,2026-09-08 20:57:50
https://www.jobkorea.co.kr/Recruit/GI_Read/5616442/Ext?siteCode=WN&sc=,834002,"[ 근무 조건 ] - 근무 요일 : 월~금 (주 5일 근무 / 일일 8시간 근무) - 근무 시간 : 9시 ~ 18시 (휴게 시간 12:00 ~ 13:00) - 휴 일 : 토, 일, 공휴일 단, 기상 특보(호우, 태풍 등) 발효 시 비상근무 실시(특근 수당 지급 또는 대체 휴무 실시) [ 급여 조건 ] - 급 여 : 3,200,000원 / 구정, 추석, 여름 휴가 시 상여금 지급 - 연차수당 : 연차 휴가 미 사용 시 지급(연차 휴가 사용 필수) - 퇴 직 금 : 1년 이상 근무 시 퇴직 시 지급 - 기계설비 중급이상, 정보통신 고급 이상 자격증 소지 시 수당 별도 지급 [ 업무 내용 ] - 자격조건 : 수전설비 2,500kw, 발전설비 360kw이상 선임가능자 - 근 무 지 : 해운대구 좌동 상가빌딩 전기안전관리자 - 상가 시설물 중 전기 관련 시설물에 대한 관리 업무 및 검침 업무 - 소방, 기계 등의 관리 업무는 담당자 별도 근무하나 긴급 시 협력하여 근무 [ 근로 계약 ] - 3개월 근로 후 상호 이의 없을 시 자동 연장 됨 [ 우대 사항 ] 고령자가능, 상가 근무 경험자, 인근 거주자 우대",빌딩 전기관리원,빌딩전기기계관리원,고졸~대졸(4년),경력,월급 320만원 ~ 320만원,고용형태,부산광역시 해운대구 해운대로 814 (좌동),1명,2026-09-08 20:57:51
https://www.jobkorea.co.kr/Recruit/GI_Read/5617571/Ext?siteCode=WN&sc=,550100,"- 주간보호센터 요양보호사 업무 - 요양보호사 , 운전면허 1종 필수",요양보호사,-,학력무관,관계없음,월급 216만원 ~ 236만원,고용형태,부산광역시 북구 중리로 32 (만덕동),1명,2026-09-08 20:57:51
https://www.jobkorea.co.kr/Recruit/GI_Read/5617591/Ext?siteCode=WN&sc=,550101,"<2교대 요양보호사 모집> 1. 모집기간 : 2026.09.08 - 2026.09.22 2. 근무지역 : 부산광역시 서구 3. 근무형대 : 계약직(3개월 후 정규직 전환 검토) / 생활실 2교대 근무 4. 근무시간 : 낮 07:40~17:40 (휴게2시간) 야간 17:40~07:40 (주간1, 야간4.5시간 휴게) 월8회이상 휴무, 야간근무 5-8회 5. 급여 : 26년 기본급 2,156,880 + 연장수당 및 야간수당 + 복지수당 6만원 / 3개월 계약직 이후 장기계약전환검토 / 중식제공 / 4대보험 가입 / 연차제공 6. 자격 및 경력 :요양보호사 자격 필수/ 경력자, 인근거주자 우대 7. 이력서 제출 - 전자우편 sdsr3315@daum.net / fax : 051) 255-3316",요양보호사(노인요양사),요양보호사,학력무관,관계없음,월급 215만원 이상,고용형태,"부산광역시 서구 암남공원로 522, 신관 (암남동)",2명,2026-09-08 20:57:51
https://www.jobkorea.co.kr/Recruit/GI_Read/5616625/Ext?siteCode=WN&sc=,550102,"**방문요양구인** * 등 급 : 3등급 * 성 별 : 남 * 근 무 일 : 주6회 ( 월, 화, 수, 목, 금, 토 ) * 근무시간 : 4시간 ( 15:30 ~ 19:30 ) * 근무처(도로명) : 부산 동래구 금강로151번길 46 (온천동, 래미안포레스티지) 109동 * 직 무 내 용 : 가사지원, 생활활동지원, 개인활동지원, 정서지원 * 경력자 및 인근거주자 우대 * 실제서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 근무지마다 주소정근로시간이나 임금, 근무지 등에 차이가 있을 수 있음 * - 시급 10,320 원 + 제세수당 별도문의",재가 요양보호사,재가요양보호사,학력무관,관계없음,"시급 10,320원 ~ 10,320원",고용형태,"부산광역시 동래구 금강로151번길 46, 109동 (온천동, 래미안포레스티지)",1명,2026-09-08 20:57:51
https://www.jobkorea.co.kr/Recruit/GI_Read/5616626/Ext?siteCode=WN&sc=,532301,"서빙, 주방보조 방문 전 전화하셔서, 약속 정해주세요.",주방 보조원(일반 음식점),-,학력무관,관계없음,"시급 10,320원 ~ 10,320원",고용형태,"부산광역시 사상구 운산로 68, 1층 (괘법동)",1명,2026-09-08 20:57:51
https://www.jobkorea.co.kr/Recruit/GI_Read/5616745/Ext?siteCode=WN&sc=,550101,"[동대신동]주말요양보호사 -4등급 70대 여자어르신, 독거 -주2일 토/일 -토요일 14시 ~17시(3시간) -일요일 9시 ~ 13시(4시간) -일상생활지원, 대중탕 목욕 동행 -시급, 제수당 13,000원(일요일 가산수당 별도) -영산3동 아파트 정거장 인근",요양보호사(노인요양사),-,학력무관,신입,"시급 10,320원 ~ 13,000원",고용형태,"부산광역시 서구 중앙공원로 7, 인근 (동대신동2가)",1명,2026-09-08 20:57:51
https://www.jobkorea.co.kr/Recruit/GI_Read/5616967/Ext?siteCode=WN&sc=,811206,원심분리기 생산 및 정비,기타 공업기계 설치·정비원,-,학력무관,경력,"연봉 4,000만원 ~ 5,000만원",고용형태,부산광역시 강서구 입소신평길 46 (대저2동),1명,2026-09-08 20:57:51
https://www.jobkorea.co.kr/Recruit/GI_Read/5616978/Ext?siteCode=WN&sc=,813201,1. CNC 선반(화낙 프로그램) 기사 및 오퍼레이터 모집 - 15인치/10인치 선반 가능한 분 2. 범용 선반원 모집(950*6000),CNC 선반 조작원(NC 선반 조작원),CNC선반기능원,학력무관,경력,"연봉 4,500만원 이상",고용형태,부산광역시 사상구 학장로317번길 52 (학장동),3명,2026-09-08 20:57:52
https://www.jobkorea.co.kr/Recruit/GI_Read/5617590/Ext?siteCode=WN&sc=,542002,- 출입자에 대한 감시 통제 업무 - 신임경비교육이수증 필수,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",청사경비원,학력무관,관계없음,월급 274만원 ~ 274만원,고용형태,"부산광역시 부산진구 진남로 554, 양정자이더샵SK뷰 (양정동, 양정자이더샵SKVIEW 2단지)",1명,2026-09-08 20:57:52
