사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
널스케이프,,[화성] 100병상 규모의 신규개원 병동 책임간호사 선생님 모집(1인실기숙사가능),부서무관>병동 3교대,,"4,200 ~ 4,700만원",경기,,,https://job.nurscape.net/Jobs/Details/312431,,2026-09-07 17:04:36
널스케이프,,[서울] 병동 간호사 모집 (4000만원 이상),신경외과>병동 3교대,,"4,000 ~ 4,500만원",서울,,,https://job.nurscape.net/Jobs/Details/316814,,2026-09-07 17:04:36
널스케이프,,[경기] 상근 근무 희망하는 스크럽 경력자! 일단 Click!,수술실>스크럽,,"3,200 ~ 4,200만원",경기,,,https://job.nurscape.net/Jobs/Details/338532,,2026-09-07 17:04:37
널스케이프,,[경기] 1인실 오피스텔 척관절 병동 간호사 채용,정형외과>병동 3교대,,"3,800 ~ 4,700만원",경기,,,https://job.nurscape.net/Jobs/Details/360456,,2026-09-07 17:04:38
널스케이프,,너스케입 커리어 파트너 우수인재를 모집합니다. (성과보상),,,,,,,https://job.nurscape.net/Jobs/Details/385401,,2026-09-07 17:04:39
널스케이프,,[경기/의정부] #어린이병원 병동 간호사 #DE킵,병동간호사(3교대)>병동>소아청소년과,,"3,700 ~ 4,300만원",경기,,,https://job.nurscape.net/Jobs/Details/503747,,2026-09-07 17:04:40
널스케이프,,[경기/남양주] #척관절병원 #외래 #상담간호사 #상근직,정형외과>상담간호사,,,경기,,,https://job.nurscape.net/Jobs/Details/527180,,2026-09-07 17:04:40
널스케이프,,[서울/척관절병원] #OS수술실스크럽 #경력1년이상 #기숙사 제공,특수직(미지정)>수술실>정형외과,,,서울,,,https://job.nurscape.net/Jobs/Details/533875,,2026-09-07 17:04:41
널스케이프,,[인천]종합병원 #가정전문간호사 #상근직 #증원,전문간호사(미지정)>가정전문간호사>가정의학과,,"6,000 ~ 7,000만원",인천,,,https://job.nurscape.net/Jobs/Details/544958,,2026-09-07 17:04:41
널스케이프,,[경기/판교] #3교대 #업무 강도 낮음  #OS병동 #월세지원금,병동간호사(3교대)>병동>정형외과,,"3,900 ~ 5,200만원",경기,,,https://job.nurscape.net/Jobs/Details/550886,,2026-09-07 17:04:42
널스케이프,,[서울/척관절병원] #OS 수술실 PA 경력자  #기숙사 지원,PA간호사>수술실>정형외과,,,서울,,,https://job.nurscape.net/Jobs/Details/551561,,2026-09-07 17:04:43
널스케이프,의료법인 인성의료재단 한림병원,의료법인 인성의료재단 한림병원,"[한림병원] 내시경센터, 수술센터, 종합건강증진센터 간호사 모집",1년 이상,,인천,,,https://job.nurscape.net/Jobs/Details/553868,,2026-09-07 17:04:43
널스케이프,,[경기/의정부] #어린이병원 #외래 #신규가능,외래간호사>외래>소아청소년과,,"3,300 ~ 4,200만원",경기,,,https://job.nurscape.net/Jobs/Details/557267,,2026-09-07 17:04:44
널스케이프,,[경기/평택] #상근직 #내시경실경력자 #월세지원금25까지,특수직(미지정)>내시경실>내과,,"4,500 ~ 4,500만원",경기,,,https://job.nurscape.net/Jobs/Details/565461,,2026-09-07 17:04:45
널스케이프,,[서울] #종합병원 # 내시경실 #ERCP 경력자,내시경간호사>내시경실>외과,,"3,800 ~ 4,500만원",서울,,,https://job.nurscape.net/Jobs/Details/568445,,2026-09-07 17:04:45
널스케이프,,[경기/분당] #의원 #신축 #OS병동#3교대 #월세지원금,병동간호사(3교대)>병동>정형외과,,"3,900 ~ 5,200만원",경기,,,https://job.nurscape.net/Jobs/Details/572072,,2026-09-07 17:04:46
