공고URL,채용분야,직종,자격요건,우대사항,학력,경력,고용형태,급여,근무시간,모집인원,상세주소,수집시각
https://job.nurscape.net/Jobs/Details/590576,병동간호사(DE-KEEP)>병동>소아청소년과,병동간호사(DE-KEEP),"경력 1년 이상 · 간호사면허소지, 소아병동 경력자 우대",소아병동 경력자 우대,대학교(4년),경력 1년 이상,정규직,"3800~4000만원 / 경력인정 시 연봉 협상 가능, 퇴직금 별도",주5일 07:00 ~ 15:00 / 2교대,0 명,"부산 기장군 정관로 698, 8층 8층",2026-09-09 07:08:28
https://job.nurscape.net/Jobs/Details/590714,특수직(수술실간호사)>수술실>안과,특수직(수술실간호사),경력 1년 이상 · 간호사면허소지,-,"대학(2,3년)",경력 1년 이상,계약직,3400~3600만원,주6일(토요격주휴무) 08:30 ~ 17:30,0 명,부산 해운대구 해운대로 409 부산성모안과병원,2026-09-09 07:08:29
https://job.nurscape.net/Jobs/Details/591198,외래간호사>외래>정형외과,외래간호사,"경력 15년 이상 · 간호사면허소지, 정형외과 외래 유경험자",정형외과 외래 유경험자,대학교(4년),경력 15년 이상,정규직,4000~5000만원,주6일(토요격주휴무) 09:00 ~ 18:00,1 명,부산 해운대구 해운대로 135 효성시티병원,2026-09-09 07:08:29
https://job.nurscape.net/Jobs/Details/591375,병동간호사(N-KEEP)>병동>정형외과,병동간호사(N-KEEP),경력 경력무관 · 간호사면허소지,-,"대학(2,3년)",경력 경력무관,정규직,3800~4000만원 / 연차별상이,3교대 21:00 ~ 08:00 / 2교대,0 명,부산 동구 중앙대로317 세일병원,2026-09-09 07:08:29
https://job.nurscape.net/Jobs/Details/591415,병동간호사(3교대)>병동>내외과 등,병동간호사(3교대),경력 1년 이상 · 간호사면허소지,"인근거주자, 병동 근무 능숙자, 장기근무가능자, 국가유공자","대학(2,3년)",경력 1년 이상,정규직,4000~5000만원,주5일 / 3교대,0 명,부산 동구 중앙대로 401 3관 13층 간호부,2026-09-09 07:08:30
https://job.nurscape.net/Jobs/Details/591629,병동간호사(N-KEEP)>병동>한의원,병동간호사(N-KEEP),경력 경력무관 · 간호사면허소지,-,"대학(2,3년)",경력 경력무관,정규직,"2184~2184만원 / 성과급 별도 / 연봉 21,845,520원",주3.5일 근무 / 2인이서 7일 담당. 21:00 ~ 08:00 / 2교대,1 명,"부산 중구 보수대로 16-1, 3-4층 3층 입원실",2026-09-09 07:08:30
https://job.nurscape.net/Jobs/Details/591654,병동간호사(3교대)>병동>정형외과,병동간호사(3교대),"경력 1년 이상 · 간호사면허소지, 병동 경력 1년 이상",-,"대학(2,3년)",경력 1년 이상,정규직,390만원 이상 / 성과급 별도,3교대 근무 / 3교대,0 명,부산 북구 만덕대로 37 11층 간호부,2026-09-09 07:08:30
https://job.nurscape.net/Jobs/Details/592253,병동간호사(3교대)>병동>정형외과,병동간호사(3교대),경력 경력무관 · 간호사면허소지,-,"대학(2,3년)",경력 경력무관,정규직,"3800~4500만원 / 나이트수당,이브닝 수당,간호간병병동 수당 지급",주5일 07:30 ~ 15:00,1 명,부산 서구 보수대로 9 (충무동 1가) 바른병원,2026-09-09 07:08:30
https://job.nurscape.net/Jobs/Details/592414,병동간호사(DE-KEEP)>병동>요양병원 (진료부서),병동간호사(DE-KEEP),경력 경력무관 · 간호사면허소지,경력우대,"대학(2,3년)",경력 경력무관,정규직,3600~3800만원,주5일 07:00 ~ 15:00,0 명,부산 사하구 다대로 607 타임요양병원,2026-09-09 07:08:31
https://job.nurscape.net/Jobs/Details/592510,검진센터간호사>외래>내과,검진센터간호사,경력 1년 이상 · 간호사면허소지,"장기근무가능자,",대학교(4년),경력 1년 이상,정규직,3300~3800만원 / 성과급 별도,주5일 08:00 ~ 18:00,0 명,부산 남구 유엔평화로4 갤러리메디타워 9층 10층,2026-09-09 07:08:31
https://job.nurscape.net/Jobs/Details/592839,"간호학과 실습전반 및 관련 행정업무, 기타 신라대학교에서 지정하는 업무","간호학과 실습전반 및 관련 행정업무, 기타 신라대학교에서 지정하는 업무",경력 2년 이상 · 간호사면허소지,"관련 업무 경력자 우대, 국가보훈대상자 우대",대학교(4년),경력 2년 이상,계약직,2600~2800만원 / 210,주5일 09:00 ~ 17:00,1 명,부산 사상구 백양대로 700번길 140(신라대학교) 의생명관 신라대학교 간호학과,2026-09-09 07:08:31
https://job.nurscape.net/Jobs/Details/592877,스크럽>수술실>정형외과,스크럽,"경력 1년 이상 · 간호사면허소지, 경력자 우대",-,"대학(2,3년)",경력 1년 이상,정규직,3700~5000만원 / 성과급 별도,주5일 08:00 ~ 17:30,1 명,부산 부산진구 가야대로 713 당감2동,2026-09-09 07:08:32
https://job.nurscape.net/Jobs/Details/593080,병동간호사(3교대)>병동>정형외과,병동간호사(3교대),경력 경력무관 · 간호사면허소지,-,"대학(2,3년)",경력 경력무관,정규직,"3800~4000만원 / 이브닝 수당,통합병동 수당",주5일 07:00 ~ 15:00 / 3교대,0 명,부산 사하구 다대로145,2026-09-09 07:08:32
https://job.nurscape.net/Jobs/Details/593711,상담간호사>검진센터>건강진단센터,상담간호사,경력 경력무관 · 간호사면허소지,-,"대학(2,3년)",경력 경력무관,계약직,3800~4200만원,주5일 09:00 ~ 18:00,00 명,부산 남구 전포대로 133 국제금융단지 몰 3-4층 3.4층,2026-09-09 07:08:32
https://job.nurscape.net/Jobs/Details/593896,외래간호사>외래>산부인과,외래간호사,경력 10년 이상 · 간호사면허소지,-,대학교(4년),경력 10년 이상,정규직,3800~4000만원,주6일 09:00 ~ 17:30,0 명,부산 북구 금곡대로 15 미래로 병원 부산 북구 덕천동,2026-09-09 07:08:33
https://job.nurscape.net/Jobs/Details/593898,병동간호사(3교대)>병동>산부인과,병동간호사(3교대),경력 경력무관 · 간호사면허소지,경력자 우대,"대학(2,3년)",경력 경력무관,정규직,3800~4000만원,3교대 / 3교대,0 명,부산 북구 금곡대로 15,2026-09-09 07:08:33
https://job.nurscape.net/Jobs/Details/594130,병동간호사(3교대)>병동>신경외과,병동간호사(3교대),경력 경력무관 · 간호사면허소지,-,"대학(2,3년)",경력 경력무관,정규직,4000~5000만원 / 성과급 별도 / 간호간병인센티브 100만원 전후 별도,주5일 07:00 ~ 15:00 / 3교대,0 명,"부산 동래구 중앙대로1523, 10층 인사팀",2026-09-09 07:08:33
