사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
널스케이프부산,오즈소아청소년과의원,"소아병동 D/E 2교대 간호사 (16병상, 소아주사 가능자 우대)",,,,부산,,,https://job.nurscape.net/Jobs/Details/590576,nurscape:590576,2026-09-08 14:00:37
널스케이프부산,의료법인세광의료재단성모안과병원,[부산성모안과병원] 수술간호사를 모집합니다.,,,계약직,부산,,,https://job.nurscape.net/Jobs/Details/590714,nurscape:590714,2026-09-08 14:00:38
널스케이프부산,효성시티병원,정형외과 외래 수간호사,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/591198,nurscape:591198,2026-09-08 14:00:38
널스케이프부산,세일병원,세일병원 병동 간호사를 모집합니다.,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/591375,nurscape:591375,2026-09-08 14:00:39
널스케이프부산,의료법인정화의료재단 봉생기념병원,[봉생기념병원] 병동 경력직 간호사 채용 공고,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/591415,nurscape:591415,2026-09-08 14:00:40
널스케이프부산,광덕안정한의원 부산중구점,[광덕안정한의원 부산남포동점] 입원실 나이트킵(야간당직) 간호사,,,,부산,,,https://job.nurscape.net/Jobs/Details/591629,nurscape:591629,2026-09-08 14:00:40
널스케이프부산,의료법인 신생의료재단 센트럴병원,[부산 센트럴병원] 통합병동 경력 간호사 / 마취과 경력간호사 채용,,,,부산,,,https://job.nurscape.net/Jobs/Details/591654,nurscape:591654,2026-09-08 14:00:41
널스케이프부산,바른병원,간호간병병동 3교대  간호사 구인합니다.(근무조정가능),,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/592253,nurscape:592253,2026-09-08 14:00:42
널스케이프부산,의료법인 굿타임의료재단 타임요양병원,[간호사 3교대/ S/D/E keep] 구인공고,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/592414,nurscape:592414,2026-09-08 14:00:43
널스케이프부산,대연속내과의원,대연속내과 주 5일 간호사 채용 ( IV 숙련자 모집),,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/592510,nurscape:592510,2026-09-08 14:00:43
널스케이프부산,신라대학교,신라대학교 간호학과 실습업무  조교채용 공고,,,계약직,부산,,,https://job.nurscape.net/Jobs/Details/592839,nurscape:592839,2026-09-08 14:00:44
널스케이프부산,휴병원,[휴병원] 수술실  스크럽 간호사 모집,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/592877,nurscape:592877,2026-09-08 14:00:44
널스케이프부산,강동병원,간호간병통합병동   간호사 모집합니다.,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/593080,nurscape:593080,2026-09-08 14:00:45
널스케이프부산,연세미래아이에프씨의원,유방클리닉 상담 간호사 모집(평일 주5일 근무),,,계약직,부산,,,https://job.nurscape.net/Jobs/Details/593711,nurscape:593711,2026-09-08 14:00:46
널스케이프부산,미래로병원,외래 예진실간호사(상담),,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/593896,nurscape:593896,2026-09-08 14:00:46
널스케이프부산,미래로병원,3교대 간호사(병동),,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/593898,nurscape:593898,2026-09-08 14:00:47
널스케이프부산,부산우리들병원,부산우리들병원 간호간병통합병동 간호사 모집,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/594130,nurscape:594130,2026-09-08 14:00:48
널스케이프부산,해운대나눔과행복병원,해운대나눔과행복병원 갑상선유방팀/ 정규직 채용(경력무관),,,,부산,,,https://job.nurscape.net/Jobs/Details/594177,nurscape:594177,2026-09-08 14:00:48
널스케이프부산,하단제일내과의원,"하단제일내과 인공신장실 간호사 채용(경력/신입/Day,E 전담)",,,,부산,,,https://job.nurscape.net/Jobs/Details/594301,nurscape:594301,2026-09-08 14:00:49
널스케이프부산,나르샤병원,[부산 나르샤병원] 병동간호사 모집(3교대),,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/594392,nurscape:594392,2026-09-08 14:00:50
널스케이프부산,해운대부민병원,[해운대부민병원] 감염관리실 감염관리간호사 모집,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/594451,nurscape:594451,2026-09-08 14:00:50
널스케이프부산,강림요양병원,"요양병원 이브닝킵/나이트킵 선생님 모십니다.(웨이팅,유휴 간호사 가능)",,,,부산,,,https://job.nurscape.net/Jobs/Details/594468,nurscape:594468,2026-09-08 14:00:51
널스케이프부산,롯데백화점 동래점,[롯데백화점 동래점] 의무실 휴무대체 아르바이트 모집,아르바이트,,,부산,,,https://job.nurscape.net/Jobs/Details/594520,nurscape:594520,2026-09-08 14:00:52
널스케이프부산,센텀상쾌한병원,나이트 킵 RN 모집,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/594656,nurscape:594656,2026-09-08 14:00:52
널스케이프부산,의료법인상봉의료재단 상봉요양병원,상봉요양병원 간호사 채용(DE),,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/595030,nurscape:595030,2026-09-08 14:00:53
널스케이프부산,부산돌봄의료복지사회적협동조합 돌봄과나눔의원,[돌봄과나눔의원] 재택의료센터 간호사 모집,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/595164,nurscape:595164,2026-09-08 14:00:54
널스케이프부산,굳건병원,굳건병원에서 수술실 간호사 모십니다.,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/595179,nurscape:595179,2026-09-08 14:00:54
널스케이프부산,동의대학교,동의대학교 간호학과 행정조교 모집합니다.,,,계약직,부산,,,https://job.nurscape.net/Jobs/Details/595315,nurscape:595315,2026-09-08 14:00:55
널스케이프부산,의료법인정화의료재단봉생힐링병원,[봉생힐링병원] 경력직 간호사 모집,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/595371,nurscape:595371,2026-09-08 14:00:56
널스케이프부산,금정의료소비자생활협동조합 금송요양병원,금송요양병원 데이/이브 간호사 모집(연산동),,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/595475,nurscape:595475,2026-09-08 14:00:56
널스케이프부산,금정의료소비자생활협동조합 금송요양병원,이브닝 킵  간호사 모집(부산 연산동 요양병원),,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/595477,nurscape:595477,2026-09-08 14:00:57
널스케이프부산,부산대학교병원,[부산대학교병원] 2026년도 일반직(간호직) 신규직원 블라인드 공개채용 모집 공고,,,,부산,,,https://job.nurscape.net/Jobs/Details/595516,nurscape:595516,2026-09-08 14:00:58
널스케이프부산,미래병원,(통합병동/3교대/경력무관)  간호사 채용 공고,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/595570,nurscape:595570,2026-09-08 14:00:58
널스케이프부산,영도병원,[영도병원]  병동 경력 간호사 모집,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/595714,nurscape:595714,2026-09-08 14:00:59
널스케이프부산,코스타이비인후과의원,해운대 코스타 이비인후과에서 간호사 채용합니다:D,,,계약직,부산,,,https://job.nurscape.net/Jobs/Details/595798,nurscape:595798,2026-09-08 14:01:00
널스케이프부산,열린의료재단초록의원,열린의료재단 인공신장실 간호사 모집합니다!,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/595799,nurscape:595799,2026-09-08 14:01:01
널스케이프부산,메드윌병원,[재활병원] 병동 간호사 채용합니다. (2/3교대),,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/595856,nurscape:595856,2026-09-08 14:01:01
널스케이프부산,부산대학교병원,[부산대학교병원] 혈액종양내과 CRC 업무 보조 채용(투약업무),,,,부산,,,https://job.nurscape.net/Jobs/Details/595926,nurscape:595926,2026-09-08 14:01:02
널스케이프부산,바로서면병원,바로서면병원 간호통합병동3교대 및 (데이/이브닝) 근무 간호사 모십니다.,,,,부산,,,https://job.nurscape.net/Jobs/Details/595945,nurscape:595945,2026-09-08 14:01:03
널스케이프부산,바로서면병원,바로서면병원 냇과외래 간호사모집합니다,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/595946,nurscape:595946,2026-09-08 14:01:04
널스케이프부산,힘내라병원,3교대 간호사 모집( 통합간호간병 병동),,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/596032,nurscape:596032,2026-09-08 14:01:04
널스케이프부산,맥켄지화명일신기독병원,〔맥켄지일신재활병원〕병동 3교대  간호사,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/596111,nurscape:596111,2026-09-08 14:01:05
널스케이프부산,의료법인정화의료재단 봉생기념병원,[봉생기념병원] 수술실 간호사 모집 공고,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/596356,nurscape:596356,2026-09-08 14:01:06
널스케이프부산,의료법인 은성의료재단 좋은리버뷰요양병원,좋은리버뷰요양병원 간호사 선생님 모십니다.3교대 /D-E근무,,,,부산,,,https://job.nurscape.net/Jobs/Details/596414,nurscape:596414,2026-09-08 14:01:06
널스케이프부산,주식회사 달명복지그룹,(기장) 달명스마트너싱홈 요양원 간호사 채용 공고,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/596440,nurscape:596440,2026-09-08 14:01:07
널스케이프부산,주식회사 에이아이트릭스,Clinical Application Specialist부산·울산·경남,,,,부산,,,https://job.nurscape.net/Jobs/Details/596503,nurscape:596503,2026-09-08 14:01:08
널스케이프부산,무이재한방병원,무이재한방병원 (부산점) 상담간호사 채용,,,정규직,부산,,,https://job.nurscape.net/Jobs/Details/596544,nurscape:596544,2026-09-08 14:01:08
