사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
리멤버커리어,쿠팡(주),Staff CX Researcher (Customer Experience),"리서치·분석 > 시장조사, 리서치·분석 > 기타 조사분석직, 디자인/UX > UX리서치",경력 7년~17년 차,,서울특별시 강남구,"마케팅 리서치, 소비자조사, 고객조사, 정성조사, 정량조사",채용 시 마감,https://career.rememberapp.co.kr/job/posting/11910,,2026-09-07 20:45:45
리멤버커리어,(주)벤투싹쿠아,"제조생산,생산관리,프로젝트 진행","생산·제조 > 생산관리, 생산·제조 > 공정관리",경력 1년~10년 차,,서울특별시 전체,"생산, 제조, 원자재/원재료관리, ISO, 생산관리",2028-01-31,https://career.rememberapp.co.kr/job/posting/96727,,2026-09-07 20:45:45
리멤버커리어,한인베스먼(유),부동산금융 영업(RM),금융 > 부동산금융,경력 5년~25년 차,,서울특별시 강남구,"기업금융, 부동산금융, 구조화금융, 프로젝트 파이낸싱(PF), 담보대출",채용 시 마감,https://career.rememberapp.co.kr/job/posting/98813,,2026-09-07 20:45:46
리멤버커리어,(주)프로써치코리아,핀테크서비스사 서버개발자(결제서비스),"SW개발 > 백엔드, SW개발 > 시스템 엔지니어, SW개발 > 시스템아키텍트",경력 5년~15년 차,,서울특별시 영등포구,"JAVA, Kotlin, spring boot, MS SQL, RDBMS",채용 시 마감,https://career.rememberapp.co.kr/job/posting/98815,,2026-09-07 20:45:46
리멤버커리어,(주)프로써치코리아,핀테크서비스사 데이터사이언테스트★PG사 데이터 업무★,AI·데이터 > 데이터 사이언티스트,경력 5년~8년 차,,경기도 성남시 분당구,"신용평가모형 개발, 데이터 EDA 및 피쳐 개발, 금융데이터 및 마이데이터, 대안신용평가 업무, Python",채용 시 마감,https://career.rememberapp.co.kr/job/posting/100000,,2026-09-07 20:45:46
리멤버커리어,(주)핀다,안드로이드 개발자,SW개발 > 안드로이드,경력 5년 이상,,서울특별시 강남구,안드로이드,채용 시 마감,https://career.rememberapp.co.kr/job/posting/105580,,2026-09-07 20:45:47
리멤버커리어,(주)포티투닷,Simulation Engineer (Autonomous Driving),"SW개발 > SW개발 기타, 연구개발직(R&D) > 로봇 R&D, 연구개발직(R&D) > 자동차·조선·항공 R&D",경력 3년~15년 차,,경기도 용인시 기흥구,"C++, Azure, Python, ROS2, 모션계획",채용 시 마감,https://career.rememberapp.co.kr/job/posting/107265,,2026-09-07 20:45:47
리멤버커리어,(주)프로써치코리아,Top-tier글로벌 금융사 IDC 부동산개발 과-차장급,"금융 > 부동산금융, 금융 > 부동산운용, 건설·부동산 > 부동산 개발·분양·경매",경력 6년~13년 차,,서울특별시 강남구,"부동산개발, 데이터센터 개발, IDC개발, pfv",채용 시 마감,https://career.rememberapp.co.kr/job/posting/110001,,2026-09-07 20:45:47
리멤버커리어,핵클(주),백엔드 개발자 (Software Engineer),SW개발 > 백엔드,경력 5년 이상,,서울특별시 서초구,"JAVA, Spring",채용 시 마감,https://career.rememberapp.co.kr/job/posting/110027,,2026-09-07 20:45:48
리멤버커리어,(주)프로써치코리아,[경력] 로봇용 배터리 회로설계 엔지니어 채용,"연구개발직(R&D) > 로봇 R&D, 연구개발직(R&D) > 전기·전자 R&D, 설계직·엔지니어링 > 회로설계",경력 3년~10년 차,,서울특별시 금천구,"회로설계, 전기제어, 전자제어, OrCAD, PADs",2026-09-25,https://career.rememberapp.co.kr/job/posting/112445,,2026-09-07 20:45:48
