사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
부산일자리정보망,서울플란트치과의원,서울플란트치과 [데스크사원] 치과위생사 모집,기업채용,경력무관,,"부산 부산전체,경남 경남전체,경남 김해시,경남 창원시 마산회원구,경남 밀양시,경남 양산시",,2033-01-01,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817303,saramin:817303,2026-09-07 22:32:44
부산일자리정보망,(주)마케팅몬스터,(주)마케팅몬스터 응용소프트웨어 개발 경력 채용,기업채용,경력1년↑,,부산 해운대구,,2026-10-07,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817302,saramin:817302,2026-09-07 22:32:44
부산일자리정보망,(주)젠푸드,식품제조 생산직  주간 단기 아르바이트 모집 (장기 전환 가능),기업채용,경력무관,,"부산 금정구,부산 동래구,경남 양산시",,2026-10-07,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817301,saramin:817301,2026-09-07 22:32:44
부산일자리정보망,(주)마케팅몬스터,(주)마케팅몬스터 마케터 채용,기업채용,경력무관,,부산 해운대구,,2026-10-07,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817300,saramin:817300,2026-09-07 22:32:44
부산일자리정보망,토탈밸브솔루션,문서작성 업무 직원 채용 (경력무관),기업채용,경력무관,,부산 해운대구,,2026-11-06,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817299,saramin:817299,2026-09-07 22:32:44
부산일자리정보망,기아노포대리점,기아 노포대리점 영업사원모집,기업채용,경력무관,,부산 금정구,,2026-10-07,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817298,saramin:817298,2026-09-07 22:32:44
부산일자리정보망,(주)경부산업영도지점,제품출고직원(정규직) 모집,기업채용,경력무관,,부산 영도구,,2026-10-07,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817297,saramin:817297,2026-09-07 22:32:44
부산일자리정보망,(의)은성의료재단좋은애인병원,의)은성의료재단좋은애인병원 원무과 직원 채용,기업채용,경력무관,,부산 동래구,,2026-10-07,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817296,saramin:817296,2026-09-07 22:32:44
부산일자리정보망,(주)백화,수산물 중매인 대리 겸 유통 영업사원 모집합니다.,기업채용,경력 3~10년,,부산 서구,,2026-10-07,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817295,saramin:817295,2026-09-07 22:32:44
부산일자리정보망,대선주조(주),[생산관리] 대선주조(주) 기장공장 생산관리팀,기업채용,신입,,부산 기장군,,2026-09-20,https://www.busanjob.net/view.do?no=1308&pgMode=show&id=817294,saramin:817294,2026-09-07 22:32:44
