사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각,구분,기관유형
부산장애인일자리정보망,파크하얏트부산,(긴급)[파크하얏트부산] 식음료부 지원 모집,기물세척 및 관리,,,부산 해운대구,,2026-09-25,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2485,busanjob4u:2485,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,(사)부산16개구군장애인법인연합회 복지사업단,[부산16개구군장애인법인연합회] 전자제품 조립 생산직(중증),전자제품 조립,,,부산 사상구,,2026-09-21,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2484,busanjob4u:2484,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,메드윌병원,[메드윌병원] 영양과 업무 보조원 및 환경 미화원 모집,1. 병원 내 영양과 비품 정리 및 청소 등(20kg 이상 물건 드는 일 포함) 2. 병원 환경 미화업무,,,부산 금정구,,2026-09-17,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2483,busanjob4u:2483,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,온종합병원,병동 미화근로자 모집,병동 내 미화,,,부산 부산진구,,상시채용,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2482,busanjob4u:2482,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,비뉴,"단순제조, 조립 장애인근로자 모집",단순 조립 및 제조,,,부산 사상구,,상시채용,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2481,busanjob4u:2481,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,오스템임플란트,오스템임플란트 생산직(하루 8시간 근무 / 07:30~16:30),임플란트 소재 생산 및 검사직,,,부산 해운대구,,2026-09-14,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2480,busanjob4u:2480,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,좋은문화병원,[좋은문화병원]인사총무팀 사무보조 직원 채용(경증),인사총무팀 사무보조,,,부산 동구,,2026-09-30,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=381,busanjob4u:381,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,에스와이씨앤씨(주),[급구] 학교에서 미화직으로 근무하실 분 모집합니다.,고등학교 내 건물 청소 관리,,,부산 부산진구,,상시채용,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2478,busanjob4u:2478,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,엠디비,[급구] 전자기기 부품 조립하실 분 모집합니다.,"콘센트, 의료기기 등 전자기기 부품 조립",,,부산 사하구,,상시채용,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2477,busanjob4u:2477,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,서구장애인복지관,서구장애인복지관 발달장애인 요양보호사 보조일자리사업 중도 참여자 모집,발달장애인 요양보호사 보조일자리,,,부산 서구,,2026-09-14,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2475,busanjob4u:2475,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,부산 일신기독병원,장애인 근로자를 모집합니다.,린넨 보조 업무 및 물품 지원 업무,,,부산 동구,,상시채용,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2474,busanjob4u:2474,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,(주)엔씨서비스,[엔씨서비스] 2026년 하반기 장애인 인턴 채용(고객상담),"게임 공식 커뮤니티 관리, 게임 관련 상담 등 고객 지원 업무 수행",,,부산 동구,,2026-09-27,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2473,busanjob4u:2473,2026-09-08 14:53:36,채용모집,민간
부산장애인일자리정보망,이루리터,"이루리 터 임가공, LED생산 근로장애인 채용(중증장애인)","임가공조립, LED 생산",,,부산 사하구,,2026-09-11,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=380,busanjob4u:380,2026-09-08 14:53:38,채용모집,민간
부산장애인일자리정보망,태진여객(주),[태진여객] 시내버스 현금계수 및 총무·노무 보조원 모집,시내버스 현금계수 업무 및 일반 총무보조 업무(운전 가능자) 1명 / 차량 배차 자료 입력 및 관리 등 각 종 사무보조 업무(엑셀 가능자) 1명,,,부산 북구,,2026-09-30,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2471,busanjob4u:2471,2026-09-08 14:53:38,채용모집,민간
부산장애인일자리정보망,좋은문화병원,[좋은문화병원] 중앙공급실 직원 채용(중증),"기구세척, 소독물정리, 린넨류 정리정돈",,,부산 동구,,2026-09-30,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=379,busanjob4u:379,2026-09-08 14:53:38,채용모집,민간
부산장애인일자리정보망,주식회사 아난티 오시리아 제1지점,(긴급)[빌라쥬 드 아난티] 기물관리 파트 정직원 채용(중증),기물세척 및 핸들링,,,부산 기장군,,2026-09-11,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2470,busanjob4u:2470,2026-09-08 14:53:38,채용모집,민간
부산장애인일자리정보망,세화플러스 주식회사,(명지동) 대방 노블랜드 오션뷰 1차 여자 미화원 모집,아파트 청소,,,부산 강서구,,2026-10-02,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=378,busanjob4u:378,2026-09-08 14:53:38,채용모집,민간
부산장애인일자리정보망,주식회사 코페아,(주)코페아 예다방 카페 매장 직원 모집(중증),"최소 6개월 전까지는 설거지, 매장청소 업무 이후 테스트를 통해 픽업업무, 음료보조 업무 교육을 진행합니다.",,,부산 금정구,,2026-09-21,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=377,busanjob4u:377,2026-09-08 14:53:38,채용모집,민간
부산장애인일자리정보망,더희망찬병원,[더희망찬병원] 미화원 채용(중증),병원 청소 업무,,,부산 금정구,,2026-09-21,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2469,busanjob4u:2469,2026-09-08 14:53:38,채용모집,민간
부산장애인일자리정보망,비뉴,서면역 지하상가 미화원 모집,"서면역 지하상가 분리수거, 미화업무",,,부산 부산진구,,상시채용,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2468,busanjob4u:2468,2026-09-08 14:53:38,채용모집,민간
부산장애인일자리정보망,월드퍼니처,생산보조 장애인근로자 모집,"의자 및 책상 먼지제거, 포장",,,부산 강서구,,상시채용,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2467,busanjob4u:2467,2026-09-08 14:53:38,채용모집,민간
부산장애인일자리정보망,(주)늘,임가공 및 배달 업무 종사자를 구인합니다.,"임가공: 전자부품 조립, 꽃 손질 및 청소 등  / 배달 : 도보로 꽃을 배달(지하철 이용 등 가능하신 분)",,,부산 북구,,2026-09-14,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2465,busanjob4u:2465,2026-09-08 14:53:38,채용모집,민간
부산장애인일자리정보망,행복한울 주식회사,[행복한울] 차량 세차 직원 채용(중증),업무용 차량 손세차,,,부산 부산진구,,2026-09-25,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2463,busanjob4u:2463,2026-09-08 14:53:39,채용모집,민간
부산장애인일자리정보망,컴피 장애인복지자립협회,사상구 단순 제조 구인,콘센트 부품 조립,,,부산 사상구,,상시채용,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2460,busanjob4u:2460,2026-09-08 14:53:39,채용모집,민간
부산장애인일자리정보망,(주)비앤에이서비스,[B&A] 사상구 아파트 경비원 모집,아파트 단지 내 경비업무,,,부산 사상구,,2026-09-18,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2458,busanjob4u:2458,2026-09-08 14:53:39,채용모집,민간
부산장애인일자리정보망,의료법인 호산나의료재단 현대요양병원,요양병원 간병사 모집,"어르신의 돌봄, 투약 및 건강 상태 확인, 위생 관리(기저귀 교체 포함 등)",,,부산 사하구,,2026-09-10,https://busanjob4u.net/view.do?no=122&pgMode=show&rcrtSeq=2455,busanjob4u:2455,2026-09-08 14:53:39,채용모집,민간
