사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
워크투게더,주)플라이쿱,"[서울북부지사] (주)플라이쿱 진건공장 미싱사, 재단보조, 시다, 생산보조 직원 모집(~9.13. 12:00)",생산 (일반구인),,,경기도 남양주시,,2026-09-13,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=1,,2026-09-07 20:45:47
워크투게더,,"[서울동부지사] 웍스피어 구매업무 중증 장애인 직원 채용(장애인만, ~9/30)",대기업,,,서울특별시 서초구,,2026-09-30,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=1,,2026-09-07 20:45:47
워크투게더,램리서치코리아,[경기동부지사] 램리서치코리아 바리스타 1명 모집(~9.13),바리스타 (대기업),,,경기도 용인시,,2026-09-13,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=1,,2026-09-07 20:45:47
워크투게더,,[서울동부지사] (주)삼성글로벌리서치 인사총무팀 경력직 장애인 직원 채용(~9/15),"인사, 총무 (대기업)",,,서울특별시 서초구,,2026-09-15,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=1,,2026-09-07 20:45:47
워크투게더,17시,"[서울동부지사] 현대자동차 ★남양연구소★ 파이롯트센터 행정지원 직무 계약직 장애인 직원 채용(~9/16, 17시)",대기업,,,경기도 화성시,,2026-09-16,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=1,,2026-09-07 20:45:47
워크투게더,,[경북지사] 주간구인정보,일반구인,,,경상북도 구미시,,2026-09-14,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=1,,2026-09-07 20:45:47
워크투게더,,[서울북부지사] 서울 창원초 미화직 1명 모집 (~9/11),미화 (일반구인),,,서울특별시 도봉구,,2026-09-16,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=1,,2026-09-07 20:45:47
워크투게더,온더보더,[서울지역본부] 온더보더 타임스퀘어점 주방보조직(식기세척 등) 1명 모집,주방 (일반구인),,,서울특별시 중구,,2026-10-02,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=1,,2026-09-07 20:45:47
워크투게더,에버택,[경기북부지사] 김포 에버택 전일제 단순생산직 모집,생산 (일반구인),,,경기도 김포시,,2026-11-27,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=1,,2026-09-07 20:45:47
워크투게더,쎄미르,[경기북부지사] 김포 쎄미르 전일제 단순생산직 모집,생산 (일반구인),,,경기도 김포시,,2026-11-27,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=1,,2026-09-07 20:45:47
워크투게더,무인양품_용산,[서울지역본부]무인양품_용산 아이파크몰점 미화직 1명 채용 (장애인만 채용),미화 (대기업),,,서울특별시 용산구,,2026-09-20,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=2,,2026-09-07 20:45:51
워크투게더,오씨아이드림,[서울지역본부] 오씨아이드림 홀정리 2명(채용시),일반구인,,,서울특별시 중구,,2026-09-23,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=2,,2026-09-07 20:45:51
워크투게더,한국동그라미,[경기동부지사]★이메일 접수만 가능★한국동그라미 파트너스 스팀세차 매니저 1명채용,세차 (일반구인),,,경기도 성남시,,2026-09-11,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=2,,2026-09-07 20:45:51
워크투게더,시립서대문농아인복지관,[서울지역본부] 시립서대문농아인복지관 2026년 하반기 바리스타과정 청각장애인 훈련생 모집안내,"바리스타, 안내 (대기업)",,,서울특별시 서대문구,,2026-09-10,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=2,,2026-09-07 20:45:51
워크투게더,다올투자증권,[서울남부지사] 다올투자증권 사내 헬스케어실 관리자 채용(~9.20.),대기업,,,서울특별시 영등포구,,2026-09-20,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=2,,2026-09-07 20:45:51
워크투게더,LVMH,[서울지역본부] LVMH 롯데월드몰 매장 미화 1명 모집(채용시),미화 (대기업),,,서울특별시 송파구,,2026-09-30,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=2,,2026-09-07 20:45:51
워크투게더,LVMH,[서울지역본부] LVMH 업무보조(문서수발) 1명 모집(채용시),대기업,,,서울특별시 종로구,,2026-09-20,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=2,,2026-09-07 20:45:51
워크투게더,식자재마트,[경기서부지사] 시흥 식자재마트 미화직 1명 채용(~채용 시),미화 (일반구인),,,경기도 시흥시,,2026-09-30,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=2,,2026-09-07 20:45:51
워크투게더,쿠팡로지스틱스,[경기서부지사] 재택근무 쿠팡로지스틱스 일반사무 00명 채용(상시),사무 (일반구인),,,재택근무 재택근무,,2026-09-30,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=2,,2026-09-07 20:45:51
워크투게더,군포시청소년재단,[경기서부지사] 군포시청소년재단 산본틴터 3시간 오전 환경미화 직무 1명 채용(~9.17.),"청소, 환경미화 (일반구인)",,,경기도 군포시,,2026-09-17,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=2,,2026-09-07 20:45:51
워크투게더,하나증권,[서울남부지사] 하나증권 사무보조 아르바이트 모집(~9.14. 18시),사무보조 (대기업),,,서울특별시 영등포구,,2026-09-14,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=3,,2026-09-07 20:45:55
워크투게더,인수중학교,[서울북부지사] 인수중학교 청소직원 모집 안내(채용시마감),"청소, 안내 (대기업)",,,서울특별시 강북구,,2026-09-12,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=3,,2026-09-07 20:45:55
워크투게더,㈜동승,[서울지역본부] ㈜동승 JW메리어트 동대문스퀘어 서울 미화원(1명) 모집,미화 (일반구인),,,서울특별시 종로구,,2026-09-18,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=3,,2026-09-07 20:45:55
워크투게더,이천시청소년재단,[경기동부지사] 이천시청소년재단 제3차 직원채용 공고(~9.11),청소 (공사/공기업),,,경기도 이천시,,2026-09-11,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=3,,2026-09-07 20:45:55
워크투게더,한강병원,[경기동부지사] 용인 한강병원 환자이동 물품정리원(1일 3시간) 4명 모집(채용시 마감),일반구인,,,경기도 용인시,,2026-09-25,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=3,,2026-09-07 20:45:55
워크투게더,수정)[서울북부지사,"(공고 수정)[서울북부지사] 링키지랩 AI용 멀티모달(1명), 다음카페 인기글 모니터링(1명), 카카오 카나나 트렌드 키워드 모니터링(1명) 직원 모집(~9.13.)",대기업,,,서울특별시 성동구,,2026-09-13,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=3,,2026-09-07 20:45:55
워크투게더,쿠팡주식회사,[서울북부지사] 쿠팡주식회사 공용컵 세척직 근로자 모집(~9.13.),대기업,,,서울특별시 광진구,,2026-09-13,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=3,,2026-09-07 20:45:55
워크투게더,주)키다리스튜디오,[서울북부지사] (주)키다리스튜디오 청소직원 2명 모집(~9.11),청소 (일반구인),,,서울특별시 성동구,,2026-09-11,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=3,,2026-09-07 20:45:55
워크투게더,레진엔터테인먼트,[서울북부지사] 레진엔터테인먼트 청소직원 2명 모집(~9.11.),청소 (일반구인),,,서울특별시 성동구,,2026-09-11,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=3,,2026-09-07 20:45:55
워크투게더,건국이엔아이,[서울북부지사] 건국이엔아이 사무보조 직원 모집(~9.11 12:00),사무보조 (일반구인),,,서울특별시 동대문구,,2026-09-11,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=3,,2026-09-07 20:45:55
워크투게더,서울구의초등학교,[서울북부지사] 서울구의초등학교 청소 업무 직원 1명 모집(채용 시 마감),청소 (일반구인),,,서울특별시 광진구,,2026-09-10,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=4,,2026-09-07 20:45:58
워크투게더,신대림초등학교,[서울남부지사] 신대림초등학교 환경 미화 직무 채용 ~ 채용시,미화 (일반구인),,,서울특별시 영등포구,,2026-11-28,https://www.kead.or.kr/bbs/jobinfo/bbsPage.do?menuId=MENU2201&pageIndex=4,,2026-09-07 20:45:58
