사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
원티드,메디스태프,전략마케팅팀 (대리-과장급),"PM·PO, 전략 기획자, 사업개발·기획자",3~8,,한국 서울,,2026-10-07,https://www.wanted.co.kr/wd/385063,,2026-09-07 20:27:54
원티드,엔닷라이트,Enterprise Account Executive (Physical AI),"기술영업, 해외영업, 기업영업",7~100,,한국 경기,,,https://www.wanted.co.kr/wd/385062,,2026-09-07 20:27:54
원티드,로앤컴퍼니(lawtalk),FDE팀 Project Manager(팀장),"PM·PO, 서비스 기획자",5~100,,한국 서울,,,https://www.wanted.co.kr/wd/385060,,2026-09-07 20:27:54
원티드,이너트립,파트너 영업매니저,주요고객사 담당자,1~10,,한국 경기,,,https://www.wanted.co.kr/wd/385057,,2026-09-07 20:27:54
원티드,바로팜,정보보안 담당자,정보보호 담당자,5~12,,한국 서울,,2026-09-30,https://www.wanted.co.kr/wd/385054,,2026-09-07 20:27:54
원티드,이마고웍스,Crown Data Manager,치과 위생사,5~100,,한국 서울,,,https://www.wanted.co.kr/wd/385052,,2026-09-07 20:27:54
원티드,이너트립,B2G 운영매니저,"경영지원, 운영 매니저, 사업개발·기획자",1~10,,한국 경기,,,https://www.wanted.co.kr/wd/385049,,2026-09-07 20:27:54
원티드,올리브인터내셔널,[APAC+사업본부] 대만 D2C 사업 팀장,"콘텐츠 마케터, 글로벌 마케팅, 마케팅 전략 기획자",5~10,,한국 서울,,,https://www.wanted.co.kr/wd/385047,,2026-09-07 20:27:54
원티드,인포시즈,Brand Manager,"브랜드 마케터, 마케터, 콘텐츠 마케터",3~100,,한국 서울,,,https://www.wanted.co.kr/wd/385046,,2026-09-07 20:27:54
원티드,올리브인터내셔널,[APAC+사업본부] 중국 마케팅 담당자,"콘텐츠 마케터, 글로벌 마케팅",1~5,,한국 서울,,,https://www.wanted.co.kr/wd/385045,,2026-09-07 20:27:54
원티드,이마고웍스,Denture Data Manager,치과 위생사,5~100,,한국 서울,,,https://www.wanted.co.kr/wd/385043,,2026-09-07 20:27:54
원티드,스튜디오씨드코리아(프로토파이),Senior Software Engineer,"자바 개발자, 소프트웨어 엔지니어",7~14,,한국 서울,,,https://www.wanted.co.kr/wd/385039,,2026-09-07 20:27:54
원티드,트리노드,[부산/경력 2년 이상] 그로스전략셀 - 마케팅/UA 담당,퍼포먼스 마케터,2~100,,한국 부산,,,https://www.wanted.co.kr/wd/385037,,2026-09-07 20:27:54
원티드,이터널그룹,[조이그라이슨] 영업MD (8년 이상),"MD, 패션 MD, 리테일 MD",8~16,,한국 서울,,,https://www.wanted.co.kr/wd/385036,,2026-09-07 20:27:54
원티드,비나우,fwee ​글로벌 ​아마존(Amazon) ​MD 2년 이상,MD,2~5,,한국 서울,,,https://www.wanted.co.kr/wd/385031,,2026-09-07 20:27:54
원티드,어메이즈VR,재무 회계 담당자,"회계담당, 재무 담당자",5~10,,한국 서울,,,https://www.wanted.co.kr/wd/385028,,2026-09-07 20:27:54
원티드,에프앤엘코퍼레이션,[마케팅] Influencer Team - 인플루언서 마케터,"콘텐츠 마케터, 브랜드 마케터, 소셜 마케터",2~5,,한국 서울,,,https://www.wanted.co.kr/wd/385027,,2026-09-07 20:27:54
