공고URL,모집분야,직무키워드,담당업무,자격요건,우대사항,직급직책,근무형태,근무시간,급여,업종,직종,상세주소,모집인원,학력,수집시각
https://www.wanted.co.kr/api/v4/jobs/385037,[부산/경력 2년 이상] 그로스전략셀 - 마케팅/UA 담당,,"- 글로벌 매체 직접 핸들링 및 캠페인 운영: 메타, 구글, 틱톡, AppLovin 등 주요 글로벌 매체를 직접 컨트롤하며 예산 및 입찰 최적화를 실행합니다. - 마케팅 가설 기반 테스트 계획 수립: 크리에이티브, 타겟팅, 비딩 방식 등에 대한 명확한 가설을 세우고, 이를 검증하기 위한 매체별 테스트 계획을 설계 및 집행합니다. - 어트리뷰션 셋팅 및 관리: 앱스플라이어(AppsFlyer) 또는 애드저스트(Adjust)를 활용하여 캠페인별 성과 측정 환경을 셋팅하고, 유저 행동 데이터(In-app Event)를 정의 및 적용합니다. - 개발팀 협업 및 기술 가이드: 마케팅 성과 추적을 위해 필요한 이벤트 셋팅, SDK 연동 로직 등 기술적 요건을 개발팀에 명확히 전달하고 구현 결과를 검증합니다. - 광고 소재 기획: 성과 지표에 따라 효율적인 소재를 파악하고, AI 툴 또는 영상/이미지 편집 툴을 직접 활용하여 신규 소재를 제작하거나 기존 소재를 분석하여 제작부서에 전달합니다. - 사내 유관 부서 소통: 사내 유관부서와 긴밀히 협업하여 마케팅 목적에 맞는 소재/데이터 환경을 구축하고, 테스트 결과를 투명하게 공유하여 제품 개선에 기여합니다.","- 게임 혹은 서비스 분야에서 UA 캠페인을 직접 운영 경험 2년 이상인 분 - 앱스플라이어(AppsFlyer) 또는 애드저스트(Adjust)를 활용하여 캠페인 링크 생성, 이벤트 셋팅 및 데이터 검증 경험 보유한 분 - 주요 광고 매체 관리자 도구(Ad Manager)를 직접 다루며 캠페인을 세팅하고 예산을 조정해 본 경험 보유한 분 - 개발팀과 기술적 요구사항(Tagging/Event)을 논의하고, 마케팅 관점에서 구현 결과를 검증할 수 있는 역량 보유한 분","- 업무 효율 향상 및 마케팅 소재 기획/제작에 AI 툴을 능숙하게 활용하여 결과물을 만들어 보신 분 - 영상/이미지 편집 툴을 활용하여 마케팅 소재를 직접 수정하거나 제작해 보신 분 - 직접 매체를 집행하여 글로벌 시장에서 유저를 확보해 보신 분 - 데이터에 대한 이해가 있거나, 마케팅 사이언스(실험 설계, 인과추론 등) 분야에 관심이 있는 분",,,,,"IT, 컨텐츠",,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 15층",,,2026-09-08 13:24:48
https://www.wanted.co.kr/api/v4/jobs/383833,[아정당] 인바운드 세일즈(CS) 매니저 (서면/B-5/주5일),,• 아정당 상품을 비대면(인바운드)으로 상담해요 • 신규 및 기존 고객의 상품 상담을 도와드려요 • CX(Customer Experience)를 관리해요 • 고객 상담내역을 입력해요,"• 친절한 마인드를 가지고 있으신 분 • 고등학교 졸업 이상 • 신입/경력 무관 지원 가능해요 • 해외여행에 결격 사유가 없으신 분 [성과는 보상으로, 경험은 커리어로] • 안정적인 기본급 + 인센티브 월 최대 300만 원 (주 6일 기준) • 교육기간에도 기본급 100% 전체 지급 • 복지포인트 최대 360만 원 별도 지급 • 주 6일 근무 매월 반차 1개 추가 지급 1. 아정당 세일즈(CS)마케팅팀은 이렇게 보상받고 있어요! • 1인당 평균 인센티브 : 70만 원 • 입사 초에도 인센티브를 받을 수 있어요! • 3개월 미만 평균 : 65만 원 • 6개월 미만 평균 : 80만 원 *주 6일 근무 기준 2. 아정당 세일즈(CS)마케팅팀은 이렇게 근무하고 있어요! • 전문 온보딩 교육 자료 100% 제공! • 고객경험 전문가로 성장할 수 있는 기회 • 경력이 없어도 교육으로 역량 향상 • 프랜차이즈 커피 하루 2잔 + 사내스낵바 • 허먼밀러체어 & 모션데스크",• 비대면 상담 업무 및 유관 경험이 있으신 분 • 원활한 의사소통 능력과 책임감을 가지신 분 • 고객 서비스 마인드를 가지신 분 • 긍정적인 마인드를 가지신 분,,,,,"IT, 컨텐츠",,"부산 부산진구 중앙대로 749, 범향빌딩 2층",,,2026-09-08 13:24:49
https://www.wanted.co.kr/api/v4/jobs/383574,LLM 엔지니어 개발자,,"• 도메인 특화 LLM 기반 정비 Agent 설계 및 개발 • LLM 모델 파인튜닝 및 도메인 지식 내재화 • 범용 AI 모델(분류, 예측 등) 설계 및 고도화 • 데이터셋 구성, 증강, 자동 라벨링 및 품질 검증 파이프라인 구축 • LLM 및 AI 모델 성능 평가 및 개선 자동화 • MLOps 기반 배포 및 운영 자동화","• 딥러닝 기반 AI 모델 아키텍처 구현 및 성능 최적화 경험 • 도메인 지식을 내재화한 LLM 또는 AI 모델 파인튜닝 경험 • 모델 성능 분석 및 반복 개선을 위한 실험 설계 경험 • LangChain, LlamaIndex 등 프레임워크 기반 서비스 구현 경험 • AI 학습용 데이터셋 구축 및 전처리 경험","• 대규모 언어 모델(LLM) 관련 프로젝트 경험 (GPT, LlaMA, Mistral, Claude 등) • 문서 분류/요약/군집화 등 LLM 전처리 자동화 파이프라인 구축 경험 • MLOps 환경 구성 및 운영 경험 (MLflow, Docker, Kubernetes, Airflow 등) • 논문 구현 또는 오픈소스 알고리즘 재현 및 기술 리포트 작성 경험 • 산업안전/정비/품질 분야에서 AI 시스템 구축 경험",,,,,"IT, 컨텐츠",,기장군 일광읍 해송4로 16 일광에코테라스 806호,,,2026-09-08 13:24:50
https://www.wanted.co.kr/api/v4/jobs/383004,[아정당] CS 센터 운영지원 담당자(CS 어드민) (덕천),,"• 각 CS 지점별 결재 기안 작성 및 지출 결의서 작성 • 각 CS 지점 근태 및 연차 인원 리스트 취합 • 사무실 내 물품, 장비 이동 및 관리 • 신규 입사자 좌석 및 PC 세팅 • 면접자 확인 및 인솔 안내 • 기타 CS센터 관련 지원 업무 (서류 및 현황 파악 등)","• 초대졸 이상 / 경력 무관 (신입 지원 가능) • 컴퓨터, 전자기기 활용에 능숙하신 분 • 꼼꼼하고 책임감 있게 업무를 수행하시는 분 • 단순 반복 업무에 적응을 잘 하시는 분 • 다양한 사람들과 교류하며 사교성이 좋으신 분 • 커뮤니케이션 능력이 좋으신 분 • 해외 여행 결격 사유가 없는 자","• Excel, 한글 등 관련 자격증을 소유하신 분 • 다양한 업무를 빠르게 파악하고 대응할 수 있으신 분 • 타 회사에서 사무보조, 총무, 어드민 등 유관 업무 경험이 있으신 분",,,,,"IT, 컨텐츠",,"부산 북구 금곡대로8번길 33, 3층",,,2026-09-08 13:24:50
https://www.wanted.co.kr/api/v4/jobs/383394,[부산/2년 이상] 피플앤컬처셀 - HR담당자(채용/온보딩),,"1. 구성원 생애 주기 프로세스 설계 및 운영 채용: 트리노드에 꼭 맞는 인재를 맞이하기 위한 채용 브랜딩, 프로세스 기획 및 운영 온보딩: 신규입사자가 조직과 문화에 부드럽게 적응할 수 있도록 돕는 온보딩 프로그램 기획 및 운영 복리후생: 구성원들이 업무에 몰입할 수 있도록 사내 복리후생 제도 기획 및 운영 오프보딩: 퇴사 프로세스를 정비하고, 피드백을 수집하여 더 나은 조직이 되기 위한 데이터로 활용 2. 스마트한 HR 업무 프로세스 구축 채용 안내, 입사 가이드 등 반복적인 안내 업무에 AI도구를 활용하여 효율화 입사부터 퇴사까지 피플 데이터를 정리하고, 부서 이동 및 인력 배치 시 유용한 참고 자료로 연결","채용, 온보딩과 연관된 HR 실무 경력 2년 이상 채용, 온보딩 등을 제로베이스에서 직접 기획하고 운영해 본 경험이 있는 분 새로운 소프트웨어나 IT 도구를 접할 때 거부감이 없고 배우는 것을 좋아하는 분","채용 전 과정(채용 브랜딩, 소싱, 면접 어레인지, 오퍼 등)을 주도적으로 운영해 보신 분 평가 및 인사 제도를 설계하고 운영해 보신 분 업무 중 AI도구(Claude, Gemini, GPT 등)을 유용하게 활용해 본 경험이 있는 분 게임·IT·테크·플랫폼 등 변화가 빠르고 수평적인 조직 문화를 경험해 보신 분",,,,,"IT, 컨텐츠",,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 15층",,,2026-09-08 13:24:51
https://www.wanted.co.kr/api/v4/jobs/382681,HW 회로 개발자 (7년이상),,"1. 회로 부문 제품 개발 • ﻿﻿신규 개발품 및 개선품의 회로 개발(Artwork, PCB 제작 등) 2. 회로 부문 개발 Document 관리 • ﻿﻿BOM, 도면(회로), PCB 양산자료 등 개발 결과물의 이관 및 이력관리 • ﻿﻿PCB 양산 진행 등 외부업체관리 및 기술협의","• ﻿﻿Nvidia Jetson 등 Edge Device Interface 설계기술 보유 자 • 무선 Device 무선 설계기술 보유 및 인증시험 유 경험자 (LoRawan, Wi-Fi ,BLE, Zigbee, LTE 등) • 전원 및 Charging Logic 설계 경험 및 경력 보유자 • STM32 및 NI 계열 MCU 디바이스 회로 개발 경력 보유자 • GPS/GNSS/RTK 설계기술 경험자","• ﻿﻿전자회로 설계 부문 경력 7년 이상 우대 • 회로 설계 및 PCB 개발 경험자 우대 • IoT (Edge AI), 모터제어 관련 경력 우대 • MCU 및 무선통신, 회로 제어 등 FW개발 유경험자",,,,,"IT, 컨텐츠",,부산시 수영구 망미번영로52번길 3,,,2026-09-08 13:24:51
https://www.wanted.co.kr/api/v4/jobs/382994,[아정당] 채팅 상담 매니저 (부산/E/주5일),,"[합류하시면 이런 일을 해요!] • 자사 브랜드 홈페이지, SNS 채팅상담과 안내 업무를 해요 • 자사 브랜드 채널을 관리해요(유튜브 아정당 채널)",[이런 분을 찾고 ​있어요!] • 친절한 마인드를 가지고 있으신 분 • 고등학교 졸업 이상 신입/경력 무관 지원 가능해요 • 해외 여행 결격 사유가 없는 자,"[이런 ​경험을 가진 ​분이라면 더 ​좋아요!] • 비대면 상담 업무 및 유관 경험이 있으신 분 • 원활한 의사소통 능력과 책임감을 가지신 분 • 고객 서비스 마인드를 가지신 분 • 긍정적인 마인드를 가지신 분 [이런 복지와 지원을 제공해요!] 교육기간에도 100% 급여를 지급해 안정적으로 적응할 수 있어요 월 만근 시 특별 반차를 제공해 충분한 재충전이 가능해요 (6일 근무자 기준) 매일 음료 2잔 제공으로 월 평균 약 10만원 상당의 커피 복지를 지원해요 생일 당일 특별 반차를 지원해 소중한 하루를 보낼 수 있어요 명절 시즌 약 20만원 상당의 선물세트를 제공해요 ※ 복지 및 지원 제도는 운영 상황에 따라 일부 변동될 수 있습니다. [FAQ- 자주 묻는 질문을 알려드려요!] Q. 신입 직원은 인센티브를 못 받겠죠? A. 아닙니다! 아정당 CS센터는 약 1년 6개월간 급격하게 성장하여 CS상담직원 70%가 1년 미만 입사자로 신규 채용되었고 추가 인센티브를 지급 받고 있습니다. 또한 3개월 미만 입사자에게도 지급하고 있습니다. (단, 입사 첫 월은 제외) Q. 왜 다른 고객센터보다 연봉도 높고, 인센티브도 많이 주나요? A. 직원의 성장이 곧 회사의 성장이기 때문입니다! 아정당이 업계 1위 기업을 계속 유지하기 위해서는 직원의 성장도 중요합니다. 비록 회사의 이익률이 적어져도 열심히 일하는 만큼 직원들께 돌려드리기 위해 매달 대표가 직접 인센티브 세부내역을 확인하여 지급해 드리고 있습니다.",,,,,"IT, 컨텐츠",,"부산시 북구 만덕대로 104, 3층(덕천동)",,,2026-09-08 13:24:52
https://www.wanted.co.kr/api/v4/jobs/382955,로봇 엔지니어(부산),,"• 4족 보행 로봇 기반 산업 현장 자율주행, 순찰 시스템 개발 • 로봇 동작 및 예외 상황 처리 기능 개발 (자율주행, 자율 도킹, 충전, 충전 복구 등) • 관제 시스템 연동을 위한 통합 인터페이스 설계 및 개발 • 산학협력 중인 SLAM, 정밀제어 기술의 사내 내재화","• 로봇 제조사의 플랫폼을 활용한 로봇 서비스 SW 개발 경험 • 실제 사용자와 운영 환경을 전제로 서비스를 개발한 경험 • ROS2 기반 개발 경험 및 Python 숙련도 • 임베디드, Linux(Jetson 등) 환경에서의 개발 및 디버깅 경험 • 동료 엔지니어와 기술적 판단을 공유하며 협업한 경험","• 자율주행, SLAM 스택 운영 및 파라미터 튜닝 경험 (Nav2, Cartographer, FAST-LIO 등) • 모바일 로봇 또는 보행 로봇 상용 서비스 개발 경험 • SLAM 알고리즘 자체 구현 또는 개량 경험 • Physical AI 관련 경험 (모방학습, 강화학습, Sim2Real 등) • 건설, 플랜트 등 산업 현장 도메인 이해",,,,,"IT, 컨텐츠",,부산시 수영구 망미번영로52번길 3,,,2026-09-08 13:24:52
https://www.wanted.co.kr/api/v4/jobs/382048,[부산지사] 웹 개발자 (5년 이상),,• 웹 시스템·플랫폼 개발 (웹 서비스 기능 설계/개발) • 프론트엔드·백엔드 전반 개발 • 백엔드 API 구현 및 고도화 • 데이터 연동 및 인터페이스 개발 • 서비스 장애 분석 / 개선 • 배포 및 운영 환경 안정화,• 학력무관 • 웹 개발 경험 (5년~10년차 경력) • 프론트엔드 & 백엔드 실무 가능 • JavaScript 기반 웹 개발에 대한 높은 숙련도 • C# 기반 서버·백엔드 개발 경험 • 웹 프레임워크 및 주요 라이브러리 활용 역량 • 운영 이슈 대응 경험 보유 • 국내 출장 가능자,• 제조업·산업 분야 웹/플랫폼 개발 경험 • 새로운 기술·도구·아키텍처 도입에 대한 관심과 주도성 • SI 프로젝트 수행 경험,,,,,"IT, 컨텐츠",,부산 중구 백산길 4,,,2026-09-08 13:24:52
https://www.wanted.co.kr/api/v4/jobs/382038,[부산오피스] 시니어 소프트 엔지니어 (7년 이상),,"• 중장비 자동화 제품(X1 등)을 위한 제어 소프트웨어 및 관리 시스템 개발 • Xpanner Connect 등 플랫폼 제품 기능 개선 및 운영 안정화 • AWS 기반 인프라 운영 및 개선 • Product, Lab 팀과 협업하여 요구사항 분석 및 설계 진행","• Java/Spring, React/Next.js 기반 웹 개발 경험 • Electron 사용한 윈도우 어플리케이션 개발 경험 • AWS 환경 전반에 대한 이해 (CI/CD, Lambda, CloudFront, ECS, RDS 등) • Git, CodePipeline, Jenkins 등 CI/CD 환경 경험 • AI 개발 도구(Claude, Codex, Copilot 등)를 활용한 개발 경험 • 다양한 직군과 유연하게 협업할 수 있는 커뮤니케이션 역량","• 관련 분야(컴퓨터공학, 전자공학, 기계공학 등) 전공 또는 이에 준하는 역량 • 자신만의 개발 방식이나 문제 해결 접근법을 논리적으로 설명할 수 있는 분 • Kotlin, Python 활용 경험 • AWS IoT 또는 디바이스 연동 경험 • AI 오픈소스 모델이나 외부 서비스를 연계하여 제품을 개발해보신 분 • 영어 기반의 커뮤니케이션 환경에 익숙하신 분",,,,,건설,,"부산 남구 남동천로 128, BIFC2 709-712호",,,2026-09-08 13:24:52
