사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
잡알리오,한국국제협력단,제29기 KOICA 청년인턴(홍보분야) 모집 공고,"경영.회계.사무,문화.예술.디자인.방송 / 행정직,사무직",신입,청년인턴(체험형),경기,,2026-07-22,https://job.alio.go.kr/recruitview.do?idx=302244,,2026-09-07 17:17:49
잡알리오,한국중부발전(주),2026년도 제2차 4직급 신입직원 채용공고,"기계,전기.전자,환경.에너지.안전 / 기술직",신입,정규직,"서울 
										외 5",,2026-07-22,https://job.alio.go.kr/recruitview.do?idx=302314,,2026-09-07 17:17:50
잡알리오,한국법무보호복지공단,2026년 한국법무보호복지공단 경남서부지소 심리상담직(육아휴직대체직) 경력경쟁채용시험 공고,"사회복지.종교 / 행정직,계약직,상담직",경력,비정규직,경남,,2026-07-24,https://job.alio.go.kr/recruitview.do?idx=302347,,2026-09-07 17:17:51
잡알리오,부산대학교병원,권역호흡기전문질환센터 예방의학과 전문의 모집,보건.의료 / 의사직,신입+경력,비정규직,부산,,2026-07-21,https://job.alio.go.kr/recruitview.do?idx=302379,,2026-09-07 17:17:52
잡알리오,한국주택금융공사,2026년도 하반기 체험형 인턴 채용공고,"금융.보험 / 일반직,계약직",신입,청년인턴(체험형),"서울 
										외 16",,2026-07-21,https://job.alio.go.kr/recruitview.do?idx=302380,,2026-09-07 17:17:52
잡알리오,동남권원자력의학원,[직원채용] 별정직 간호직(내과 전담 간호사/휴직대체) 공개 채용,보건.의료 / 간호직,신입+경력,비정규직,부산,,2026-07-20,https://job.alio.go.kr/recruitview.do?idx=302393,,2026-09-07 17:17:53
잡알리오,기초과학연구원,2026-4회 광과학 연구클러스터 연구직 채용 공고,연구 / 연구직,신입+경력,비정규직,광주,,2026-07-24,https://job.alio.go.kr/recruitview.do?idx=302398,,2026-09-07 17:17:53
잡알리오,한국장애인개발원,"[제2026-79호]2026년도 제4차 제주특별자치도장애아동·발달장애인지원센터(장애아동지원팀, 권익옹호팀) 기간제 계약직 채용 공고","사회복지.종교 / 일반직,행정직,사무직",신입+경력,비정규직,제주,,2026-07-21,https://job.alio.go.kr/recruitview.do?idx=302408,,2026-09-07 17:17:55
잡알리오,한국부동산원,한국부동산원 전문계약직 채용 공고,경영.회계.사무 / 사무직,신입+경력,비정규직,"서울 
										외 16",,2026-07-22,https://job.alio.go.kr/recruitview.do?idx=302417,,2026-09-07 17:17:55
잡알리오,한국수자원공사,[한국수자원공사] 경북지역협력단 김천2현대화사업팀 특수직(기술관리_건설사업) 채용 공고,"사업관리,건설,기계,전기.전자,정보통신,환경.에너지.안전 / 계약직",신입+경력,비정규직,경북,,2026-07-21,https://job.alio.go.kr/recruitview.do?idx=302424,,2026-09-07 17:17:56
