공고URL,모집분야,직무키워드,담당업무,자격요건,우대사항,직급직책,근무형태,근무시간,급여,업종,직종,상세주소,모집인원,학력,수집시각
https://job.alio.go.kr/recruitview.do?idx=303209,,,,,채용기간 26.07.30 ~ 26.12.31 등록일 2026.07.30 '부산대학교병원' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기,,비정규직 대체인력여부 아니오,,정보 신입 / 평균 채용인원 1명,,,,,,2026-09-08 13:48:12
https://job.alio.go.kr/recruitview.do?idx=304151,,,,,"취업지원대상자, 장애인 등 - 자세한 사항은 채용공고문 및 첨부자료 참고 채용기간 26.08.24 ~ 26.09.08 등록일 2026.08.24 '영화진흥위원회' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,무기계약직 대체인력여부 아니오,,정보 신입 / 평균 채용인원 4명,,,,,,2026-09-08 13:48:13
https://job.alio.go.kr/recruitview.do?idx=304155,,,,,"「국가유공자 등 예우 및 지원에 관한 법률」 등 보훈관계법률에 따른 취업지원대상자, 「장애인 고용촉진 및 직업재활법」에 의한 장애인 채용기간 26.08.24 ~ 26.09.08 등록일 2026.08.24 '영화진흥위원회' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,무기계약직 대체인력여부 아니오,,정보 신입 / 평균 채용인원 4명,,,,,,2026-09-08 13:48:13
https://job.alio.go.kr/recruitview.do?idx=304158,,,,,"해당분야 유경험자,",,비정규직 대체인력여부 아니오,,정보 신입 / 평균 채용인원 5명,,,,,,2026-09-08 13:48:13
https://job.alio.go.kr/recruitview.do?idx=304211,,,,,"취업지원대상자, 장애인 채용기간 26.08.25 ~ 26.09.09 등록일 2026.08.25 '영화진흥위원회' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,비정규직 대체인력여부 아니오,,정보 신입 / 평균 채용인원 1명,,,,,,2026-09-08 13:48:14
https://job.alio.go.kr/recruitview.do?idx=304215,,,,,"취업지원대상자, 장애인, 소방설비기사(전기분야) 자격증 소지자, 소방설비기사(전기분야) 자격증 소지자 채용기간 26.08.25 ~ 26.09.09 등록일 2026.08.25 '영화진흥위원회' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,무기계약직 대체인력여부 아니오,,정보 신입 / 평균 채용인원 2명,,,,,,2026-09-08 13:48:14
https://job.alio.go.kr/recruitview.do?idx=304243,,,,,"취업지원대상자(보훈대상자): 국가유공자 등 예우 및 지원에 관한 법률, 장애인: 장애인고용촉진 및 직업재활법 시행령 제3조에 해당하는 자, 지역인재(부산·울산·경남 지역 간호대학 졸업자 등) 채용기간 26.08.25 ~ 26.09.08 등록일 2026.08.25 '부산대학교병원' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,정규직 대체인력여부 아니오,,정보 신입 / 평균 채용인원 198명,,,,,,2026-09-08 13:48:15
https://job.alio.go.kr/recruitview.do?idx=304246,,,,,"취업지원대상자(보훈대상자): 국가유공자 등 예우 및 지원에 관한 법률, 장애인: 장애인고용촉진 및 직업재활법 시행령 제3조에 해당하는 자, [보건직-물리치료사]: 중추신경계발달치료 이수자 또는 림프부종치료 가능자 채용기간 26.08.25 ~ 26.09.08 등록일 2026.08.25 '부산대학교병원' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,정규직 대체인력여부 아니오,,정보 신입 / 평균 채용인원 26명,,,,,,2026-09-08 13:48:15
https://job.alio.go.kr/recruitview.do?idx=304254,,,,", 논문실적, 교육사항, 직무계획, 자기소개서 등 평가(최대 5배수) - 인성검사: 서류","장애인, 이전 지역인재, KMI 청년인턴 수료자 등 채용기간 26.08.26 ~ 26.09.15 등록일 2026.08.26 '한국해양수산개발원' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,정규직 대체인력여부 아니오,,정보 신입 / 평균 채용인원 1명,,,,,,2026-09-08 13:48:15
https://job.alio.go.kr/recruitview.do?idx=304255,,,,", 논문실적, 교육사항, 직무적격성, 역량기술서 등 평가(최대 10배수) - 필기","장애인, 이전 지역인재, KMI 청년인턴 수료자 등 채용기간 26.08.26 ~ 26.09.15 등록일 2026.08.26 '한국해양수산개발원' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,정규직 대체인력여부 아니오,,정보 신입 / 평균 채용인원 1명,,,,,,2026-09-08 13:48:15
