공고URL,모집분야,직무키워드,담당업무,자격요건,우대사항,직급직책,근무형태,근무시간,급여,업종,직종,상세주소,모집인원,학력,수집시각
https://www.jobkorea.co.kr/Recruit/GI_Read/49928440?rPageCode=SL&logpath=21&sn=6&sc=612,홈페이지 지원,,,"경력 경력 (3년이상, * 직무별상이 / 상세요강 참조) 학력 대졸이상 스킬","기본우대 장애인, 영어가능자, 취업보호대상자, 유관업무 경험자(인턴·알바), 보훈대상자, 관련 자격증 보유자",,정규직 (수습 3개월),,회사 내규에 따름,무선 및 위성 통신업,,"서울 강남구 테헤란로 422 (대치동, KT선릉타워East) 14층 지도보기",○ 명,,2026-09-08 15:08:12
https://www.jobkorea.co.kr/Recruit/GI_Read/49889790?rPageCode=SL&logpath=21&sn=6&sc=612,홈페이지 지원,,인원 근무지 수신 RM ※ 수신 RM(수신 마케팅 전문인력) 수도권 소재 개인 및 기업고객 수신 영업 신규 수신 거래 및 예금 유치 0명 수도권 수도권 거점 영업점에 배치되어 수신 전담 영업,경력 경력 학력 학력무관,"기본우대 국가유공자, 장애인, 취업보호대상자, 유관업무 경력자",,"계약직 (근무기간 6개월, 전문계약직 / 근무평가 후 갱신 가능)",,회사 내규에 따름,-,,"부산 남구 문현금융로 30 (문현동, 부산은행본점) 12층 지도보기",○ 명,,2026-09-08 15:08:12
https://www.jobkorea.co.kr/Recruit/GI_Read/49948755?rPageCode=SL&logpath=21&sn=6&sc=611,사무보조 및 고객응대 사원,,자격요건 사무보조 및 고객응대 사원 마케팅 · 고객관리 신입 팀원 ㆍ신규 고객 유선 안내 및 응대 ㆍ프로젝트 관련 기본 정보 안내 ㆍ고객 DB 관리 ㆍ관심 고객 및 기존 고객 관리 ㆍ고객 방문 일정 조율 및 예약 관리 ㆍ방문 고객 사전 확인 및 일정 관리 ㆍ마케팅 자료 및 고객 안내자료 활용 ㆍ현장 프로모션 업무 지원 ㆍ팀 내 고객관리 업무 지원 ㆍ프로젝트 및 상품 관련 기본교육 참여 ㆍ업무 진행상황 및 고객 피드백 공유,경력 경력무관 학력 학력무관,,,정규직 (수습 3개월),주 5일 09:00 ~ 18:30,월급 300만원 이상,광고·홍보·전시,,부산 해운대구 우동 650-1 그린나래호텔 지도보기,○ 명,,2026-09-08 15:08:12
https://www.jobkorea.co.kr/Recruit/GI_Read/49946827?rPageCode=SL&logpath=21&sn=6&sc=612,홈페이지 지원,,,경력 신입·경력 학력 학력무관,"기본우대 국가유공자, 장애인, 보훈대상자 자격증",,인턴 (계약기간 상세요강 참고),"주 40시간, 1일 8시간 근무 09:00 ~ 18:00",월급 216~216만원 (4대보험 및 세금 포함 / 2027년 보수 변동될 수 있음),은행·금융,,서울 영등포구 여의도동 산업은행본점 인사부 지도보기,110 명,,2026-09-08 15:08:12
https://www.jobkorea.co.kr/Recruit/GI_Read/49943753?rPageCode=SL&logpath=21&sn=6&sc=611,종합홍보시공,,,경력 신입·경력 학력 고졸이상 스킬,"기본우대 인근거주자, 운전가능자, 유관업무 경험자(인턴·알바), 야간근무 가능자, 지방근무 가능자, 기숙사 생활가능자, 즉시출근 가능자, 장기근무 가능자",,"계약직 (근무기간 1년, 정규직 전환 가능)",주5일(월~금) 00:00 ~ 00:00 탄력근무제 단독작업 가능한 수준부터 19시이후 출근시간 자유롭게 가능,월급 280~450만원 (면접 후 결정),공연 기획업,,"부산 기장군 기장읍 기장대로 82-6 (내리, 아우라시티) 105호 지도보기",1 명,,2026-09-08 15:08:13
https://www.jobkorea.co.kr/Recruit/GI_Read/49944626?rPageCode=SL&logpath=21&sn=6&sc=611,"설계, 개발 담당자",,"(Key Responsibilities) 용품 설계, 개발 (자동차 Exterior/Interior 용품) 설계 점검 (디자인 리뷰, 기능 점검, 신뢰성 점검) 선행 품목 발굴 및 개발 수행 고객사별 특화된 APQP(사전부품 품질 계획) 수립 및 단계별 일정 점검 PPAP, DV/PV 등 개발 일정 및 양산 준비 관리",경력 경력 (5년이상) 학력 대졸이상 스킬,"기본우대 영어가능자, 중국어가능자",,정규직 (수습 3개월),주5일(월~금) 08:00 ~ 17:00,회사 내규에 따름 (면접 후 결정),기타 자동차 신품 부품 및 내장품 판매업,,울산 북구 박상진13로 20 (송정동) 이니트타워 901-2호 울산 R&D 센터 지도보기,○○ 명,,2026-09-08 15:08:13
https://www.jobkorea.co.kr/Recruit/GI_Read/49941309?rPageCode=SL&logpath=21&sn=6&sc=611,중등 대상 수학강사,,ㆍ범 해운대지역 중등 내신 및 현행 수업 ㆍ중등 대상 선,경력 경력무관 학력 초대졸이상,"기본우대 유관업무 경험자(인턴·알바), 관련 학과 전공자, 관련 자격증 보유자, 유관업무 경력자, 장기근무 가능자 우대전공",,"정규직 , 프리랜서",주6일(월~토) 14:00 ~ 23:00 근무 요일 및 시간은 협의,월급 350만원 이상,기타 교육지원 서비스업,,"부산 해운대구 센텀2로 25 (우동, 센텀드림월드) 1101호 지도보기",1 명,,2026-09-08 15:08:13
https://www.jobkorea.co.kr/Recruit/GI_Read/49940248?rPageCode=SL&logpath=21&sn=6&sc=611,프론트/레스토랑,,"- 프론트 오피스 운영 및 고객 응대 총괄 - 체크인/체크아웃 관리, 예약 관리 시스템(PMS) 및 OTA 채널 모니터링 - 투숙객 VOC(불만 및 요청사항) 신속 대응 및 서비스 품질 관리 - 객실 점유율(OCC) 및 일일 운영 현황 점검",경력 신입·경력 (2년이상) 학력 학력무관,- 호텔 프론트 및 F&B 복합 매장 동시 운영 경험자 - 호텔 PMS(루넷) 프로그램 사용 능숙자 - 컴플레인 핸들링 및 위기 대응 경험이 풍부하신 분 - 원활한 커뮤니케이션 능력과 고객 중심의 서비스 마인드를 갖추신 분,,정규직 (수습 3개월),"주5일 (월, 목, 금, 토, 일) 07:00 ~ 15:00, 14:00 ~ 22:00","연봉 3,840~3,840만원 (면접 후 결정)",호텔·여행·항공,,"경남 거제시 동부면 학동7길 2 (학동리, 스터번호텔) 스터번호텔 지도보기",1 명,,2026-09-08 15:08:14
https://www.jobkorea.co.kr/Recruit/GI_Read/49936995?rPageCode=SL&logpath=21&sn=6&sc=611,견적 및 공사현장관리,,"ㆍ견적업무 ㆍ공사 현장관리 스킬 ㆍAutoCAD, 1종보통운전면허, Microsoft Office, 실내건축기능사 자격",경력 경력 학력 학력무관 스킬,"기본우대 차량소지자, 운전가능자, 엑셀 고급능력 보유자, CAD/CAM 프로그램 능숙자, 지방근무 가능자, 문서작성 우수자",,정규직 (협의),주5일(월~금) 09:00 ~ 18:00,"연봉 3,600~6,000만원 (면접 후 결정)","도배, 실내장식 및 내장 목공사업",,부산 금정구 금강로 298 (장전동) 소희빌딩 2층 지도보기,○○ 명,,2026-09-08 15:08:14
https://www.jobkorea.co.kr/Recruit/GI_Read/49940893?rPageCode=SL&logpath=21&sn=6&sc=611,꽃배달서비스 수발주팀,,ㆍ꽃배달 주문 접수 및 확인 ㆍ협력 화원과 전화 및 메시지 소통 ㆍ 고객 문의 응대 ㆍ 주문 진행 상황 체크 및 관리 스킬 ㆍ밝고 친절한 전화 응대가 가능하신 분 ㆍ 기본적인 컴퓨터 사용이 가능하신 분 ㆍ 책임감 있고 성실하신 분,경력 경력무관 학력 고졸이상 스킬,"ㆍ고객 응대 경험 있으신 분 ㆍ콜센터, 사무직 경험 있으신 분 ㆍ 화훼/ 유통 관련 경험 있으신 분",,정규직 (수습 2개월),주5일(월화수토일) 또는 주4일(월수토일)중 선택 08:30 ~ 19:30 주4일(08:30~19:30) / 주5일(08:30~17:30),"연봉 2,640~2,640만원",전자상거래 소매 중개업,,"부산 해운대구 센텀중앙로 66 (우동, 센텀T타워) 402호 지도보기",○ 명,,2026-09-08 15:08:14
