사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각,학력,급여,지역표기,출처
잡코리아부산,㈜케이티샛,kt sat 2026년 하반기 경력직 공개채용,"네트워크관리, GUI, SI개발, 거래처관리, 펌웨어, SI개발, 영업기획, PL, 솔루션스아키텍트, 신사업기획, 서버구축, 시스템운영, PM, 서버관리, 영업전략, 시스템운영, 사업기획, 시스템분석, 거래선개발관리, 네트워크관리, 매출관리, 시스템설계, 인터페이스, 전략기획, 데이터분석, 클라우드개발자, 연구기획, 서버구축, 반응형웹, PO, 서버관리, 클라우드아키텍트, 클라이언트, 핀테크, 경영기획, 네트워크관리, HTTP",경력3년↑,정규직,"서울, 부산",,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49928440?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49928440,2026-09-08 14:58:33,대졸↑,,부산 중구 외,jobkorea
잡코리아부산,㈜부산은행,[접수기간 연장] BNK부산은행 수도권 수신RM 채용공고,"수신 RM, 금융, 은행, 시장분석, 시장조사, 데이터분석, 전략기획, 법인고객영업, 여신상담, 자산관리, 재무상담, 퇴직연금, 투자상담·자문, 거래처관리, 고객관리, 외환관리, 입출금관리, 채권, 퇴직연금, 금융상품기획, 여신상담, 재무상담, 퇴직연금",경력,계약직,"서울, 경기, 인천, 부산",,2026-09-16,https://www.jobkorea.co.kr/Recruit/GI_Read/49889790?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49889790,2026-09-08 14:58:33,학력무관,,부산 남구 외,jobkorea
잡코리아부산,한국산업은행,한국산업은행 2026년 3차 청년인턴 채용공고,"국제금융, 금융, 은행, 문서관리, 문서작성, 전산입력, 서무, 자료조사, 행정, 송무담당, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 거래처관리, 고객관리, 외환관리, 입출금관리, 채권, 퇴직연금, 금융상품기획, 방카슈랑스, 여신상담, 외환관리, 재무상담, 채권, 퇴직연금, PB",신입·경력,인턴,"서울, 경기, 대구, 경북, 부산, 경남",,2026-09-22,https://www.jobkorea.co.kr/Recruit/GI_Read/49946827?rPageCode=SL&logpath=21&sn=6&sc=612,jobkorea:49946827,2026-09-08 14:58:33,학력무관,216만원 이상(월),부산 전지역 외,jobkorea
잡코리아부산,프라이덴,사무보조 및 고객응대 사원 채용,"광고기획, 더존, 문서관리, 문서작성, 자산관리, 전산입력, 사이트관리, 접수·예약, 단순안내, 방문상담, 고객응대, 고객안내",경력무관,정규직,부산,,2026-10-09,https://www.jobkorea.co.kr/Recruit/GI_Read/49948755?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49948755,2026-09-08 14:58:33,학력무관,300만원 이상(월),부산 해운대구,jobkorea
잡코리아부산,㈜알슨코리아(ARSN KOREA),"2026년도 자동차 Exterior / Interior 용품 설계, 개발 업무 담당 경력자 채용","자동차부품, 품질시스템, 자동차, 자동차부품, 금속, 생산기술, 자동차, 제품개발, CAM, 기계조작, 캐드원, 3D설계, 금형설계, 기구설계, CAM, 2D설계, 자동제어, 공정개발, 자동화라인, 품질테스트, 자동차, 제품개발, R&D, 제조·공정, 생산관리, 품질보증, ISO, 검증, 품질보증, ISO",경력5년↑,정규직,"경북, 부산, 울산",,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49944626?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49944626,2026-09-08 14:58:33,대졸↑,,부산 기장군 외,jobkorea
잡코리아부산,주식회사 플레이유,[옥외광고물 시공팀] 종합광고대행사 (주)플레이유 부산본사 시공팀 사원,"옥외광고물 시공, 광고대행, 홍보대행, 옥외광고, 옥외광고",신입·경력,계약직,부산,,2026-10-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49943753?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49943753,2026-09-08 14:58:33,고졸↑,280~450만원(월),부산 기장군,jobkorea
잡코리아부산,명작수학센텀시티점학원,명작수학학원 중등 대상 선생님 모집합니다,"수학강사, 보습학원, 입시학원, 입시학원, 일반학원, 입시학원",경력무관,,부산,,2026-10-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49941309?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49941309,2026-09-08 14:58:33,초대졸↑,350만원 이상(월),부산 해운대구 외,jobkorea
잡코리아부산,㈜디그니티그룹,[거제 스터번호텔] 프론트&레스토랑 매니저 채용 1인1실 기숙사운영,"관광, 호텔리어, 프론트, 호텔, 프런트",신입·경력2년↑,정규직,"부산, 울산, 경남",,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49940248?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49940248,2026-09-08 14:58:33,학력무관,"3,840만원 이상",부산 전지역 외,jobkorea
잡코리아부산,㈜아리랑플라워,주4일근무 정규직 직원채용,"꽃집, 콜센터, 전산입력, 전산입력, 사이트관리, 고객지원, 접수·예약, 단순안내, 배송상담",경력무관,정규직,부산,,2026-10-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49940893?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49940893,2026-09-08 14:58:33,고졸↑,"2,640만원 이상",부산 해운대구 외,jobkorea
잡코리아부산,㈜대경아이디,인테리어 공사부 경력직 채용 ( 대리 - 차장 ),"현장소장, 시공관리",경력,정규직,"부산, 경남",,2026-10-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49936995?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49936995,2026-09-08 14:58:33,학력무관,"3,600~6,000만원",부산 금정구 외,jobkorea
