사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
캐치,제논,Physical AI Engineer,"네트워크/서버/보안, 빅데이터/AI, DBA/데이터베이스, ERP/시스템개발/설계",경력 1~10년,정규직,서울,,2026-12-31,https://www.catch.co.kr/Comp/CompDetail/IW8661/Recruit/570168,,2026-09-07 17:57:03
캐치,제논,AI Engineer(생성형 AI Agent개발),"네트워크/서버/보안, 빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",경력 3~20년,정규직,서울,,2026-12-31,https://www.catch.co.kr/Comp/CompDetail/IW8661/Recruit/570167,,2026-09-07 17:57:03
캐치,제논,[인공지능솔루션] Product Owner,"네트워크/서버/보안, 빅데이터/AI, DBA/데이터베이스, ERP/시스템개발/설계",경력 1~10년,정규직,서울,,2026-12-31,https://www.catch.co.kr/Comp/CompDetail/IW8661/Recruit/570166,,2026-09-07 17:57:03
캐치,대우건설,원자력 설계 경력직 채용,"기계설계/CAD/CAM, 자동차/조선/기계, 전기/소방/통신/안전, 화학/에너지/환경",경력 5년↑,정규직,서울,,2026-09-30,https://www.catch.co.kr/Comp/CompDetail/158130/Recruit/570165,,2026-09-07 17:57:03
캐치,하나손해보험,경력직(사업단장) 채용,"기획/전략/경영, 영업관리/지원/영업기획",경력,정규직,서울,,2026-09-13,https://www.catch.co.kr/Comp/CompDetail/227289/Recruit/570164,,2026-09-07 17:57:03
캐치,하나손해보험,전문직(CS센터 기획 및 상담지원 시스템 운영· 관리) 채용,"고객관리/인바운드, 채권/보험/보상/심사",경력,계약직,서울,,2026-09-13,https://www.catch.co.kr/Comp/CompDetail/227289/Recruit/570163,,2026-09-07 17:57:03
캐치,다올투자증권,MTS 개발 및 운영 경력사원 채용,"웹기획/PM/웹마케팅, 응용프로그램개발",경력 3년↑,계약직,서울,,2026-09-20,https://www.catch.co.kr/Comp/CompDetail/C47004/Recruit/570162,,2026-09-07 17:57:03
캐치,인코스파트너스,[양재/사당]호반리조트 전화 예약 및 상담 직원 모집(중식제공),고객관리/인바운드,경력무관,계약직,서울,,2026-09-09,https://www.catch.co.kr/Comp/CompDetail/G18964/Recruit/570161,,2026-09-07 17:57:03
캐치,레브잇,[쇼포트] AI Engineer (Vision) 채용,"빅데이터/AI, ERP/시스템개발/설계",경력 1년↑,정규직,서울,,2026-11-06,https://www.catch.co.kr/Comp/CompDetail/B0496/Recruit/570160,,2026-09-07 17:57:03
캐치,다올투자증권,고객만족센터 신입/경력사원 채용,"고객관리/인바운드, 고객관리/인바운드/아웃바운드",경력,계약직,서울,,2026-09-13,https://www.catch.co.kr/Comp/CompDetail/C47004/Recruit/570159,,2026-09-07 17:57:03
캐치,레브잇,[쇼포트] AI Engineer Internship (Vision) 채용,"빅데이터/AI, ERP/시스템개발/설계",신입,인턴,서울,,2026-11-06,https://www.catch.co.kr/Comp/CompDetail/B0496/Recruit/570158,,2026-09-07 17:57:03
캐치,유엔난민기구,External Relations Intern 채용,"마케팅/PR/분석, 사무보조/문서작성, 설문/통계/리서치, 외국어/번역/통역, 전시/컨벤션",신입,인턴,서울,,2026-09-21,https://www.catch.co.kr/Comp/CompDetail/A1877/Recruit/570157,,2026-09-07 17:57:03
