공고URL,모집분야,직무키워드,담당업무,자격요건,우대사항,직급직책,근무형태,근무시간,급여,업종,직종,상세주소,모집인원,학력,수집시각
https://job.career.co.kr/recruit/view/21975838,"대기업골프장 호텔 외식사업부(정규직) 모집 안녕하세요. KHA한국호텔리어협회입니다. 경기, 충청, 경상, 호남, 강원권 골프장 호텔 에서 근무할 외식사업부 정규직원 을 모집하고 있습니다. 모집부문 모집부문 담당업무 지원조건 및 우대사항 프런트 - 골프장 프런트데스크 업무 - VIP회원제 운영/호텔 프런트 업무 동일 - 예약확인 : VIP고객 예약확인 - 고","골프캐디, 웨이터, 웨이트리스, 조리사, 홀써빙",,,"프런트 - 골프장 프런트데스크 업무 - VIP회원제 운영/호텔 프런트 업무 동일 - 예약확인 : VIP고객 예약확인 - 고객안내 : 전화, 라운딩 시간 등 안내 - 고객라운딩 후 정산 업무 - 골프용품 판매 - 회원관리 및 예약, 비서업무 - 성별 : 성별무관 - 학력 : 학력무관 - 경력 : 신입ㆍ경력 - 관광과호텔경영학과, 외식산업학과 - 졸업 및 예정자 가능 - 전공 상관없음 - 동일분야 경력자 우대 회원관리 예약실 골프샵 비서실 식음료 (F&B) - 클럽하우스 레스토랑 / VIP룸 / 그늘집 - (회원제 운영 / 호텔 식음료 업무 동일) - Greeting : VIP 고객의 영접 및 서빙 - Table Setting, 연회 세팅 및 행사 준비 - 식음료주문 및 서비스 - 캐셔 업무 - 한ㆍ일ㆍ양ㆍ중식(조리) - 리셉션 - 성별 : 남 / 녀 - 학력 : 학력무관 - 경력 : 신입ㆍ경력 - 관광과, 호텔경영, 외식산업 및 - 관련학과 전공자 우대 - 졸업 예정자 가능 - 전공상관없음 - 신입 정규직 지원가 웨이트레스 웨이터 컨시어시 케셔 연회부 리셉션 조리부 응시자격 남, 여 나이무관 초보가능 (관광호텔경력자 및 외식사업관련 경력자 우대) 남자의경우 군필자 우선채용 졸업예정자 및 휴학생 가능 급여조건 연봉 : (초봉) 연 3,300~3,700만원 [퇴직금 별도지급(급여 연차적인상) 각종수당및 매년 성과금 지급]",,정규직,"주5일근무, 9:00 ~ 18:00","연봉 3,400~3,600",골프캐디양성및권리보호 골프장호텔 무료취업추천,,경기 전지역,0명,학력무관,2026-09-08 14:25:43
https://job.career.co.kr/recruit/view/22117569,인카금융서비스(주) 금융조직을 이끌 차세대 리더를 모집합니다. 모집부문 및 자격요건 모집분야 담당업무 모집인원 지원자격 차세대 금융 리더 모집(보험) 금융전문가 양성 교육 이수/조직관리 및 리더십 역량 개발/팀 운영 및 인재 육성/고객 컨설팅 및 금융서비스 지원/성과관리 및 조직 성장 업무 00명 학력 : 학력무관 성별 : 성별무관 나이 : 연령무관 차세대,"금융영업, 보험설계, 보험영업",금융전문가 양성 교육 이수/조직관리 및 리더십 역량 개발/팀 운영 및 인재 육성/고객 컨설팅 및 금융서비스 지원/성과관리 및 조직 성장 업무,차세대 금융 리더 모집(보험) 금융전문가 양성 교육 이수/조직관리 및 리더십 역량 개발/팀 운영 및 인재 육성/고객 컨설팅 및 금융서비스 지원/성과관리 및 조직 성장 업무 00명 학력 : 학력무관 성별 : 성별무관 나이 : 연령무관 차세대 금융 리더 모집(보험) (00),,,프리랜서,"주5일근무, 9:00 ~ 18:00",회사내규에 따름 면접 후 결정,보험 판매,,서울 전지역,,학력무관,2026-09-08 14:25:43
https://job.career.co.kr/recruit/view/22111783,,"기타운송, 납품, 물류, 물류관리, 물류센터, 배송, 배차, 상품입출고, 운반.하역, 운송, 운전기사, 육로운송, 이삿짐센터, 중장비운전, 퀵서비스, 택배기사, 화물차운전",,,,,"정규직, 계약직, 프리랜서","주6일근무, 8:00 ~ 18:00",월급 500만원,"화물운송,광고대행",,대전 전지역,00명,학력무관,2026-09-08 14:25:44
https://job.career.co.kr/recruit/view/22103185,,"마케팅, 마케팅기획, 마케팅전략, 온라인마케팅, 키워드광고",,,,,정규직,"주5일근무, 9:30 ~ 19:00","연봉 3,000~3,200","온라인정보 제공,소프트웨어개발/사업경영,관리자문/광고대행",,부산 동구,0명,"대학(2,3년) 졸업 이상",2026-09-08 14:25:45
https://job.career.co.kr/recruit/view/22039271,"[현대그린푸드] 외식부문 홀서비스·판매 등 상시채용 현대그룹와 함께할 유능한 인재를 모집하오니 많은 관심과 지원 바랍니다. ""건강한 자연과 우리의 정직한 마음이 맛있는 삶을 만들어 갑니다."" 현대그린푸드는 종합식품기업으로 단체급식, 식자재 유통, 외식, 건강식 등 식품과 관련된 다양한 사업을 운영하고 있습니다. 건강하고 지속 가능한 식품과 음식을 제공하여 ","매니져, 매장관리, 소믈리에, 홀써빙",,"직무 세부세항 근무지 외식 서비스직 ( 0 명 ) [업무] 외식부분 홀 서비스: 홀서빙, 소믈리에, 그로서리 판매, 매니저 [","] 관련 전공(관광경영학, 호텔경영학 등) 졸업 우대 관련 경력(외식 홀 서비스, 소믈리에, 그로서리 판매 등) 보유 우대 관련 자격(CS Leaders, 국제 바리스타 등) 보유 우대 전국 (현대백화점 內 외식 사업장 등) ※ 대표 브랜드: h'Kichen(푸드코트), 본가스시(일식), 텍사스로드하우스(스테이크), EATALY(이탈리안 레스토랑), h'Dining(양식 레스토랑), 구찌오스테리아(파인다이닝), 현대블룸비스타(호텔케이터링) 등 ◆",,정규직,"주5일근무, 8:30 ~ 17:30",회사내규에 따름 면접 후 결정,"푸드서비스(단체급식),식자재,공산품,생식품 유통서비스",,서울 전지역,0명,학력무관,2026-09-08 14:25:45
https://job.career.co.kr/recruit/view/22103184,,"마케팅, 마케팅기획, 마케팅전략, 온라인마케팅, 키워드광고",,,,,정규직,"주5일근무, 9:30 ~ 19:00","연봉 3,000~3,200","온라인정보 제공,소프트웨어개발/사업경영,관리자문/광고대행",,부산 동구,0명,"대학(2,3년) 졸업 이상",2026-09-08 14:25:45
https://job.career.co.kr/recruit/view/22097198,"500 여 명 기사들의 지속적인 선택! 담당업무 ㆍ의정부 지역 센터 > 대전 중앙 물류 센터 (1회 순환 운행) ㆍ5톤 윙바디 화물차 운전 ㆍ수작업 없음(상하차시 휴식 대기) 급여조건 ㆍ고정급 완제 800만: 정부고시기준분류-기본운송료 700만원+추가배송수당100만원 ㆍ유류비, 통행비 별도 100% 지급, 식대지원은 없음 자격요건 ㆍ학력, 경력 : 무관 ㆍ",화물차운전,"ㆍ의정부 지역 센터 > 대전 중앙 물류 센터 (1회 순환 운행) ㆍ5톤 윙바디 화물차 운전 ㆍ수작업 없음(상하차시 휴식 대기) 급여조건 ㆍ고정급 완제 800만: 정부고시기준분류-기본운송료 700만원+추가배송수당100만원 ㆍ유류비, 통행비 별도 100% 지급, 식대지원은 없음","ㆍ학력, 경력 : 무관 ㆍ1종 보통 운전면허, 1종 대형면허 ㆍ화물운송자격증(추후 득해도 무방) 기본사항 ㆍ성실과 근면성으로 운전 업무에 임하셔야 함 상류층은 못 되어도 중산층으로 지속적인 여유를 만들어 갈 수 있습니다.",,,"정규직, 계약직","주6일근무, 20:00 ~ 10:00","월급 8,000,000만원","일반화물,화물자동차매매 알선 및 주선,자동차 매매업,화물자동차 출고 대행 서비스",,서울 전지역,2명,학력무관,2026-09-08 14:25:45
https://job.career.co.kr/recruit/view/22007553,"[글로벌 자동차 부품사] CATIA 설계 엔지니어 경력 (부산) 엘앤피자동차코리아(주)는 Leggett&Platt 의 자동차 그룹 한국지사로, 자동차 그룹 본사는 캐나다에 있으며, 자동차 시트내 요추받침대, 마사지 등을 제조하여 국내 자동차 업체에 납품하고 있습니다. Leggett & Platt, Incorporated 통합 본부 Carthage, Miss","기구설계, 자동차부품개발, CATIA",? CATIA를 활용한 자동차 부품 설계 ? 프로젝트 개발 지원 및 일정 관리 ? 기술 문서 작성 및 PLM 시스템 유지 관리 ? BOM 작성 / PLM 프로세스 및 도면 관리 / ISO 관련 문서 전반 관리 ? 제품 및 개발 관련 고객 상담 ? 고객과의 커뮤니케이션 및 국내외 출장 참여 등,CATIA 설계 엔지니어 ? CATIA를 활용한 자동차 부품 설계 ? 프로젝트 개발 지원 및 일정 관리 ? 기술 문서 작성 및 PLM 시스템 유지 관리 ? BOM 작성 / PLM 프로세스 및 도면 관리 / ISO 관련 문서 전반 관리 ? 제품 및 개발 관련 고객 상담 ? 고객과의 커뮤니케이션 및 국내외 출장 참여 등 1명 학력 : 대학교(4년) 졸업 이상 CATIA 설계 툴 사용 능력 필수 PLM 시스템 사용 경험 *,현대기아차 (HKMC) 프로젝트 유경험자 영어 커뮤니케이션 가능자 (예: OPIC IM2 이상 또는 TOEIC 600점이상) * 기타 3년 이상 경력자 (대리~차장급) 글로벌 환경에서 다양한 프로젝트에 참여할 수 있는 기회 제공 적극적이고 유연한 커뮤니케이션 역량을 갖춘 인재를 환영합니다. 고객 및 동료와의 소통에서 긍정적이고 능동적인 마인드를 지닌 분을 선호합니다. CATIA 설계 엔지니어 (1),,정규직,"주5일근무, 9:00 ~ 18:00",연봉 면접 후 결정,"자동차부품 제조,도매",,부산 사상구,,대학교(4년) 졸업 이상,2026-09-08 14:25:46
https://job.career.co.kr/recruit/view/22070497,"500 여 명 기사님들이 신뢰하는 기업! 포지션 및 자격요건 포지션 ( 3명 ) 담당업무 ㆍ 남양주 지역 센터 > 대전 중앙 물류 센터 ㆍ5톤 윙바디 화물차 운전 ㆍ수작업 없음(상하차시 휴식 대기) 급여조건 ㆍ고정급 완제 800만: 정부고시기준분류-기본운송료 700만원+추가배송수당 100만원 (매출제 변경 가능) ㆍ 유류비, 통행비 별도 100% 지급, 식",화물차운전,"ㆍ 남양주 지역 센터 > 대전 중앙 물류 센터 ㆍ5톤 윙바디 화물차 운전 ㆍ수작업 없음(상하차시 휴식 대기) 급여조건 ㆍ고정급 완제 800만: 정부고시기준분류-기본운송료 700만원+추가배송수당 100만원 (매출제 변경 가능) ㆍ 유류비, 통행비 별도 100% 지급, 식대지원은 없음","ㆍ학력, 경력 : 무관 ㆍ1종 보통 운전면허, 1종 대형면허 ㆍ화물운송자격증(추후 득해도 무방) 기본사항 ㆍ성실과 근면성으로 운전 업무에 임하셔야 함 저희와 함께 5톤 윙바디 화물차 운전으로 중산층 영유 가능합니다",,,"정규직, 계약직","주6일근무, 20:00 ~ 10:00","월급 8,000,000만원","일반화물,화물자동차매매 알선 및 주선,자동차 매매업,화물자동차 출고 대행 서비스",,서울 전지역,2명,학력무관,2026-09-08 14:25:46
https://job.career.co.kr/recruit/view/22193473,,,,,,,계약직,주6일근무,시급,,,부산 중구,,학력무관,2026-09-08 14:25:46
https://job.career.co.kr/recruit/view/22193472,,,,,,,계약직,주4일근무,월급,,,부산 영도구,,고등학교 졸업 이상,2026-09-08 14:25:46
https://job.career.co.kr/recruit/view/22193471,,,,,,,정규직,주5일근무,시급,,,부산 수영구,,학력무관,2026-09-08 14:25:47
https://job.career.co.kr/recruit/view/22193470,,,,,,,정규직,주5일근무,시급,,,부산 수영구,,학력무관,2026-09-08 14:25:47
https://job.career.co.kr/recruit/view/22193469,,,,,,,정규직,주3일근무,시급,,,부산 영도구,,학력무관,2026-09-08 14:25:47
https://job.career.co.kr/recruit/view/22193468,,,,,,,정규직,주5일근무,연봉,,,부산 사상구,,학력무관,2026-09-08 14:25:48
https://job.career.co.kr/recruit/view/22193467,,,,,,,계약직,주6일근무,시급,,,부산 서구,,학력무관,2026-09-08 14:25:48
https://job.career.co.kr/recruit/view/22193466,,,,,,,정규직,주5일근무,시급,,,부산 부산진구,,학력무관,2026-09-08 14:25:48
https://job.career.co.kr/recruit/view/22193465,,,,,,,정규직,주3일근무,시급,,,부산 금정구,,학력무관,2026-09-08 14:25:49
https://job.career.co.kr/recruit/view/22193464,,,,,,,정규직,주5일근무,월급,,,부산 동래구,,학력무관,2026-09-08 14:25:49
https://job.career.co.kr/recruit/view/22193463,,,,,,,계약직,주5일근무,월급,,,부산 기장군,,학력무관,2026-09-08 14:25:49
https://job.career.co.kr/recruit/view/22193462,,,,,,,정규직,주5일근무,시급,,,부산 강서구,,학력무관,2026-09-08 14:25:50
https://job.career.co.kr/recruit/view/22193118,,,,,,,정규직,주5일근무,월급,,,부산 해운대구,,학력무관,2026-09-08 14:25:50
https://job.career.co.kr/recruit/view/22193117,,,,,,,계약직,주6일근무,시급,,,부산 연제구,,학력무관,2026-09-08 14:25:50
https://job.career.co.kr/recruit/view/22193116,,,,,,,정규직,주5일근무,연봉,,,부산 사상구,,학력무관,2026-09-08 14:25:51
https://job.career.co.kr/recruit/view/22193031,,,,,,,계약직,주5일근무,연봉,,,부산 중구,,학력무관,2026-09-08 14:25:51
https://job.career.co.kr/recruit/view/22193030,,,,,,,계약직,주6일근무,월급,,,부산 기장군,,학력무관,2026-09-08 14:25:51
https://job.career.co.kr/recruit/view/22193029,,,,,,,계약직,주5일근무,월급,,,부산 기장군,,학력무관,2026-09-08 14:25:52
https://job.career.co.kr/recruit/view/22193028,,,,,,,계약직,주6일근무,월급,,,부산 동래구,,학력무관,2026-09-08 14:25:52
https://job.career.co.kr/recruit/view/22193027,,,,,,,계약직,주6일근무,월급,,,부산 연제구,,학력무관,2026-09-08 14:25:52
https://job.career.co.kr/recruit/view/22193026,,,,,,,계약직,주6일근무,월급,,,부산 동래구,,학력무관,2026-09-08 14:25:53
