통합키,회사명,공고제목,직무,직무상세,직무키워드,담당업무,자격요건,우대사항,직종,업종,직급직책,근무시간,급여,채용인원,채용인원구분,학력,상세주소,경력구분,최소연차,고용형태표준,시도,시군구,기술스택,마감일,마감구분,게재사이트수,게재사이트,대표URL,전체URL,수집시각,부산판정근거,부산판정확실도
KR2026090700000056,엘티삼보 주식회사,직영반장채용,"직영반장, 현장, 청소",,,"현장정리 및 청소, 용역관리 ■",,역 모집인원 1. 직영반장 계약직 - 학력 : 학력무관 - 경력 : 5년이상,,2026년 건축/안전/토목/경영/BIM 경력사원 모집,,07시 ~ 17시 (휴게시간 2시간 포함) - 식대제공 - 계약기간 : 채용시 ~ 현장 준공시 (27년 12월) - 급여 : 주6일 근무(월 26일) 기준 월 400만원 모집부문 : 직영반장,조건 학력무관,,없음,,,경력,5,계약직,부산,부산광역시,,,상시,1,건설워커,https://www.worker.co.kr/job/view.asp?jobid=all&no=1409241,https://www.worker.co.kr/job/view.asp?jobid=all&no=1409241,2026-09-07 20:25:05,시도=부산,강
KR2026090700000113,계룡건설산업(주),[계룡건설산업(주)] 쿠팡 부산FC 신축건설공사 현장(설계 직원 채용),"담당업무 자격요건 및, 현장, 설계, 직원, 설계 직원 채용",,,,,,,,,,,,없음,,,무관,0,,대전,대전광역시,,2026-09-23,기한,1,건설워커,https://www.worker.co.kr/job/view.asp?jobid=all&no=1412039,https://www.worker.co.kr/job/view.asp?jobid=all&no=1412039,2026-09-07 20:25:39,제목에 부산 지명,약
KR2026090700000120,현대엔지니어링㈜,현대엔지니어링 자산관리사업본부 순회사무소 경력직(계약직) 인재영입,"FM설비, FM전기, FM소방, FM건축, 사무",,,,,,,,,,,,없음,,,경력,3,계약직,서울,강서구,,2026-09-15,기한,3,"잡코리아, 캐치, 건설워커",https://www.jobkorea.co.kr/Recruit/GI_Read/49901079,https://www.worker.co.kr/job/view.asp?jobid=all&no=1412139 | https://www.jobkorea.co.kr/Recruit/GI_Read/49901079 | https://www.catch.co.kr/Comp/CompDetail/160216/Recruit/567568,2026-09-07 17:00:20,지역원문=부산,강
KR2026090700000148,(주)세보엠이씨,2026년 하반기 세보엠이씨/에스비테크 신입/경력사원 정규직 공개채용,"사원, 경력사원",,,,,,,기타제조업,,,,1,명시,,,무관,0,정규직,서울,서울특별시,,2026-09-07,기한,2,"건설워커, 부산일자리정보망",https://www.worker.co.kr/job/view.asp?jobid=all&no=1412425,https://www.worker.co.kr/job/view.asp?jobid=all&no=1412425 | https://www.busanjob.net/view.do?no=1308&pgMode=show&id=810796,2026-09-07 20:25:59,다지역(부산 포함),중
KR2026090700000245,주식회사 인우건축사사무소,토목분야(건설사업관리) 중급이상 단기모집,"건축, 토목, 조경, 사무",,,건설사업관리 토목분야 중급이상(등급 가능할 시 신입도 가능) 인우건축사사무소 CM단 부서 소속으로 함께할 예정입니다. □,,,,2026년 건축/안전/토목/경영/BIM 경력사원 모집,,,및 희망 연봉 기재 부탁 드립니다. ) - 경력증명서 꼭!! 제출 부탁드립니다. □,,없음,,,무관,0,,부산,부산광역시,,2026-09-30,기한,1,건설워커,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412964,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412964,2026-09-07 20:27:04,시도=부산,강
KR2026090700000249,(주)아이엔지그룹건축사사무소,남양주 LH 건설사업관리(토목:중급이상) 경력 우대(긴급),"건축, 토목, 조경, 토목:중급이상",,,,,,,,,,,,없음,,,경력,5,정규직,부산,부산광역시,,,상시,1,건설워커,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412974,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412974,2026-09-07 20:27:06,시도=부산,강
KR2026090700000250,(주)아이엔지그룹건축사사무소,건설사업관리(기계:고급이상) PQ대기,"건축, 토목, 조경, 기계, 기계:고급이상",,,,,,,,,,,,없음,,,경력,10,정규직,부산,부산광역시,,,상시,1,건설워커,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412975,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412975,2026-09-07 20:27:07,시도=부산,강
KR2026090700000251,(주)아이엔지그룹건축사사무소,교육연구시설 건설사업관리(토목:고급) 경력 우대(긴급),"건축, 토목, 조경, 교육, 연구, 토목:고급",,,,,,,,,,,,없음,,,경력,10,정규직,부산,부산광역시,,,상시,1,건설워커,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412976,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412976,2026-09-07 20:27:07,시도=부산,강
KR2026090700000252,(주)아이엔지그룹건축사사무소,부산 (건축:고급이상) 건설사업관리 경력2년 이상,"건축, 토목, 조경, 건축:고급이상",,,,,,,,,,,,없음,,,경력,10,정규직,부산,부산광역시,,,상시,1,건설워커,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412977,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412977,2026-09-07 20:27:08,시도=부산,강
KR2026090700000279,(주)비스타종합건설,(주)비스타종합건설 현장감리 채용(경력직),"건설, 현장, 감리, 시공, 품질, 공무, 행정, 시공 품질",,,• 신축/리노베이션 인테리어 현장 관리 전반 (시공 품질·안전 관리) • 공무 및 견적서 작성·검토 • 내역 관리 및 원가 관리 • 공정표 작성 및 일정 관리 • 인허가 및 착공/준공 관련 행정 업무 • 발주처·협력업체와의 현장 소통 • 현장 공정 및 협력업체 관리 📋 필수,"• 학력 : 학력무관 • 경력 : 관련 업계 경력 5년 이상 • 인테리어공사 경력자 • 자차 보유자 • 리노베이션 경험자 우대 * 홈페이지주소 : https:// www.vistadesign.kr/ 모집부문 : 건축,인테리어 현장기사(기술직),현장감리 학력 : 학력무관 경력 : 경력 : 5년 이상 인원 : 0명",,,2026년 건축/안전/토목/경영/BIM 경력사원 모집,,,조건 학력무관,,없음,,,경력,5,정규직,부산,부산광역시,,2026-09-30,기한,1,건설워커,https://www.worker.co.kr/job/view.asp?jobid=con&no=1413029,https://www.worker.co.kr/job/view.asp?jobid=con&no=1413029,2026-09-07 20:27:24,시도=부산,강
