직종코드,직종명,대분류코드,대분류명,부산공고수
307500,간호조무사,3,보건·의료,1152
550100,요양보호사,5,미용·여행·숙박·음식·경비·돌봄·청소,610
550102,재가 요양보호사,5,미용·여행·숙박·음식·경비·돌봄·청소,549
306400,치과위생사,3,보건·의료,280
531700,음료 조리원(바리스타 포함),5,미용·여행·숙박·음식·경비·돌봄·청소,257
304000,간호사,3,보건·의료,227
871100,제과원 및 제빵사,8,설치·정비·생산,192
029202,콜센터 상담원(콜센터·고객센터·CS센터),0,경영·사무·금융·보험,176
511400,피부 및 체형 관리사,5,미용·여행·숙박·음식·경비·돌봄·청소,161
561102,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",5,미용·여행·숙박·음식·경비·돌봄·청소,149
890000,기타 제조 관련 단순 종사원,8,설치·정비·생산,147
306501,물리치료사,3,보건·의료,141
231100,사회복지사,2,교육·법률·사회복지·경찰·소방·군인,127
306200,방사선사,3,보건·의료,110
232100,보육교사,2,교육·법률·사회복지·경찰·소방·군인,93
214101,영어 강사,2,교육·법률·사회복지·경찰·소방·군인,85
550101,요양보호사(노인요양사),5,미용·여행·숙박·음식·경비·돌봄·청소,81
027200,경리 사무원,0,경영·사무·금융·보험,80
615100,소규모 상점 경영 및 일선 관리 종사원(매장매니저·매장슈퍼바이저 등),6,영업·판매·운전·운송,78
214202,수학 강사,2,교육·법률·사회복지·경찰·소방·군인,74
813201,CNC 선반 조작원(NC 선반 조작원),8,설치·정비·생산,73
029210,병원 코디네이터,0,경영·사무·금융·보험,72
305000,영양사,3,보건·의료,69
306100,임상병리사,3,보건·의료,69
023100,회계사,0,경영·사무·금융·보험,64
026502,병원행정 사무원(원무),0,경영·사무·금융·보험,62
028100,무역 사무원,0,경영·사무·금융·보험,59
561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",5,미용·여행·숙박·음식·경비·돌봄·청소,58
813210,머시닝센터(MCT) 조작원,8,설치·정비·생산,54
159103,기계·금속 제도사(캐드원),1,연구·공학기술,52
824100,용접원,8,설치·정비·생산,51
834002,빌딩 전기관리원,8,설치·정비·생산,50
612106,"IT 기술영업원(전산장비,소프트웨어)",6,영업·판매·운전·운송,49
027102,회계 사무원(회계·세무 사무소),0,경영·사무·금융·보험,47
029400,비서,0,경영·사무·금융·보험,47
890006,식품 분야 단순 종사원,8,설치·정비·생산,46
231101,사회복지사(사회복지시설),2,교육·법률·사회복지·경찰·소방·군인,45
