통합키,정답코드,정답명,예측코드,근거,확실도,매칭토큰,정답13분류,예측13분류,추정코드,추정근거
KR2026090700037502,873102,어패류(수산물) 가공기계 조작원,8,상위합의,약,가공,10,10,,사전(학습) 「생선해체원」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700031193,151100,기계공학 기술자 및 연구원,0,상위합의,약,사무,02,01,,사전(학습) 「연구개발」 — 정답 7건 중 4건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700021814,813210,머시닝센터(MCT) 조작원,813210,별칭일치,강,mct조작원,10,10,,
KR2026090700037171,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700020522,027102,회계 사무원(회계·세무 사무소),027100,별칭일치,강,회계사무원,01,01,,
KR2026090700142513,158102,소방시설·설비 시공 기술자,0,상위합의,약,공무,02,01,,사전(학습) 「소방」 — 정답 33건 중 20건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700022410,813101,프레스 금형 제조원,8,상위합의,약,금형,10,10,,사전(학습) 「금형」 — 정답 37건 중 30건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700038005,028402,자재·구매 사무원(기계·자동차·금속),0,상위합의,약,금속,01,01,028402,사전(학습) 「금속」 — 정답 3건 중 2건이 028402 자재·구매 사무원(기계·자동차·금속)
KR2026090700026129,159103,기계·금속 제도사(캐드원),1,상위합의,약,설계,02,02,,사전(학습) 「설계」 — 정답 86건 중 66건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700022008,890001,기계·금속 분야 단순 종사원,890001,학습사전,중,기계분야단순노무자,10,10,,
KR2026090700020541,306500,물리 및 작업치료사,306501,별칭일치,강,물리치료사,04,04,,
KR2026090700031175,027200,경리 사무원,027200,별칭일치,강,경리사무원,01,01,,
KR2026090700015934,531803,병원 급식 조리사,5,상위합의,약,조리,06,06,,사전(학습) 「조리」 — 정답 127건 중 119건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700025705,890000,기타 제조 관련 단순 종사원,411100,별칭일치,강,작가,10,05,,
KR2026090700142382,813210,머시닝센터(MCT) 조작원,813210,학습사전,중,머시닝가공원,10,10,,
KR2026090700015589,813202,범용 선반 조작원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700019221,029904,사무 보조원(일반사업체),029904,학습사전,중,문서수발원(일반사업체),01,01,,
KR2026090700030164,813210,머시닝센터(MCT) 조작원,8,상위합의,약,기계,10,10,,사전(학습) 「기계」 — 정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700038278,028508,품질관리 사무원(기계·자동차·금속),028508,별칭일치,강,품질관리사무원(기계·자동차·금속),01,01,,
KR2026090700037891,890000,기타 제조 관련 단순 종사원,890000,학습사전,중,권선공,10,10,,
KR2026090700027161,026100,경영 기획 사무원,0,상위합의,약,사무,01,01,,사전(학습) 「사업기획사무원」 — 정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700020828,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700142186,706000,건설 및 광업 단순 종사원,8,상위합의,약,작업자,09,10,890000,사전(수동) 「작업자」 — 제조 단순 종사원
KR2026090700016002,027200,경리 사무원,0,상위합의,약,경리,01,01,,사전(학습) 「경리」 — 정답 57건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700028440,420402,수영·골프·테니스·배드민턴·탁구 등 스포츠 강사,2,상위합의,약,강사,05,03,,사전(학습) 「수영강사」 — 정답 2건 중 2건이 05 예술·디자인·방송·스포츠직 — 세세분류는 흩어진다
KR2026090700015960,016300,제품 생산 관련 관리자,0,상위합의,약,생산관리,01,01,,사전(학습) 「생산관리직」 — 정답 4건 중 3건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700142286,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700024886,703200,"공업 배관공(플랜트,항공,선박,철도차량)",7,상위합의,약,배관,09,09,,사전(학습) 「배관」 — 정답 26건 중 15건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700025478,159104,전기·전자 장비 제도사(캐드원),1,상위합의,약,설계,02,02,,사전(학습) 「설계」 — 정답 86건 중 66건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700016205,028511,품질관리 사무원(음식료품),8,상위합의,약,포장,01,01,,사전(학습) 「음식료품관련품질관리원」 — 정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
