중계열,직종대분류코드,가중치,근거,쟁점
경영ㆍ경제,0,0.8,경영·사무·금융·보험으로 직결,
경영ㆍ경제,6,0.2,영업·판매직 진출 경로 — 누락돼 있었다,수정
사회과학,0,0.6,행정·기획 사무,
사회과학,2,0.4,사회복지·공공,
법률,2,1.0,KECO 법률직은 2에 속함,
산업,0,0.7,산업공학 다수가 생산관리·기획 사무,
산업,1,0.3,공학기술 트랙,
언어ㆍ문학,0,0.4,무역·해외영업·일반사무,쟁점
언어ㆍ문학,2,0.4,어학강사,쟁점
언어ㆍ문학,4,0.2,방송·출판·콘텐츠,쟁점
인문과학,0,0.4,일반사무,쟁점
인문과학,2,0.6,교육·사회복지·연구,쟁점
컴퓨터ㆍ통신,1,1.0,정보통신 연구개발직 및 공학기술직,
전기ㆍ전자,1,0.5,공학기술직,
전기ㆍ전자,8,0.5,전기·전자 설치·정비·생산직,
기계ㆍ금속,1,0.5,공학기술직,
기계ㆍ금속,8,0.5,기계·금속 설치·정비·생산직,
소재ㆍ재료,1,0.5,공학기술직,
소재ㆍ재료,8,0.5,금속·재료 생산직,
정밀ㆍ에너지,1,0.5,공학기술직,
정밀ㆍ에너지,8,0.5,생산직,
화공,1,0.5,공학기술직,
화공,8,0.5,화학·환경 설치·정비·생산직,
건축,1,0.7,KECO는 건축기술자를 1에 둔다,
건축,7,0.3,현장 기능직,
토목ㆍ도시,1,0.7,토목기술자는 1,
토목ㆍ도시,7,0.3,현장 기능직,
디자인,4,1.0,,
응용예술,4,1.0,,
미술ㆍ조형,4,1.0,,
연극ㆍ영화,4,1.0,,
음악,4,1.0,,
무용ㆍ체육,4,1.0,KECO 4에 스포츠 포함,
치료ㆍ보건,3,1.0,,
간호,3,1.0,,
의료,3,1.0,,
약학,3,1.0,,
생활과학,0,0.4,식품·소비자·의류 기획사무,쟁점
생활과학,3,0.3,영양사·보건,쟁점
생활과학,5,0.3,조리·미용·아동돌봄,쟁점
생물ㆍ화학ㆍ환경,1,0.7,연구·공학기술직,
생물ㆍ화학ㆍ환경,3,0.3,임상병리·보건,
수학ㆍ물리ㆍ천문ㆍ지리,1,0.7,연구직,
수학ㆍ물리ㆍ천문ㆍ지리,2,0.3,교직 진출,
교육일반,2,1.0,,
유아교육,2,1.0,,
초등교육,2,1.0,,
중등교육,2,1.0,,
특수교육,2,1.0,,
교통ㆍ운송,1,0.5,해양공학 704명(90%)·조선해양·항공우주 — 선박/항공 설계·기관은 공학기술직,수정
교통ㆍ운송,8,0.25,조선 생산·정비,수정
교통ㆍ운송,6,0.25,항해사·기관사 등 운전·운송 실무,수정
농림ㆍ수산,9,1.0,,
