계열,표본,임금표본,부산잔류%,수도권%,부산이탈%,잔류자_월소득,이탈자_월소득,임금프리미엄%,t,유의
물류·운송,157,130,42.42,8.79,57.58,227.12,286.93,25.98,2.51,True
기계·전기전자,1041,863,44.02,11.95,55.98,210.97,266.01,25.63,6.43,True
자연과학,116,100,51.99,14.22,48.01,186.19,241.07,47.72,2.38,True
IT·컴퓨터,274,211,53.57,24.63,46.43,208.9,238.78,7.96,1.78,False
인문·어학,697,561,58.86,17.99,41.14,202.86,217.48,11.96,2.35,True
건설·토목,290,241,58.89,15.55,41.11,206.6,260.56,26.61,3.58,True
디자인·예술,564,456,62.27,16.18,37.73,174.88,187.08,5.54,0.88,False
경영·사무,991,805,62.85,10.14,37.15,214.04,230.85,0.99,0.24,False
교육,335,278,66.43,5.9,33.57,192.12,208.15,-0.35,-0.04,False
생활과학·화학,609,489,67.07,9.44,32.93,178.48,211.09,16.68,2.77,True
보건·의료,373,339,67.43,12.39,32.57,243.97,257.09,-4.73,-0.99,False
