시도,사업체수,종사자수,사업체수_300+,종사자수_300+,300인이상_종사자비중%,평균종사자
전국,6363262,25641480.0,4860,4093861.0,15.97,4.03
서울,1176066,5772456.0,1644,1412256.0,24.47,4.91
부산,402419,1563954.0,271,190580.0,12.19,3.89
대구,286841,1021246.0,141,100398.0,9.83,3.56
인천,328929,1271660.0,202,182968.0,14.39,3.87
광주,175238,673601.0,121,93501.0,13.88,3.84
대전,172209,706075.0,167,124189.0,17.59,4.1
울산,116775,568107.0,114,131419.0,23.13,4.86
세종,36117,172001.0,60,38776.0,22.54,4.76
경기,1604724,6269495.0,943,853489.0,13.61,3.91
강원,214203,751263.0,103,86507.0,11.51,3.51
충북,208190,861910.0,170,125843.0,14.6,4.14
충남,287424,1121335.0,188,159952.0,14.26,3.9
전북,252411,817157.0,114,83906.0,10.27,3.24
전남,253206,899604.0,145,101018.0,11.23,3.55
경북,344568,1283224.0,207,177540.0,13.84,3.72
경남,403774,1557690.0,224,191840.0,12.32,3.86
제주,100168,330702.0,46,39679.0,12.0,3.3
