시도,산업,규모,사업체수,종사자수
전국,전체산업,계,6363262,25641480.0
전국,전체산업,1-4명,5544378,7755895.0
전국,전체산업,5-9명,454441,2884345.0
전국,전체산업,10-19명,197943,2610191.0
전국,전체산업,20-49명,110202,3292764.0
전국,전체산업,50-99명,35034,2401643.0
전국,전체산업,100-299명,16404,2602781.0
전국,전체산업,300-499명,2414,914462.0
전국,전체산업,500-999명,1491,1032109.0
전국,전체산업,1000명이상,955,2147290.0
전국,"농업,임업및어업(01~03)",계,11967,62963.0
전국,"농업,임업및어업(01~03)",1-4명,8548,14587.0
전국,"농업,임업및어업(01~03)",5-9명,2032,13206.0
전국,"농업,임업및어업(01~03)",10-19명,838,11100.0
전국,"농업,임업및어업(01~03)",20-49명,453,13722.0
전국,"농업,임업및어업(01~03)",50-99명,71,4854.0
전국,"농업,임업및어업(01~03)",100-299명,20,2975.0
전국,"농업,임업및어업(01~03)",300-499명,3,1123.0
전국,"농업,임업및어업(01~03)",500-999명,2,
전국,광업(05~08),계,1913,13098.0
전국,광업(05~08),1-4명,1407,2678.0
전국,광업(05~08),5-9명,176,1142.0
전국,광업(05~08),10-19명,163,2238.0
전국,광업(05~08),20-49명,145,4236.0
전국,광업(05~08),50-99명,17,1139.0
전국,광업(05~08),100-299명,3,652.0
전국,광업(05~08),300-499명,1,
전국,광업(05~08),500-999명,1,
전국,제조업(10~34),계,509467,4159656.0
전국,제조업(10~34),1-4명,366097,653257.0
전국,제조업(10~34),5-9명,66447,420231.0
전국,제조업(10~34),10-19명,41436,546197.0
전국,제조업(10~34),20-49명,24775,740954.0
전국,제조업(10~34),50-99명,6467,446010.0
전국,제조업(10~34),100-299명,3452,548740.0
전국,제조업(10~34),300-499명,436,163878.0
전국,제조업(10~34),500-999명,224,149659.0
전국,제조업(10~34),1000명이상,133,490730.0
전국,"전기,가스,증기및공기조절공급업(35)",계,145874,212795.0
전국,"전기,가스,증기및공기조절공급업(35)",1-4명,144820,147260.0
전국,"전기,가스,증기및공기조절공급업(35)",5-9명,356,2253.0
전국,"전기,가스,증기및공기조절공급업(35)",10-19명,144,1981.0
전국,"전기,가스,증기및공기조절공급업(35)",20-49명,227,7705.0
전국,"전기,가스,증기및공기조절공급업(35)",50-99명,198,13762.0
전국,"전기,가스,증기및공기조절공급업(35)",100-299명,95,15952.0
전국,"전기,가스,증기및공기조절공급업(35)",300-499명,20,7577.0
전국,"전기,가스,증기및공기조절공급업(35)",500-999명,7,5100.0
전국,"전기,가스,증기및공기조절공급업(35)",1000명이상,7,11205.0
전국,"수도,하수및폐기물처리,원료재생업(36~39)",계,13733,132892.0
전국,"수도,하수및폐기물처리,원료재생업(36~39)",1-4명,8301,15222.0
전국,"수도,하수및폐기물처리,원료재생업(36~39)",5-9명,2137,13997.0
전국,"수도,하수및폐기물처리,원료재생업(36~39)",10-19명,1499,20562.0
전국,"수도,하수및폐기물처리,원료재생업(36~39)",20-49명,1328,41448.0
전국,"수도,하수및폐기물처리,원료재생업(36~39)",50-99명,361,24201.0
전국,"수도,하수및폐기물처리,원료재생업(36~39)",100-299명,104,15103.0
전국,"수도,하수및폐기물처리,원료재생업(36~39)",300-499명,2,
전국,"수도,하수및폐기물처리,원료재생업(36~39)",1000명이상,1,
전국,건설업(41~42),계,504267,1861094.0
전국,건설업(41~42),1-4명,436637,583740.0
전국,건설업(41~42),5-9명,38956,248689.0
전국,건설업(41~42),10-19명,17091,224644.0
전국,건설업(41~42),20-49명,8161,238667.0
전국,건설업(41~42),50-99명,1886,126911.0
전국,건설업(41~42),100-299명,1154,184887.0
전국,건설업(41~42),300-499명,217,81093.0
전국,건설업(41~42),500-999명,112,78028.0
전국,건설업(41~42),1000명이상,53,94435.0
전국,도매및소매업(45~47),계,1612664,3551791.0
전국,도매및소매업(45~47),1-4명,1489625,2021979.0
전국,도매및소매업(45~47),5-9명,84548,529909.0
전국,도매및소매업(45~47),10-19명,25635,332762.0
전국,도매및소매업(45~47),20-49명,9693,277000.0
전국,도매및소매업(45~47),50-99명,1984,133778.0
전국,도매및소매업(45~47),100-299명,1002,152190.0
전국,도매및소매업(45~47),300-499명,120,45439.0
전국,도매및소매업(45~47),500-999명,43,29899.0
전국,도매및소매업(45~47),1000명이상,14,28835.0
전국,운수및창고업(49~52),계,673767,1464734.0
전국,운수및창고업(49~52),1-4명,649858,693898.0
전국,운수및창고업(49~52),5-9명,9380,60832.0
전국,운수및창고업(49~52),10-19명,6136,82435.0
전국,운수및창고업(49~52),20-49명,5132,155417.0
전국,운수및창고업(49~52),50-99명,1889,129088.0
전국,운수및창고업(49~52),100-299명,1157,183020.0
전국,운수및창고업(49~52),300-499명,120,44578.0
전국,운수및창고업(49~52),500-999명,55,37258.0
전국,운수및창고업(49~52),1000명이상,40,78208.0
전국,숙박및음식점업(55~56),계,858195,2234009.0
전국,숙박및음식점업(55~56),1-4명,751787,1310234.0
전국,숙박및음식점업(55~56),5-9명,84566,522488.0
전국,숙박및음식점업(55~56),10-19명,17694,222173.0
전국,숙박및음식점업(55~56),20-49명,3361,95369.0
전국,숙박및음식점업(55~56),50-99명,596,38056.0
전국,숙박및음식점업(55~56),100-299명,157,25062.0
전국,숙박및음식점업(55~56),300-499명,16,6399.0
전국,숙박및음식점업(55~56),500-999명,14,9424.0
전국,숙박및음식점업(55~56),1000명이상,4,4804.0
전국,정보통신업(58~63),계,137647,858952.0
전국,정보통신업(58~63),1-4명,116042,147096.0
전국,정보통신업(58~63),5-9명,9167,59318.0
전국,정보통신업(58~63),10-19명,5741,76761.0
전국,정보통신업(58~63),20-49명,4107,124294.0
전국,정보통신업(58~63),50-99명,1372,94308.0
전국,정보통신업(58~63),100-299명,945,153991.0
전국,정보통신업(58~63),300-499명,157,59904.0
전국,정보통신업(58~63),500-999명,80,54401.0
전국,정보통신업(58~63),1000명이상,36,88879.0
전국,금융및보험업(64~66),계,69017,735916.0
전국,금융및보험업(64~66),1-4명,41149,60160.0
전국,금융및보험업(64~66),5-9명,10960,74309.0
전국,금융및보험업(64~66),10-19명,9061,120097.0
전국,금융및보험업(64~66),20-49명,5607,170814.0
전국,금융및보험업(64~66),50-99명,1674,108867.0
전국,금융및보험업(64~66),100-299명,404,63672.0
전국,금융및보험업(64~66),300-499명,77,29802.0
전국,금융및보험업(64~66),500-999명,49,34295.0
전국,금융및보험업(64~66),1000명이상,36,73900.0
전국,부동산업(68),계,277096,655270.0
전국,부동산업(68),1-4명,249928,325664.0
전국,부동산업(68),5-9명,18453,118558.0
전국,부동산업(68),10-19명,6485,83430.0
전국,부동산업(68),20-49명,1783,49350.0
전국,부동산업(68),50-99명,234,15803.0
전국,부동산업(68),100-299명,159,26784.0
전국,부동산업(68),300-499명,28,10550.0
전국,부동산업(68),500-999명,19,12928.0
전국,부동산업(68),1000명이상,7,12203.0
전국,"전문,과학및기술서비스업(70~73)",계,244426,1513309.0
전국,"전문,과학및기술서비스업(70~73)",1-4명,199548,288707.0
전국,"전문,과학및기술서비스업(70~73)",5-9명,24188,154563.0
전국,"전문,과학및기술서비스업(70~73)",10-19명,11041,146183.0
전국,"전문,과학및기술서비스업(70~73)",20-49명,6169,181217.0
전국,"전문,과학및기술서비스업(70~73)",50-99명,1892,130409.0
전국,"전문,과학및기술서비스업(70~73)",100-299명,1098,181445.0
전국,"전문,과학및기술서비스업(70~73)",300-499명,234,88768.0
전국,"전문,과학및기술서비스업(70~73)",500-999명,172,117952.0
전국,"전문,과학및기술서비스업(70~73)",1000명이상,84,224065.0
전국,"사업시설관리,사업지원및임대서비스업(74~76)",계,136241,1341037.0
전국,"사업시설관리,사업지원및임대서비스업(74~76)",1-4명,113601,156134.0
전국,"사업시설관리,사업지원및임대서비스업(74~76)",5-9명,8862,57236.0
전국,"사업시설관리,사업지원및임대서비스업(74~76)",10-19명,5261,70951.0
전국,"사업시설관리,사업지원및임대서비스업(74~76)",20-49명,4753,144442.0
전국,"사업시설관리,사업지원및임대서비스업(74~76)",50-99명,1709,117994.0
전국,"사업시설관리,사업지원및임대서비스업(74~76)",100-299명,1360,229937.0
