시도,산업,규모,월급여액,총근로시간
서울,전산업,전규모(1인이상),4270341.0,172.0
서울,전산업,-5인이상,4551791.0,173.0
서울,전산업,-10인이상,4671240.0,172.8
서울,전산업,-30인이상,4774179.0,172.2
서울,전산업,-1~9인,3146738.0,169.8
서울,전산업,-1~29인,3618849.0,171.8
서울,전산업,-1~299인,4035980.0,172.6
서울,전산업,-5~299인,4387090.0,174.2
서울,전산업,1~4인,2748206.0,166.7
서울,전산업,5~9인,3728396.0,174.4
서울,전산업,10~29인,4335953.0,174.8
서울,전산업,30~99인,4590106.0,173.0
서울,전산업,100~299인,4738432.0,174.4
서울,전산업,300인이상,4898868.0,170.7
서울,"광업.제조업(B,C)",전규모(1인이상),3729458.0,174.2
서울,"광업.제조업(B,C)",-5인이상,4191263.0,177.3
서울,"광업.제조업(B,C)",-10인이상,4314042.0,177.9
서울,"광업.제조업(B,C)",-30인이상,4488350.0,178.1
서울,"광업.제조업(B,C)",-1~9인,3018734.0,169.6
서울,"광업.제조업(B,C)",-1~29인,3419526.0,172.5
서울,"광업.제조업(B,C)",-1~299인,3668496.0,174.0
서울,"광업.제조업(B,C)",-5~299인,4130228.0,177.2
서울,"광업.제조업(B,C)",1~4인,2534591.0,166.1
서울,"광업.제조업(B,C)",5~9인,3800846.0,175.3
서울,"광업.제조업(B,C)",10~29인,4118673.0,177.7
서울,"광업.제조업(B,C)",30~99인,4281853.0,176.1
서울,"광업.제조업(B,C)",100~299인,4553058.0,181.8
서울,"광업.제조업(B,C)",300인이상,5330047.0,179.5
서울,건설업(F),전규모(1인이상),5512723.0,178.6
서울,건설업(F),-5인이상,5760338.0,180.7
서울,건설업(F),-10인이상,6042905.0,182.2
서울,건설업(F),-30인이상,6277963.0,184.6
서울,건설업(F),-1~9인,3863075.0,167.5
서울,건설업(F),-1~29인,4652346.0,171.9
서울,건설업(F),-1~299인,4982624.0,176.2
서울,건설업(F),-5~299인,5255405.0,178.8
서울,건설업(F),1~4인,3240644.0,159.6
서울,건설업(F),5~9인,4285066.0,172.8
서울,건설업(F),10~29인,5496100.0,176.7
서울,건설업(F),30~99인,5404490.0,180.8
서울,건설업(F),100~299인,5828086.0,188.3
서울,건설업(F),300인이상,6916141.0,185.1
서울,"도소매ㆍ음식숙박업(G,I)",전규모(1인이상),4157996.0,176.6
서울,"도소매ㆍ음식숙박업(G,I)",-5인이상,4780528.0,178.5
서울,"도소매ㆍ음식숙박업(G,I)",-10인이상,4996342.0,177.4
서울,"도소매ㆍ음식숙박업(G,I)",-30인이상,5224388.0,175.8
서울,"도소매ㆍ음식숙박업(G,I)",-1~9인,3149913.0,175.5
서울,"도소매ㆍ음식숙박업(G,I)",-1~29인,3573801.0,177.0
서울,"도소매ㆍ음식숙박업(G,I)",-1~299인,3955742.0,177.1
서울,"도소매ㆍ음식숙박업(G,I)",-5~299인,4593402.0,179.7
서울,"도소매ㆍ음식숙박업(G,I)",1~4인,2696355.0,172.0
서울,"도소매ㆍ음식숙박업(G,I)",5~9인,4022030.0,182.3
서울,"도소매ㆍ음식숙박업(G,I)",10~29인,4576033.0,180.5
서울,"도소매ㆍ음식숙박업(G,I)",30~99인,4900167.0,175.3
서울,"도소매ㆍ음식숙박업(G,I)",100~299인,5071050.0,180.1
서울,"도소매ㆍ음식숙박업(G,I)",300인이상,5771672.0,172.4
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",전규모(1인이상),3824523.0,168.6
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",-5인이상,3994043.0,169.6
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",-10인이상,4096561.0,169.5
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",-30인이상,4182616.0,168.8
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",-1~9인,2903015.0,165.5
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",-1~29인,3260848.0,168.3
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",-1~299인,3684193.0,168.7
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",-5~299인,3924856.0,170.3
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",1~4인,2698285.0,162.3
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",5~9인,3178865.0,169.9
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",10~29인,3768809.0,172.2
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",30~99인,4209232.0,170.4
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",100~299인,4353961.0,168.0
서울,"사업ㆍ개인ㆍ공공서비스업(E,L~S)",300인이상,4105324.0,168.4
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",전규모(1인이상),5232260.0,174.0
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",-5인이상,5387724.0,174.6
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",-10인이상,5445636.0,174.7
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",-30인이상,5520820.0,175.0
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",-1~9인,3884225.0,169.2
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",-1~29인,4542226.0,171.4
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",-1~299인,4810843.0,174.5
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",-5~299인,5000249.0,175.5
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",1~4인,3185154.0,166.2
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",5~9인,4631017.0,172.4
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",10~29인,5110563.0,173.4
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",30~99인,5002065.0,174.5
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",100~299인,5034430.0,179.1
서울,"전기ㆍ운수ㆍ통신ㆍ금융업(D,H,J,K)",300인이상,6113148.0,172.9
부산,전산업,전규모(1인이상),3578829.0,172.4
부산,전산업,-5인이상,3760214.0,173.3
부산,전산업,-10인이상,3843781.0,173.2
부산,전산업,-30인이상,3955929.0,173.3
부산,전산업,-1~9인,3091487.0,170.9
부산,전산업,-1~29인,3300022.0,171.7
부산,전산업,-1~299인,3472406.0,172.9
부산,전산업,-5~299인,3651914.0,174.1
부산,전산업,1~4인,2891962.0,169.0
부산,전산업,5~9인,3382395.0,173.6
부산,전산업,10~29인,3629758.0,173.0
부산,전산업,30~99인,3835711.0,176.2
부산,전산업,100~299인,3723207.0,173.3
부산,전산업,300인이상,4393177.0,168.5
부산,"광업.제조업(B,C)",전규모(1인이상),3840485.0,180.9
부산,"광업.제조업(B,C)",-5인이상,3958483.0,182.2
부산,"광업.제조업(B,C)",-10인이상,4023534.0,183.2
부산,"광업.제조업(B,C)",-30인이상,4365851.0,185.2
