중계열,여성비중,취업률_남,취업률_여,유지율_남,유지율_여,취업률격차,유지율격차
간호,87.1,84.2,71.5,68.2,77.1,12.7,-8.9
건축,36.5,70.9,63.0,79.6,71.8,7.9,7.8
경영ㆍ경제,57.1,62.0,58.2,72.0,65.2,3.8,6.8
교통ㆍ운송,19.9,78.8,61.4,83.7,67.9,17.4,15.8
기계ㆍ금속,12.5,67.8,62.0,82.4,73.9,5.8,8.5
기타,16.3,71.1,69.3,83.1,76.9,1.8,6.2
디자인,74.6,55.2,54.6,54.1,54.7,0.6,-0.6
무용ㆍ체육,36.6,66.9,66.2,48.4,43.8,0.7,4.6
미술ㆍ조형,82.9,54.3,47.8,47.4,34.5,6.5,12.9
법률,55.7,51.1,43.5,79.2,66.7,7.6,12.5
사회과학,63.2,58.6,57.2,71.8,67.8,1.4,4.0
산업,37.9,65.7,43.4,82.0,69.6,22.3,12.4
생물ㆍ화학ㆍ환경,55.5,53.8,49.9,70.9,70.2,3.9,0.7
생활과학,71.1,65.1,61.8,68.8,63.0,3.3,5.8
소재ㆍ재료,26.5,59.1,46.5,79.1,67.9,12.6,11.2
수학ㆍ물리ㆍ천문ㆍ지리,41.8,55.1,51.5,63.9,54.8,3.6,9.1
언어ㆍ문학,67.5,51.9,53.2,57.2,54.9,-1.3,2.3
음악,71.5,61.2,54.4,34.6,26.8,6.8,7.8
응용예술,74.4,51.1,54.4,52.2,47.0,-3.3,5.2
의료,58.1,64.4,77.5,63.5,78.3,-13.1,-14.8
인문과학,57.9,48.1,48.3,65.9,60.1,-0.2,5.8
전기ㆍ전자,15.9,58.7,54.6,79.1,76.8,4.1,2.3
중등교육,52.5,50.0,40.7,65.5,54.3,9.3,11.2
치료ㆍ보건,67.6,78.3,74.9,80.1,75.3,3.4,4.8
컴퓨터ㆍ통신,25.0,50.0,49.2,74.1,57.8,0.8,16.3
토목ㆍ도시,21.2,65.6,54.3,79.3,81.8,11.3,-2.5
화공,43.5,56.2,47.5,81.8,71.3,8.7,10.5
