연월,산업,시도,값
2025-08,"농업, 임업 및 어업",전 체,3713
2025-08,"농업, 임업 및 어업",서울,21
2025-08,"농업, 임업 및 어업",부산,53
2025-08,"농업, 임업 및 어업",대구,22
2025-08,"농업, 임업 및 어업",인천,133
2025-08,"농업, 임업 및 어업",광주,6
2025-08,"농업, 임업 및 어업",대전,8
2025-08,"농업, 임업 및 어업",울산,26
2025-08,"농업, 임업 및 어업",세종시,19
2025-08,"농업, 임업 및 어업",경기도,679
2025-08,"농업, 임업 및 어업",강원도,135
2025-08,"농업, 임업 및 어업",충청북도,181
2025-08,"농업, 임업 및 어업",충청남도,591
2025-08,"농업, 임업 및 어업",전라북도,393
2025-08,"농업, 임업 및 어업",전라남도,739
2025-08,"농업, 임업 및 어업",경상북도,292
2025-08,"농업, 임업 및 어업",경상남도,332
2025-08,"농업, 임업 및 어업",제주도,83
2025-08,광업,전 체,114
2025-08,광업,서울,7
2025-08,광업,부산,3
2025-08,광업,대구,0
2025-08,광업,인천,1
2025-08,광업,광주,0
2025-08,광업,대전,0
2025-08,광업,울산,0
2025-08,광업,세종시,0
2025-08,광업,경기도,15
2025-08,광업,강원도,43
2025-08,광업,충청북도,4
2025-08,광업,충청남도,0
2025-08,광업,전라북도,3
2025-08,광업,전라남도,4
2025-08,광업,경상북도,28
2025-08,광업,경상남도,6
2025-08,광업,제주도,0
2025-08,제조업,전 체,47628
2025-08,제조업,서울,1580
2025-08,제조업,부산,2124
2025-08,제조업,대구,1583
2025-08,제조업,인천,2284
2025-08,제조업,광주,1038
2025-08,제조업,대전,279
2025-08,제조업,울산,1968
2025-08,제조업,세종시,252
2025-08,제조업,경기도,14418
2025-08,제조업,강원도,664
2025-08,제조업,충청북도,3571
2025-08,제조업,충청남도,3679
2025-08,제조업,전라북도,2195
2025-08,제조업,전라남도,1880
2025-08,제조업,경상북도,3854
2025-08,제조업,경상남도,6139
2025-08,제조업,제주도,120
2025-08,"전기, 가스, 증기 및 공기조절 공급업",전 체,174
2025-08,"전기, 가스, 증기 및 공기조절 공급업",서울,2
2025-08,"전기, 가스, 증기 및 공기조절 공급업",부산,3
2025-08,"전기, 가스, 증기 및 공기조절 공급업",대구,2
2025-08,"전기, 가스, 증기 및 공기조절 공급업",인천,1
2025-08,"전기, 가스, 증기 및 공기조절 공급업",광주,0
2025-08,"전기, 가스, 증기 및 공기조절 공급업",대전,0
2025-08,"전기, 가스, 증기 및 공기조절 공급업",울산,21
2025-08,"전기, 가스, 증기 및 공기조절 공급업",세종시,1
2025-08,"전기, 가스, 증기 및 공기조절 공급업",경기도,8
2025-08,"전기, 가스, 증기 및 공기조절 공급업",강원도,6
2025-08,"전기, 가스, 증기 및 공기조절 공급업",충청북도,0
2025-08,"전기, 가스, 증기 및 공기조절 공급업",충청남도,35
2025-08,"전기, 가스, 증기 및 공기조절 공급업",전라북도,78
2025-08,"전기, 가스, 증기 및 공기조절 공급업",전라남도,1
2025-08,"전기, 가스, 증기 및 공기조절 공급업",경상북도,8
2025-08,"전기, 가스, 증기 및 공기조절 공급업",경상남도,6
2025-08,"전기, 가스, 증기 및 공기조절 공급업",제주도,2
2025-08,"수도, 하수 및 폐기물 처리, 원료 재생업",전 체,969
2025-08,"수도, 하수 및 폐기물 처리, 원료 재생업",서울,54
2025-08,"수도, 하수 및 폐기물 처리, 원료 재생업",부산,55
2025-08,"수도, 하수 및 폐기물 처리, 원료 재생업",대구,23
2025-08,"수도, 하수 및 폐기물 처리, 원료 재생업",인천,72
