연월,축,항목,시도,값
2025-08,형태,기간의 정함이 없는 근로계약(시간제),전 체,20260
2025-08,형태,기간의 정함이 없는 근로계약(시간제),서울,3709
2025-08,형태,기간의 정함이 없는 근로계약(시간제),부산,2613
2025-08,형태,기간의 정함이 없는 근로계약(시간제),대구,1624
2025-08,형태,기간의 정함이 없는 근로계약(시간제),인천,2036
2025-08,형태,기간의 정함이 없는 근로계약(시간제),광주,123
2025-08,형태,기간의 정함이 없는 근로계약(시간제),대전,93
2025-08,형태,기간의 정함이 없는 근로계약(시간제),울산,411
2025-08,형태,기간의 정함이 없는 근로계약(시간제),세종시,31
2025-08,형태,기간의 정함이 없는 근로계약(시간제),경기도,6102
2025-08,형태,기간의 정함이 없는 근로계약(시간제),강원도,247
2025-08,형태,기간의 정함이 없는 근로계약(시간제),충청북도,147
2025-08,형태,기간의 정함이 없는 근로계약(시간제),충청남도,233
2025-08,형태,기간의 정함이 없는 근로계약(시간제),전라북도,718
2025-08,형태,기간의 정함이 없는 근로계약(시간제),전라남도,289
2025-08,형태,기간의 정함이 없는 근로계약(시간제),경상북도,666
2025-08,형태,기간의 정함이 없는 근로계약(시간제),경상남도,1193
2025-08,형태,기간의 정함이 없는 근로계약(시간제),제주도,25
2025-08,형태,기간의 정함이 있는 근로계약,전 체,42578
2025-08,형태,기간의 정함이 있는 근로계약,서울,14307
2025-08,형태,기간의 정함이 있는 근로계약,부산,2850
2025-08,형태,기간의 정함이 있는 근로계약,대구,1780
2025-08,형태,기간의 정함이 있는 근로계약,인천,1496
2025-08,형태,기간의 정함이 있는 근로계약,광주,510
2025-08,형태,기간의 정함이 있는 근로계약,대전,924
2025-08,형태,기간의 정함이 있는 근로계약,울산,674
2025-08,형태,기간의 정함이 있는 근로계약,세종시,146
2025-08,형태,기간의 정함이 있는 근로계약,경기도,8527
2025-08,형태,기간의 정함이 있는 근로계약,강원도,1164
2025-08,형태,기간의 정함이 있는 근로계약,충청북도,1773
2025-08,형태,기간의 정함이 있는 근로계약,충청남도,1765
2025-08,형태,기간의 정함이 있는 근로계약,전라북도,1461
2025-08,형태,기간의 정함이 있는 근로계약,전라남도,1065
2025-08,형태,기간의 정함이 있는 근로계약,경상북도,1900
2025-08,형태,기간의 정함이 있는 근로계약,경상남도,1972
2025-08,형태,기간의 정함이 있는 근로계약,제주도,264
2025-08,형태,기간의 정함이 있는 근로계약(시간제),전 체,4092
2025-08,형태,기간의 정함이 있는 근로계약(시간제),서울,1291
2025-08,형태,기간의 정함이 있는 근로계약(시간제),부산,318
2025-08,형태,기간의 정함이 있는 근로계약(시간제),대구,194
2025-08,형태,기간의 정함이 있는 근로계약(시간제),인천,296
2025-08,형태,기간의 정함이 있는 근로계약(시간제),광주,37
2025-08,형태,기간의 정함이 있는 근로계약(시간제),대전,100
2025-08,형태,기간의 정함이 있는 근로계약(시간제),울산,72
2025-08,형태,기간의 정함이 있는 근로계약(시간제),세종시,14
2025-08,형태,기간의 정함이 있는 근로계약(시간제),경기도,939
2025-08,형태,기간의 정함이 있는 근로계약(시간제),강원도,120
2025-08,형태,기간의 정함이 있는 근로계약(시간제),충청북도,55
2025-08,형태,기간의 정함이 있는 근로계약(시간제),충청남도,66
2025-08,형태,기간의 정함이 있는 근로계약(시간제),전라북도,227
2025-08,형태,기간의 정함이 있는 근로계약(시간제),전라남도,66
2025-08,형태,기간의 정함이 있는 근로계약(시간제),경상북도,115
2025-08,형태,기간의 정함이 있는 근로계약(시간제),경상남도,168
2025-08,형태,기간의 정함이 있는 근로계약(시간제),제주도,14
2025-08,형태,일용직,전 체,1541
2025-08,형태,일용직,서울,257
2025-08,형태,일용직,부산,10
2025-08,형태,일용직,대구,181
2025-08,형태,일용직,인천,5
2025-08,형태,일용직,광주,7
2025-08,형태,일용직,대전,7
2025-08,형태,일용직,울산,1
2025-08,형태,일용직,세종시,0
2025-08,형태,일용직,경기도,118
2025-08,형태,일용직,강원도,1
2025-08,형태,일용직,충청북도,30
2025-08,형태,일용직,충청남도,2
2025-08,형태,일용직,전라북도,511
2025-08,형태,일용직,전라남도,410
2025-08,형태,일용직,경상북도,0
2025-08,형태,일용직,경상남도,1
2025-08,형태,일용직,제주도,0
2025-08,학력,초졸 이하,전 체,78
2025-08,학력,초졸 이하,서울,0
