계열,졸업자,공공수요%,민간수요%,구인배수,대졸요구율,주력직종,주력직종비중,대졸신입공고,전용도,배출%,N명당_대졸신입1개,배분의존,부산이탈%,수도권%,잔류자_월소득,이탈자_월소득,임금프리미엄%,t,유의,표본,양성,수요·매칭,창업
경영·사무,10350,10.33,19.77,0.22,32.32,경영·사무·금융·보험,70.72,412.94,0.69,28.47,25.06,False,37.15,10.14,214.04,230.85,0.99,0.24,False,991.0,3,0,0
기계·전기전자,4927,11.01,12.48,0.32,26.4,연구·공학기술,50.0,89.33,0.5,13.55,55.15,True,55.98,11.95,210.97,266.01,25.63,6.43,True,1041.0,7,0,0
디자인·예술,4390,0.78,3.51,0.06,22.1,예술·디자인·방송·스포츠,100.0,25.56,0.91,12.08,171.74,False,37.73,16.18,174.88,187.08,5.54,0.88,False,564.0,4,0,1
보건·의료,4281,2.83,13.43,0.16,42.3,보건·의료,100.0,74.21,0.83,11.78,57.68,False,32.57,12.39,243.97,257.09,-4.73,-0.99,False,373.0,1,0,0
인문·어학,3312,8.42,13.03,0.25,40.61,교육·법률·사회복지·경찰·소방,47.36,138.68,0.26,9.11,23.88,True,41.14,17.99,202.86,217.48,11.96,2.35,True,697.0,0,0,0
생활과학·화학,2843,10.09,14.0,0.21,36.01,연구·공학기술,39.25,68.4,0.23,7.82,41.56,True,32.93,9.44,178.48,211.09,16.68,2.77,True,609.0,0,0,0
IT·컴퓨터,1917,3.23,9.04,0.14,45.2,연구·공학기술,100.0,50.77,0.26,5.27,37.76,True,46.43,24.63,208.9,238.78,7.96,1.78,False,274.0,5,0,0
교육,1593,7.66,5.79,0.35,55.7,교육·법률·사회복지·경찰·소방,100.0,95.11,0.32,4.38,16.75,True,33.57,5.9,192.12,208.15,-0.35,-0.04,False,335.0,0,0,0
건설·토목,1335,3.03,6.42,0.17,34.94,연구·공학기술,70.0,25.75,0.16,3.67,51.85,True,41.11,15.55,206.6,260.56,26.61,3.58,True,290.0,1,0,0
물류·운송,781,7.88,11.3,0.26,29.65,연구·공학기술,50.0,23.88,0.1,2.15,32.7,True,57.58,8.79,227.12,286.93,25.98,2.51,True,157.0,1,1,0
자연과학,476,4.56,8.06,0.2,48.35,연구·공학기술,70.0,17.35,0.04,1.31,27.43,True,48.01,14.22,186.19,241.07,47.72,2.38,True,116.0,0,0,0
농림·수산,151,1.26,0.26,0.5,7.1,농림어업,100.0,1.0,1.0,0.42,151.0,False,,,,,,,,,0,2,0
