,졸업자,공공구인,공공구직,민간공고,민간대졸공고,졸업자%,공공구인%,공공구직%,민간공고%,민간대졸공고%,구인배수,배출-공공수요,배출-민간수요
경영·사무·금융·보험,9144.1,15274,83145,5891,686,25.15,11.73,22.0,24.62,30.93,0.18,13.42,0.53
연구·공학기술,7249.6,4204,29460,2162,457,19.94,3.23,7.8,9.04,20.6,0.14,16.71,10.91
보건·의료,5133.9,3688,23050,3214,172,14.12,2.83,6.1,13.43,7.75,0.16,11.29,0.69
교육·법률·사회복지·경찰·소방,5024.8,9982,28596,1385,508,13.82,7.66,7.57,5.79,22.9,0.35,6.16,8.03
예술·디자인·방송·스포츠,4808.6,1020,16272,839,71,13.23,0.78,4.31,3.51,3.2,0.06,12.44,9.72
설치·정비·생산,2658.75,24481,48575,3812,79,7.31,18.8,12.85,15.93,3.56,0.5,-11.48,-8.62
영업·판매·운전·운송,1410.05,8181,30454,2673,217,3.88,6.28,8.06,11.17,9.78,0.27,-2.4,-7.29
건설·채굴,400.5,3334,15243,76,4,1.1,2.56,4.03,0.32,0.18,0.22,-1.46,0.78
미용·여행·숙박·음식·경비·돌봄·청소,374.7,58446,99826,3815,23,1.03,44.87,26.41,15.94,1.04,0.59,-43.84,-14.91
농림어업,151.0,1637,3303,62,1,0.42,1.26,0.87,0.26,0.05,0.5,-0.84,0.16
