,졸업자,공공구인,공공구직,민간공고,민간대졸공고,졸업자%,공공구인%,공공구직%,민간공고%,민간대졸공고%,구인배수,배출-공공수요,배출-민간수요,대졸요구율,신입가능율,정규직율,연봉중앙값
경영·사무·금융·보험,10358.9,15274,83145,5891,686,28.49,11.73,22.0,24.62,30.93,0.18,16.77,3.87,28.6,60.6,80.4,3000
연구·공학기술,6859.1,4204,29460,2162,457,18.87,3.23,7.8,9.04,20.6,0.14,15.64,9.83,45.2,45.0,85.0,3500
보건·의료,5133.9,3688,23050,3214,172,14.12,2.83,6.1,13.43,7.75,0.16,11.29,0.69,42.3,67.4,89.4,3000
교육·법률·사회복지·경찰·소방,5024.8,9982,28596,1385,508,13.82,7.66,7.57,5.79,22.9,0.35,6.16,8.03,55.7,66.2,59.5,2760
예술·디자인·방송·스포츠,4808.6,1020,16272,839,71,13.23,0.78,4.31,3.51,3.2,0.06,12.44,9.72,22.1,55.1,77.3,3009
설치·정비·생산,2463.5,24481,48575,3812,79,6.78,18.8,12.85,15.93,3.56,0.5,-12.02,-9.15,7.6,65.4,83.7,3000
영업·판매·운전·운송,781.0,8181,30454,2673,217,2.15,6.28,8.06,11.17,9.78,0.27,-4.13,-9.02,20.6,67.5,78.7,3450
건설·채굴,400.5,3334,15243,76,4,1.1,2.56,4.03,0.32,0.18,0.22,-1.46,0.78,11.0,61.8,64.5,3600
미용·여행·숙박·음식·경비·돌봄·청소,374.7,58446,99826,3815,23,1.03,44.87,26.41,15.94,1.04,0.59,-43.84,-14.91,4.2,76.9,74.7,2588
농림어업,151.0,1637,3303,62,1,0.42,1.26,0.87,0.26,0.05,0.5,-0.84,0.16,7.1,82.8,62.1,2910
