시나리오,경영·사무·금융·보험,연구·공학기술,교육·법률·사회복지·경찰·소방,보건·의료,예술·디자인·방송·스포츠,미용·여행·숙박·음식·경비·돌봄·청소,영업·판매·운전·운송,건설·채굴,설치·정비·생산,농림어업,대졸직종_배출%,비대졸직종_배출%,ρ(배출~구인배수)
기준(가중배분),28.49,18.87,13.82,14.12,13.23,1.03,2.15,1.1,6.78,0.42,46.81,9.32,-0.65
언어ㆍ문→경영·사무· / 인문과학→경영·사무· / 생활과학→경영·사무·,36.02,18.87,9.51,13.09,12.08,0.0,2.15,1.1,6.78,0.42,41.46,8.29,-0.75
언어ㆍ문→경영·사무· / 인문과학→경영·사무· / 생활과학→보건·의료,32.58,18.87,9.51,16.53,12.08,0.0,2.15,1.1,6.78,0.42,44.9,8.29,-0.75
언어ㆍ문→경영·사무· / 인문과학→경영·사무· / 생활과학→미용·여행·,32.58,18.87,9.51,13.09,12.08,3.44,2.15,1.1,6.78,0.42,41.46,11.73,-0.61
언어ㆍ문→경영·사무· / 인문과학→교육·법률· / 생활과학→경영·사무·,32.67,18.87,12.86,13.09,12.08,0.0,2.15,1.1,6.78,0.42,44.82,8.29,-0.67
언어ㆍ문→경영·사무· / 인문과학→교육·법률· / 생활과학→보건·의료,29.23,18.87,12.86,16.53,12.08,0.0,2.15,1.1,6.78,0.42,48.25,8.29,-0.67
언어ㆍ문→경영·사무· / 인문과학→교육·법률· / 생활과학→미용·여행·,29.23,18.87,12.86,13.09,12.08,3.44,2.15,1.1,6.78,0.42,44.82,11.73,-0.54
언어ㆍ문→교육·법률· / 인문과학→경영·사무· / 생활과학→경영·사무·,30.26,18.87,15.26,13.09,12.08,0.0,2.15,1.1,6.78,0.42,47.22,8.29,-0.62
언어ㆍ문→교육·법률· / 인문과학→경영·사무· / 생활과학→보건·의료,26.83,18.87,15.26,16.53,12.08,0.0,2.15,1.1,6.78,0.42,50.66,8.29,-0.67
언어ㆍ문→교육·법률· / 인문과학→경영·사무· / 생활과학→미용·여행·,26.83,18.87,15.26,13.09,12.08,3.44,2.15,1.1,6.78,0.42,47.22,11.73,-0.49
언어ㆍ문→교육·법률· / 인문과학→교육·법률· / 생활과학→경영·사무·,26.91,18.87,18.62,13.09,12.08,0.0,2.15,1.1,6.78,0.42,50.57,8.29,-0.62
언어ㆍ문→교육·법률· / 인문과학→교육·법률· / 생활과학→보건·의료,23.47,18.87,18.62,16.53,12.08,0.0,2.15,1.1,6.78,0.42,54.01,8.29,-0.62
언어ㆍ문→교육·법률· / 인문과학→교육·법률· / 생활과학→미용·여행·,23.47,18.87,18.62,13.09,12.08,3.44,2.15,1.1,6.78,0.42,50.57,11.73,-0.49
언어ㆍ문→예술·디자인 / 인문과학→경영·사무· / 생활과학→경영·사무·,30.26,18.87,9.51,13.09,17.83,0.0,2.15,1.1,6.78,0.42,41.46,8.29,-0.77
언어ㆍ문→예술·디자인 / 인문과학→경영·사무· / 생활과학→보건·의료,26.83,18.87,9.51,16.53,17.83,0.0,2.15,1.1,6.78,0.42,44.9,8.29,-0.77
언어ㆍ문→예술·디자인 / 인문과학→경영·사무· / 생활과학→미용·여행·,26.83,18.87,9.51,13.09,17.83,3.44,2.15,1.1,6.78,0.42,41.46,11.73,-0.64
언어ㆍ문→예술·디자인 / 인문과학→교육·법률· / 생활과학→경영·사무·,26.91,18.87,12.86,13.09,17.83,0.0,2.15,1.1,6.78,0.42,44.82,8.29,-0.77
언어ㆍ문→예술·디자인 / 인문과학→교육·법률· / 생활과학→보건·의료,23.47,18.87,12.86,16.53,17.83,0.0,2.15,1.1,6.78,0.42,48.25,8.29,-0.77
언어ㆍ문→예술·디자인 / 인문과학→교육·법률· / 생활과학→미용·여행·,23.47,18.87,12.86,13.09,17.83,3.44,2.15,1.1,6.78,0.42,44.82,11.73,-0.64
