크로스워크,학제,수요,대졸직종_배출%,대졸직종_수요%,ρ,격차_경영·사무·금융·보험,격차_연구·공학기술,격차_교육·법률·사회복지·경찰·소방,격차_보건·의료,격차_예술·디자인·방송·스포츠,격차_미용·여행·숙박·음식·경비·돌봄·청소,격차_영업·판매·운전·운송,격차_건설·채굴,격차_설치·정비·생산,격차_농림어업,배율
기준(가중배분),전체,공공(고용24),47.883,13.723,-0.648,13.425,16.713,6.157,11.29,12.443,-43.843,-2.403,-1.458,-11.483,-0.842,3.489
기준(가중배분),전체,민간(크롤링),47.883,28.254,-0.648,0.533,10.906,8.033,0.69,9.72,-14.912,-7.292,0.784,-8.617,0.156,1.695
기준(가중배분),4년제만,공공(고용24),45.754,13.723,-0.624,15.603,19.222,5.923,6.886,11.621,-44.117,-1.715,-1.236,-11.41,-0.777,3.334
기준(가중배분),4년제만,민간(크롤링),45.754,28.254,-0.624,2.711,13.415,7.799,-3.714,8.897,-15.187,-6.605,1.006,-8.544,0.221,1.619
기준(가중배분),전문대만,공공(고용24),53.188,13.723,-0.624,6.759,8.639,3.211,27.615,15.958,-42.819,-4.685,-2.202,-11.422,-1.054,3.876
기준(가중배분),전문대만,민간(크롤링),53.188,28.254,-0.624,-6.133,2.832,5.087,17.015,13.235,-13.889,-9.574,0.04,-8.557,-0.056,1.882
언어→0 / 인문→0 / 생활→0,전체,공공(고용24),42.538,13.723,-0.745,20.952,16.713,1.843,10.259,11.292,-44.873,-2.403,-1.458,-11.483,-0.842,3.1
언어→0 / 인문→0 / 생활→0,전체,민간(크롤링),42.538,28.254,-0.745,8.06,10.906,3.719,-0.341,8.569,-15.943,-7.292,0.784,-8.617,0.156,1.506
언어→0 / 인문→0 / 생활→0,4년제만,공공(고용24),39.691,13.723,-0.77,23.874,19.222,0.617,6.129,10.168,-44.873,-1.715,-1.236,-11.41,-0.777,2.892
언어→0 / 인문→0 / 생활→0,4년제만,민간(크롤링),39.691,28.254,-0.77,10.983,13.415,2.493,-4.47,7.445,-15.943,-6.605,1.006,-8.544,0.221,1.405
언어→0 / 인문→0 / 생활→0,전문대만,공공(고용24),50.167,13.723,-0.758,11.963,8.639,2.245,25.561,15.829,-44.873,-4.685,-2.202,-11.422,-1.054,3.656
언어→0 / 인문→0 / 생활→0,전문대만,민간(크롤링),50.167,28.254,-0.758,-0.929,2.832,4.121,14.961,13.106,-15.943,-9.574,0.04,-8.557,-0.056,1.776
언어→0 / 인문→0 / 생활→3,전체,공공(고용24),45.973,13.723,-0.745,17.516,16.713,1.843,13.694,11.292,-44.873,-2.403,-1.458,-11.483,-0.842,3.35
언어→0 / 인문→0 / 생활→3,전체,민간(크롤링),45.973,28.254,-0.745,4.625,10.906,3.719,3.095,8.569,-15.943,-7.292,0.784,-8.617,0.156,1.627
언어→0 / 인문→0 / 생활→3,4년제만,공공(고용24),42.212,13.723,-0.745,21.353,19.222,0.617,8.65,10.168,-44.873,-1.715,-1.236,-11.41,-0.777,3.076
언어→0 / 인문→0 / 생활→3,4년제만,민간(크롤링),42.212,28.254,-0.745,8.462,13.415,2.493,-1.949,7.445,-15.943,-6.605,1.006,-8.544,0.221,1.494
언어→0 / 인문→0 / 생활→3,전문대만,공공(고용24),57.015,13.723,-0.758,5.116,8.639,2.245,32.408,15.829,-44.873,-4.685,-2.202,-11.422,-1.054,4.155
언어→0 / 인문→0 / 생활→3,전문대만,민간(크롤링),57.015,28.254,-0.758,-7.776,2.832,4.121,21.808,13.106,-15.943,-9.574,0.04,-8.557,-0.056,2.018
언어→0 / 인문→0 / 생활→5,전체,공공(고용24),42.538,13.723,-0.661,17.516,16.713,1.843,10.259,11.292,-41.438,-2.403,-1.458,-11.483,-0.842,3.1
언어→0 / 인문→0 / 생활→5,전체,민간(크롤링),42.538,28.254,-0.661,4.625,10.906,3.719,-0.341,8.569,-12.508,-7.292,0.784,-8.617,0.156,1.506
언어→0 / 인문→0 / 생활→5,4년제만,공공(고용24),39.691,13.723,-0.685,21.353,19.222,0.617,6.129,10.168,-42.352,-1.715,-1.236,-11.41,-0.777,2.892
언어→0 / 인문→0 / 생활→5,4년제만,민간(크롤링),39.691,28.254,-0.685,8.462,13.415,2.493,-4.47,7.445,-13.422,-6.605,1.006,-8.544,0.221,1.405
언어→0 / 인문→0 / 생활→5,전문대만,공공(고용24),50.167,13.723,-0.624,5.116,8.639,2.245,25.561,15.829,-38.026,-4.685,-2.202,-11.422,-1.054,3.656
언어→0 / 인문→0 / 생활→5,전문대만,민간(크롤링),50.167,28.254,-0.624,-7.776,2.832,4.121,14.961,13.106,-9.095,-9.574,0.04,-8.557,-0.056,1.776
언어→0 / 인문→2 / 생활→0,전체,공공(고용24),45.891,13.723,-0.673,17.599,16.713,5.196,10.259,11.292,-44.873,-2.403,-1.458,-11.483,-0.842,3.344
언어→0 / 인문→2 / 생활→0,전체,민간(크롤링),45.891,28.254,-0.673,4.707,10.906,7.072,-0.341,8.569,-15.943,-7.292,0.784,-8.617,0.156,1.624
언어→0 / 인문→2 / 생활→0,4년제만,공공(고용24),43.695,13.723,-0.648,19.871,19.222,4.62,6.129,10.168,-44.873,-1.715,-1.236,-11.41,-0.777,3.184
언어→0 / 인문→2 / 생활→0,4년제만,민간(크롤링),43.695,28.254,-0.648,6.979,13.415,6.496,-4.47,7.445,-15.943,-6.605,1.006,-8.544,0.221,1.546
언어→0 / 인문→2 / 생활→0,전문대만,공공(고용24),51.347,13.723,-0.758,10.784,8.639,3.424,25.561,15.829,-44.873,-4.685,-2.202,-11.422,-1.054,3.742
언어→0 / 인문→2 / 생활→0,전문대만,민간(크롤링),51.347,28.254,-0.758,-2.108,2.832,5.3,14.961,13.106,-15.943,-9.574,0.04,-8.557,-0.056,1.817
언어→0 / 인문→2 / 생활→3,전체,공공(고용24),49.326,13.723,-0.673,14.163,16.713,5.196,13.694,11.292,-44.873,-2.403,-1.458,-11.483,-0.842,3.594
