연령층,연도,부산→수도권_순유출,전국비수도권→수도권
청년층,2004,11502,95460
청년층,2005,12147,100649
청년층,2006,12215,92980
청년층,2007,12014,80497
청년층,2008,9144,62258
청년층,2009,8334,54985
청년층,2010,8447,54752
청년층,2011,6859,39634
청년층,2012,7780,51000
청년층,2013,6074,43211
청년층,2014,5660,40017
청년층,2015,4940,33971
청년층,2016,6594,51025
청년층,2017,7175,56545
청년층,2018,9169,75696
청년층,2019,10343,86661
청년층,2020,10366,94297
청년층,2021,10112,78003
청년층,2022,10603,70143
청년층,2023,8844,63090
청년층,2024,8177,61490
중장년층,2004,2432,7753
중장년층,2005,2335,4410
중장년층,2006,2412,2508
중장년층,2007,2702,-2491
중장년층,2008,1861,-10285
중장년층,2009,1703,-8974
중장년층,2010,969,-16259
중장년층,2011,-76,-28237
중장년층,2012,328,-27245
중장년층,2013,-180,-29325
중장년층,2014,-853,-35516
중장년층,2015,-479,-39216
중장년층,2016,272,-33019
중장년층,2017,316,-28686
중장년층,2018,1334,-16750
중장년층,2019,1318,-10750
중장년층,2020,1472,-11624
중장년층,2021,960,-20467
중장년층,2022,819,-27113
중장년층,2023,641,-19004
중장년층,2024,660,-17983
