세부사업명,분야,취창업 여부,학생 여부,지원형태,취업관련
3단계 산학연 협력 선도대학 육성사업 (LINC 3.0),교육,취창업무관,학생,서비스지원,False
NEXT10 (월드클래스 육성) 운영,교육,취업청년,학생여부무관,혼합형,True
국제금융기구 진출 아카데미 운영,교육,취업준비,학생,서비스지원,True
국제마케팅 전문인력 양성사업,교육,취창업무관,학생여부무관,서비스지원,False
글로컬대학30 육성 지원,교육,취업준비,학생,혼합형,True
기술사관 육성사업,교육,취창업무관,학생,서비스지원,False
대학생 기숙사비 지원,주거,취창업무관,학생,현금성지원,False
대학생 작품제작 참여지원,복지문화,취창업무관,학생,서비스지원,False
대학생 학자금 대출이자 지원,교육,취업준비,학생여부무관,현금성지원,True
대학일자리(플러스)센터 지원,일자리,취창업무관,학생여부무관,서비스지원,False
도심형 청년 창업․주거 복합공간 조성,일자리,예비창업청년,학생여부무관,혼합형,True
동네 청년활동공간 활성화 지원,참여권리,취창업무관,학생여부무관,혼합형,False
디지털 치의학 신기술 교육지원 사업,교육,취창업무관,학생여부무관,혼합형,False
"반도체 분야 전문인력 양성 (반도체 특성화대학 지원사업, 부산대)",교육,취업준비,학생,서비스지원,True
반도체 분야 전문인력 양성 (전력반도체 산업 육성을 위한 종합기술사업),교육,취업준비,학생,서비스지원,True
"반도체 분야 전문인력 양성 (첨단산업(반도체) 인재양성 부트캠프 사업,한국해양대)",교육,취업준비,학생,서비스지원,True
부경대 캠퍼스 혁신파크 조성,일자리,예비창업청년,비학생,인프라지원,True
부산 그린스타트업타운 조성,일자리,예비창업청년,학생여부무관,혼합형,True
부산 로컬크리에이터레벨업 사업,일자리,취창업무관,학생여부무관,혼합형,False
부산 신혼부부 럭키7하우스 지원,주거,취창업무관,학생여부무관,혼합형,False
부산 청년 패널조사,참여권리,취창업무관,학생여부무관,혼합형,False
부산 콘텐츠 아카데미 운영,교육,취창업무관,학생여부무관,혼합형,False
부산광역시 청년정책조정위원회 운영,참여권리,취창업무관,학생여부무관,제도운영,False
부산권 대학 취업네트워크 활성화 사업,일자리,취창업무관,학생여부무관,서비스지원,False
부산디지털혁신아카데미 운영,교육,취업준비,학생여부무관 ,서비스지원,True
부산시 청년정책 책임관제 운영,참여권리,취창업무관,학생여부무관,혼합형,False
부산웹툰캠퍼스 운영,교육,취창업무관,학생여부무관,서비스지원,False
부산지역 항공인력 인턴십 지원사업,일자리,취업준비,학생여부무관,서비스지원,True
부산지역인재 장학금,교육,취창업무관,학생,현금성지원,False
