계열,여성비중,취업률_남,취업률_여,취업률격차,유지4_남,유지4_여,유지격차,이탈_남,잔류소득_남,이탈_여,잔류소득_여,소득격차
보건·의료,73.1,68.2,74.9,-6.7,70.0,78.2,-8.2,42.2,297.8,29.6,229.8,67.9
교육,71.8,48.1,59.0,-10.9,73.6,74.5,-0.9,46.2,226.3,31.0,186.7,39.7
인문·어학,64.3,42.3,45.8,-3.5,59.4,56.6,2.8,42.7,228.2,40.1,183.7,44.4
디자인·예술,63.6,51.1,53.1,-2.0,46.7,43.8,3.0,37.6,203.6,37.8,154.8,48.8
생활과학·화학,60.6,48.5,45.2,3.3,67.1,62.2,4.9,38.8,198.6,29.7,169.2,29.3
경영·사무,59.3,53.9,52.5,1.4,71.3,64.6,6.7,43.9,251.5,31.0,185.1,66.4
농림·수산,55.0,50.0,41.0,9.0,70.6,52.9,17.6,,,,,
자연과학,41.8,43.0,42.2,0.7,63.9,54.8,9.1,57.9,219.1,37.5,161.0,58.1
건설·토목,29.8,63.5,57.0,6.5,79.3,72.7,6.6,43.7,227.6,35.1,162.8,64.7
IT·컴퓨터,24.7,45.7,43.9,1.8,73.3,58.7,14.6,45.1,213.9,50.9,192.3,21.6
물류·운송,20.0,67.2,52.6,14.6,83.1,69.5,13.6,58.1,236.6,,,
기계·전기전자,17.2,56.5,45.2,11.3,79.2,70.8,8.4,58.1,221.7,44.9,169.3,52.4
