시도,20대인구,20-24세,25-29세,20대순이동,25-29순유출률(‰),20대순유출률(‰),전환폭
광주,170562,-2064,-3163,-5227,18.54,30.65,-1099
부산,338697,927,-5437,-4510,16.05,13.32,-6364
전북,172187,-2849,-2590,-5439,15.04,31.59,259
경북,220603,-5842,-2997,-8839,13.59,40.07,2845
대구,253449,-1659,-3225,-4884,12.72,19.27,-1566
강원,148129,-2293,-1472,-3765,9.94,25.42,821
제주,65686,-1590,-608,-2198,9.26,33.46,982
전남,159467,-3790,-1304,-5094,8.18,31.94,2486
경남,288774,-7496,-1633,-9129,5.65,31.61,5863
대전,187702,2042,206,2248,-1.1,-11.98,-1836
경기,1557604,2486,4953,7439,-3.18,-4.78,2467
울산,110774,-1740,586,-1154,-5.29,10.42,2326
충남,212177,-2343,1210,-1133,-5.7,5.34,3553
충북,166917,-546,996,450,-5.97,-2.7,1542
서울,1254885,25664,10273,35937,-8.19,-28.64,-15391
인천,338166,1572,3432,5004,-10.15,-14.8,1860
세종,36463,-479,773,294,-21.2,-8.06,1252
