연월,지표,표,지역기준,대분류코드,대분류명,중분류,전국,부산,서울,경기,울산,경남
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,0,경영·사무·금융·보험직,관리직(임원·부서장),1515,58,168,379,33,134
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,0,경영·사무·금융·보험직,경영·행정·사무직,19399,1690,2320,4422,297,1526
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,0,경영·사무·금융·보험직,금융·보험직,374,45,160,47,1,21
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,1,연구직 및 공학 기술직,인문·사회과학 연구직,44,1,16,7,2,0
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,1,연구직 및 공학 기술직,자연·생명과학 연구직,101,1,16,8,1,3
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,1,연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,488,27,155,133,3,22
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,1,연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,1703,111,138,351,50,117
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,1,연구직 및 공학 기술직,제조 연구개발직 및 공학기술직,3197,197,149,861,131,381
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,2,교육·법률·사회복지·경찰·소방직 및 군인,교육직,821,44,249,86,24,46
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,2,교육·법률·사회복지·경찰·소방직 및 군인,법률직,74,4,26,5,3,4
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,2,교육·법률·사회복지·경찰·소방직 및 군인,사회복지·종교직,6324,480,822,1410,103,438
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,2,교육·법률·사회복지·경찰·소방직 및 군인,경찰·소방·교도직,5,0,0,0,0,0
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,2,교육·법률·사회복지·경찰·소방직 및 군인,군인,2,0,0,2,0,0
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,3,보건·의료직,보건·의료직,4710,364,382,990,112,449
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,4,예술·디자인·방송·스포츠직,예술·디자인·방송직,799,45,178,213,50,48
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,4,예술·디자인·방송·스포츠직,스포츠·레크리에이션직,239,38,19,37,4,6
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,5,미용·여행·숙박·음식·경비·청소직,미용·예식 및 반려동물 서비스직,121,4,31,14,2,4
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,5,미용·여행·숙박·음식·경비·청소직,여행·숙박·오락 서비스직,298,19,68,55,3,16
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,5,미용·여행·숙박·음식·경비·청소직,음식 서비스직,8715,553,2481,2063,176,453
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,5,미용·여행·숙박·음식·경비·청소직,경호·경비직,3011,298,828,930,49,128
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,5,미용·여행·숙박·음식·경비·청소직,돌봄 서비스직(간병·육아),28090,3309,4829,9040,563,1487
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,5,미용·여행·숙박·음식·경비·청소직,청소 및 기타 개인서비스직,9039,763,2219,2580,165,296
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,6,영업·판매·운전·운송직,영업·판매직,5446,208,564,1318,52,375
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,6,영업·판매·운전·운송직,운전·운송직,7931,457,667,2170,215,672
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,7,건설·채굴직,건설·채굴직,4051,178,955,946,182,255
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,8,설치·정비·생산직,기계 설치·정비·생산직,8988,616,319,2462,276,1546
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,8,설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),5860,273,27,1434,591,1089
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,8,설치·정비·생산직,전기·전자 설치·정비·생산직,4575,193,290,1120,74,456
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,8,설치·정비·생산직,정보통신 설치·정비직,378,18,32,89,5,28
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,8,설치·정비·생산직,화학·환경 설치·정비·생산직,3204,103,128,1106,56,195
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,8,설치·정비·생산직,섬유·의복 생산직,649,42,16,222,31,44
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,8,설치·정비·생산직,식품 가공·생산직,2409,94,48,847,8,192
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,8,설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,1630,55,31,811,23,79
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,8,설치·정비·생산직,제조 단순직,16683,752,158,5087,650,1485
2025-08,신규구인인원,4-1,구인구직을 등록한 지방노동관서 지역 기준,9,농림어업직,농림어업직,3596,61,36,781,23,315
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,0,경영·사무·금융·보험직,관리직(임원·부서장),1515,54,235,381,32,132
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,0,경영·사무·금융·보험직,경영·행정·사무직,19399,1714,4196,3762,278,1462
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,0,경영·사무·금융·보험직,금융·보험직,374,47,175,36,0,20
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,1,연구직 및 공학 기술직,인문·사회과학 연구직,44,1,16,8,2,0
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,1,연구직 및 공학 기술직,자연·생명과학 연구직,101,1,16,8,1,3
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,1,연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,488,12,183,120,3,22
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,1,연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,1703,111,143,347,49,119
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,1,연구직 및 공학 기술직,제조 연구개발직 및 공학기술직,3197,178,156,881,132,374
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,2,교육·법률·사회복지·경찰·소방직 및 군인,교육직,821,34,234,87,24,46
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,2,교육·법률·사회복지·경찰·소방직 및 군인,법률직,74,5,25,7,3,4
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,2,교육·법률·사회복지·경찰·소방직 및 군인,사회복지·종교직,6324,480,834,1393,105,431
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,2,교육·법률·사회복지·경찰·소방직 및 군인,경찰·소방·교도직,5,0,5,0,0,0
2025-08,신규구인인원,4-2,구인업체 소재 지역 기준,2,교육·법률·사회복지·경찰·소방직 및 군인,군인,2,0,0,2,0,0
