층,행선,n,월소득,월주거비,주거비비중%,주거비뺀소득,월소득_중앙,월주거비_중앙,비고,명목격차,주거비격차,실질격차,격차유지%,실질격차_중앙,격차유지%_중앙
★ 보증금 월세 · 이상치 제외,부산 잔류,212,203.1,37.7,18.6,165.4,190.0,37.0,주 수치,,,,,,
★ 보증금 월세 · 이상치 제외,수도권 이탈,124,243.4,43.5,17.9,199.9,230.0,45.0,주 수치,40.3,5.8,34.5,86.0,32.0,80.0
★ 보증금 월세 · 이상치 제외,그 외 지역,99,240.7,32.4,13.5,208.3,250.0,32.0,주 수치,37.6,-5.3,42.9,114.0,65.0,108.0
보증금 월세 (이상치 포함),부산 잔류,214,202.9,43.0,21.2,159.8,190.0,37.5,부산 평균이 오기 몇 건에 부풀려진다,,,,,,
보증금 월세 (이상치 포함),수도권 이탈,125,249.2,43.5,17.5,205.6,230.0,45.0,부산 평균이 오기 몇 건에 부풀려진다,46.3,0.5,45.8,99.0,32.5,81.0
보증금 월세 (이상치 포함),그 외 지역,101,240.6,45.8,19.0,194.8,240.0,32.0,부산 평균이 오기 몇 건에 부풀려진다,37.7,2.8,34.9,93.0,55.5,111.0
자취·분가 전체,부산 잔류,366,215.6,34.9,16.2,180.7,200.0,30.0,전세·자가가 섞여 수도권이 과소평가된다 — 쓰지 말 것,,,,,,
자취·분가 전체,수도권 이탈,238,253.5,37.5,14.8,216.0,240.0,37.5,전세·자가가 섞여 수도권이 과소평가된다 — 쓰지 말 것,37.9,2.6,35.3,93.0,32.5,81.0
자취·분가 전체,그 외 지역,200,265.4,37.9,14.3,227.5,250.0,30.0,전세·자가가 섞여 수도권이 과소평가된다 — 쓰지 말 것,49.8,3.0,46.8,94.0,50.0,100.0
전체 (구성 효과 포함),부산 잔류,492,214.6,41.1,19.2,173.5,200.0,30.0,부모집 거주자가 섞인다 — 쓰지 말 것,,,,,,
전체 (구성 효과 포함),수도권 이탈,290,252.6,35.0,13.9,217.6,240.0,30.0,부모집 거주자가 섞인다 — 쓰지 말 것,38.0,-6.1,44.1,116.0,40.0,100.0
전체 (구성 효과 포함),그 외 지역,340,265.1,38.7,14.6,226.4,250.0,20.0,부모집 거주자가 섞인다 — 쓰지 말 것,50.5,-2.4,52.9,105.0,60.0,120.0
