칸,항목,표본,비율%,오차범위±%p,판정
②번 칸 · 직업별 요구학력,경영·사무·금융·보험,5891,11.6,0.8,사용 가능
②번 칸 · 직업별 요구학력,미용·여행·숙박·음식·경비·돌봄·청소,3815,0.6,0.2,사용 가능
②번 칸 · 직업별 요구학력,설치·정비·생산,3812,2.1,0.5,사용 가능
②번 칸 · 직업별 요구학력,보건·의료,3214,5.4,0.8,사용 가능
②번 칸 · 직업별 요구학력,영업·판매·운전·운송,2673,8.1,1.0,사용 가능
②번 칸 · 직업별 요구학력,연구·공학기술,2162,21.1,1.7,사용 가능
②번 칸 · 직업별 요구학력,교육·법률·사회복지·경찰·소방·군인,1385,36.7,2.5,사용 가능
②번 칸 · 직업별 요구학력,미분류,1206,8.0,1.5,사용 가능
②번 칸 · 직업별 요구학력,예술·디자인·방송·스포츠,839,8.5,1.9,사용 가능
②번 칸 · 직업별 요구학력,건설·채굴,76,5.3,5.0,표본 적음
②번 칸 · 직업별 요구학력,농림어업,62,1.6,3.1,표본 적음
④번 칸 · 업종별,미상,6477,6.5,0.6,사용 가능
④번 칸 · 업종별,제조,4770,12.3,0.9,사용 가능
④번 칸 · 업종별,보건·의료·복지,3972,5.1,0.7,사용 가능
④번 칸 · 업종별,유통·판매·무역,1707,8.5,1.3,사용 가능
④번 칸 · 업종별,음식·숙박·여가,1680,2.8,0.8,사용 가능
④번 칸 · 업종별,기타,1476,7.0,1.3,사용 가능
④번 칸 · 업종별,사업·전문서비스,1476,7.2,1.3,사용 가능
④번 칸 · 업종별,건설·부동산,1174,9.0,1.6,사용 가능
④번 칸 · 업종별,교육,942,45.1,3.2,사용 가능
④번 칸 · 업종별,운수·물류,641,6.4,1.9,사용 가능
④번 칸 · 업종별,IT·정보통신,541,21.4,3.5,사용 가능
④번 칸 · 업종별,금융·보험,279,4.7,2.5,사용 가능
④번 칸 · 구·군별,강서구,3839,10.3,1.0,사용 가능
④번 칸 · 구·군별,해운대구,2960,12.6,1.2,사용 가능
④번 칸 · 구·군별,부산진구,2526,7.8,1.0,사용 가능
④번 칸 · 구·군별,기장군,1749,8.2,1.3,사용 가능
④번 칸 · 구·군별,사상구,1745,8.0,1.3,사용 가능
④번 칸 · 구·군별,사하구,1476,6.5,1.3,사용 가능
④번 칸 · 구·군별,동래구,1220,12.4,1.8,사용 가능
④번 칸 · 구·군별,남구,1211,10.2,1.7,사용 가능
④번 칸 · 구·군별,금정구,1101,7.8,1.6,사용 가능
④번 칸 · 구·군별,연제구,1059,8.2,1.7,사용 가능
④번 칸 · 구·군별,수영구,1039,8.7,1.7,사용 가능
④번 칸 · 구·군별,동구,871,10.2,2.0,사용 가능
④번 칸 · 구·군별,북구,807,9.0,2.0,사용 가능
④번 칸 · 구·군별,중구,696,9.8,2.2,사용 가능
④번 칸 · 구·군별,서구,459,4.8,2.0,사용 가능
④번 칸 · 구·군별,영도구,442,7.7,2.5,사용 가능
⑤번 칸 · 계열별 이탈률,경영·사무,991,37.1,3.0,사용 가능
⑤번 칸 · 계열별 이탈률,기계·전기전자,1041,56.0,3.0,사용 가능
⑤번 칸 · 계열별 이탈률,디자인·예술,564,37.7,4.0,사용 가능
⑤번 칸 · 계열별 이탈률,보건·의료,373,32.6,4.8,사용 가능
⑤번 칸 · 계열별 이탈률,인문·어학,697,41.1,3.7,사용 가능
⑤번 칸 · 계열별 이탈률,생활과학·화학,609,32.9,3.7,사용 가능
⑤번 칸 · 계열별 이탈률,IT·컴퓨터,274,46.4,5.9,사용 가능
⑤번 칸 · 계열별 이탈률,교육,335,33.6,5.1,사용 가능
⑤번 칸 · 계열별 이탈률,건설·토목,290,41.1,5.7,사용 가능
⑤번 칸 · 계열별 이탈률,물류·운송,157,57.6,7.7,사용 가능
⑤번 칸 · 계열별 이탈률,자연과학,116,48.0,9.1,사용 가능
⑤번 칸 · 계열별 이탈률,농림·수산,0,,,표시 금지
