순번,기업명,주업종,도로명주소,위도,경도,인증연도
1,(주)니더,"시스템소프트웨어, 응용소프트웨어 개발 및 공급업","부산광역시 부산진구 중앙대로 694 (부전동, 쥬디스태화) ,9층 59호",35.15472749,129.0596024,2023
2,(주)동성모터스,자동차판매/정비,"부산광역시 해운대구 해운대해변로 299 (중동) ,BMW MINI 빌딩",35.16121867,129.1634779,2023
3,(주)동연에스엔티,"ERP, MES, IMMS, TMS 등","부산광역시 동래구 온천장로107번길 10 (온천동, 혜원빌딩) ,7층 (주)동연에스엔티",35.22043116,129.0838423,2023
4,(주)무스마,소프트웨어 연구개발,"부산광역시 수영구 망미번영로52번길 3 (수영동) ,(주)무스마",35.17199706,129.1099838,2023
5,(주)씨에이랩,공기여과기,"부산광역시 해운대구 센텀중앙로 97 (재송동, 센텀스카이비즈) ,A동 3511호",35.175162,129.124507,2023
6,(주)엔디소프트,"지식서비스, 문자서비스","부산광역시 해운대구 센텀중앙로 48 (우동, 에이스하이테크21) ,1212호",35.17302094,129.1298566,2023
7,(주)오토닉스,산업용 센서 및 컨트롤러,"부산광역시 해운대구 반송로513번길 18 (석대동) ,(주)오토닉스",35.22000828,129.1193704,2023
8,(주)지씨,시스템통합구축사업,"부산광역시 연제구 양연로 3 (연산동, 대경빌딩) ,대경빌딩",35.17528064,129.0788177,2023
9,(주)지엠네트웍스,서비스,"부산광역시 남구 수영로266번길 77 (대연동, 센트럴지엠빌딩) ,2층",35.13366084,129.0991375,2023
10,디케이이앤씨 주식회사,전기공사,"부산광역시 기장군 장안읍 의과학6로 12-6 (임랑리) ,A동 2층 2-2호",35.32225083,129.2541837,2023
11,부산컨테이너터미널(주),컨테이너 하역,"부산광역시 강서구 신항남로 588-1 (성북동) ,부산컨테이너터미널(주)",35.06142392,128.8041603,2023
12,주식회사 리얼코코글로벌,20대여성의류 및 SW개발 및 공급,"부산광역시 부산진구 자유평화로3번길 14-21 (범천동, 소망빌딩) ,9층",35.14222315,129.0618872,2023
13,주식회사 아토무역,냉동수산물,"부산광역시 서구 원양로 310 (암남동) ,1001호",35.07848547,129.0058935,2023
14,푸드팡 주식회사,온라인 식자재 구매 어플 푸드팡,"부산광역시 금정구 공단로 60 (금사동) ,B동",35.21887885,129.113808,2023
15,한선엔지니어링(주),"피팅, 밸브","부산광역시 강서구 녹산산단361로 27 (송정동) ,한선엔지니어링(주)",35.09152415,128.8564956,2023
16,대동병원,의료서비스,"부산광역시 동래구 충렬대로 187 (명륜동, 대동병원) ,대동병원",35.20431096,129.0802014,2024
17,주식회사 파나시아,선박구성부품 외,"부산광역시 강서구 미음산단3로 55 (미음동) ,1층, 파나시아",35.14916933,128.8578245,2024
18,(주)동화엔텍,선박용 기자재,"부산광역시 강서구 녹산산단261로 7 (송정동) ,(주)동화엔텍 녹산사업장",35.08962453,128.8446095,2024
19,(주)에코에너지기술연구소,"연구용역, 연구개발업","부산광역시 강서구 체육공원로6번길 211 (대저1동) ,에코에너지기술연구소",35.21043682,128.9823366,2024
20,(주)한진식품,"기타어육가공품, 과자류","부산광역시 사하구 장림번영로 88-3 (장림동) ,(주)한진식품",35.07984513,128.9752179,2024
21,(주)디아이앤씨,"SW개발, 기술용역","부산광역시 해운대구 센텀중앙로 78 (우동, 센텀그린타워) ,2101호",35.17462499,129.1270026,2024
22,(주)부림교역,"무역, 운수업, 창고업, 통관대행업","부산광역시 강서구 범방3로30번길 12 (범방동) ,5층사무실 (부아이오티 물류센터)",35.14505147,128.8801908,2024
23,(주)상떼화장품,화장품,"부산광역시 동구 중앙대로180번길 16-12 (초량동) ,Dr.SANTE",35.1119367,129.0400259,2024
24,(주)펠릭스테크,"플랜지, 자동차부품","부산광역시 강서구 미음산단3로 85 (미음동) ,펠릭스테크",35.15229674,128.8591635,2024
25,부곡스텐레스(주),"스테인리스 파이프,튜브,이형제","부산광역시 강서구 미음국제7로 5 (미음동) ,부산 강서구 미음국제 7로 5 (미음동)",35.14039461,128.8621876,2024
26,엠티코리아(주),선박용 해치커버 장치,"부산광역시 강서구 화전산단2로134번길 33 (화전동) ,엠티코리아(주)",35.10116743,128.8868037,2024
27,주식회사 게임인스,인터넷플랫폼 개발 및 운영업,"부산광역시 사상구 백양대로 684 (덕포동) ,1층,4층,5층(덕포동)",35.16799047,128.9889275,2024
28,주식회사 더쉐프,프랜차이즈,"부산광역시 연제구 좌수영로 290 (연산동) ,3층",35.18835626,129.1100858,2024
29,주식회사 힘콤,인터넷 통신 서비스 및 도소매,"부산광역시 북구 금곡대로8번길 33 (덕천동, 아남프라자) ,2층 2-1호",35.21150298,129.0072263,2024
30,탈렌트엘엔지(주),초저온 진공단열배관 시스템 외,부산광역시 강서구 미음산단로 388 (미음동),35.15822345,128.8598076,2024
31,㈜굿트러스트,골프의류,"부산광역시 동구 중앙대로286번길 7 (초량동, GT빌딩) ,10층",35.1219225,129.044402,2025
32,주식회사 더천유,문구 도매 및 소매업,"부산광역시 금정구 공단서로8번길 49 (금사동, 금사자동차운전전문학원) ,금사화신빌딩2층",35.216444,129.1132359,2025
33,주식회사 드라이브포스,친환경선박 전기시스템제조,"부산광역시 기장군 장안읍 의과학2로 88 (임랑리) ,드라이브포스",35.322836,129.252827,2025
34,㈜딜리버드코리아,응용 소프트웨어 개발,"부산광역시 해운대구 센텀중앙로 90 (재송동, 큐비이센텀) ,2010호",35.1754921,129.1260013,2025
35,리더스손해사정주식회사,손해사정,"부산광역시 동구 중앙대로 262 (초량동, 한국정보통신공사협회) ,5층 리더스손해사정",35.1199698,129.0427976,2025
36,㈜만만한녀석들,친환경 모듈형 전시부스,"부산광역시 사상구 모덕로 31 (삼락동, 한국정기) ,1,2층",35.1827066,128.9799641,2025
37,㈜밝은무역,냉동 수산물,"부산광역시 서구 원양로 310 (암남동) ,동영빌딩 9층 901, 903, 904호",35.0785103,129.006019,2025
38,(의)센텀의료재단,보건업,"부산광역시 사상구 새벽로 226 (괘법동, 서부산광역시센텀병원) ,서부산광역시센텀병원",35.1611649,128.9845528,2025
39,㈜일주지앤에스,소프트웨어,"부산광역시 동래구 석사로 10-1 (사직동) ,률영빌딩 5층",35.1980895,129.0614443,2025
40,㈜제이솔루션,LED,"부산광역시 동구 초량중로 14 (초량동, 애뜰안) ,102호",35.1133718,129.0366519,2025
41,주식회사 지오뷰,지구물리학적탐사 및 개발,"부산광역시 사하구 하신번영로 423 (하단동, 세진빌딩) ,4층",35.1186143,128.9606039,2025
42,㈜짐캐리,짐배송 서비스,"부산광역시 동구 중앙대로 206 (초량동, 한국철도공사부산광역시지역본부) ,1층 짐캐리",35.11571,129.0428216,2025
43,㈜케이씨,방오방식용 산업장비,"부산광역시 강서구 미음산단3로 165 (미음동) ,케이씨",35.1573929,128.8557138,2025
44,㈜티에이치케이컴퍼니,의료용품 도매업,"부산광역시 금정구 중앙대로 1815 (구서동, 가루라빌딩) ,5층",35.2462047,129.0924641,2025
45,사단법인 한국선급,선박검사,"부산광역시 강서구 명지오션시티9로 36 (명지동, (사)한국선급) ,한국선급",35.0879287,128.9007091,2025
