구군명,산업단지명,산단구분,사업기간,조성면적(만제곱미터),산업용지(만제곱미터),입주업체(개사),고용인원(명)
사하구,신평ㆍ장림일반산업단지,일반,1980~1990,282,175,943,14059
강서구,녹산국가산업단지,국가,1989~2002,700,411,1548,26756
강서구,신호일반산업단지(경자구역),일반,1993~2007,312,171,82,3395
강서구,부산과학일반산업단지(경자구역),일반,1991~2008,196,92,235,4910
강서구,화전일반산업단지(경자구역),일반,2003~2011,245,142,313,6179
강서구,강서보고일반산업단지,일반,2010~2014,10,5,19,152
사상구,모라도시첨단산업단지,도시첨단,2012~2015,1,1,243,1612
강서구,생곡일반산업단지(경자구역),일반,2009~2015,56,34,104,1232
강서구,성우일반산업단지,일반,2009~2016,6,3,18,156
강서구,풍상일반산업단지,일반,2011~2016,6,5,4,175
강서구,미음일반산업단지(경자구역),일반,2007~2017,355,193,388,8277
강서구,지사2일반산업단지,일반,2012~2017,10,5,18,176
기장군,정관농공단지,농공,1987~1988,26,19,33,1618
해운대구,센텀시티일반산업단지,일반,1997~2007,118,21,2233,15556
기장군,기룡1일반산업단지,일반,2005~2008,8,6,1,68
기장군,정관일반산업단지,일반,2001~2010,121,61,201,3637
기장군,장안일반산업단지,일반,2005~2011,130,77,98,3840
기장군,기룡2일반산업단지,일반,2007~2011,5,3,3,201
기장군,정관코리일반산업단지,일반,2010~2013,8,6,6,153
금정구,회동ㆍ석대도시첨단산업단지,도시첨단,2008~2013,23,13,108,2567
기장군,명례일반산업단지,일반,2008~2014,157,87,114,2217
기장군,부산신소재일반산업단지,일반,2013~2017,26,17,4,397
기장군,반룡일반산업단지,일반,2013~2018,55,33,87,1147
강서구,국제산업물류도시(1단계)(경자구역),일반,2010~2019,571,319,559,10362
기장군,오리일반산업단지,일반,2013~2020,61,40,78,1338
기장군,에코장안일반산업단지,일반,2014~2019,20,13,23,376
강서구,정주일반산업단지,일반,2014~2020,9,4,2,66
기장군,동부산 E-PARK일반산업단지,일반,2010-2024,34,27,3,1062
강서구,지사글로벌일반산업단지,일반,2017-2024,42,20,16,-
