순번,회사명,대표자명,지식산업센터명,공장대표주소,전화번호,팩스번호,최초설립승인일,설립승인일,최초공장등록일,공장등록일,공장용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),업종번호,업종명,용도지역
1, (주)글로발브릿지,안○○,해당없음,부산광역시 강서구 범방3로30번길 22 (범방동),070-4020-9266,미등록,2026-01-02,2026-01-02,2026-01-13,2026-01-13,0,597,42,"22292, 35114","플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 1종",도시지역/공업지역/일반공업지역
2, (주)메가특수강,김○○,해당없음,부산광역시 강서구 낙동남로666번길 19-1 (녹산동),051-832-6723,051-832-6724,미등록,미등록,2026-02-11,2026-02-11,916,493.75,96,25119,기타 구조용 금속제품 제조업,도시지역/주거지역/제1종일반주거지역
3, 대호,김○○,해당없음,부산광역시 강서구 녹산산단261로60번길 40 (송정동),미등록,051-973-2850,2025-01-17,2025-01-17,2025-01-21,2025-01-21,0,650,0,"25112, 29292",구조용 금속 판제품 및 공작물 제조업 외 1종,도시지역/공업지역/일반공업지역
4, 빵내음주식회사,최○○,해당없음,부산광역시 강서구 낙동북로138번길 17-1 (강동동),미등록,미등록,미등록,미등록,2024-12-27,2024-12-27,862,450.5,48,10602,빵류 제조업,도시지역/주거지역/제1종일반주거지역
5, 주식회사 케이앤에프트레이드,안○○,해당없음,"부산광역시 강서구 미음산단3로 88(미음동, (주)한국비철 부산지점)",02-333-4363,02-333-4364,2025-09-03,2025-09-03,2025-09-05,2025-09-05,4452.8,55423.92,895.85,29299,그 외 기타 특수목적용 기계 제조업,도시지역/공업지역/일반공업지역
6, 주식회사 해신솔루션,성○○,해당없음,부산광역시 남구 용당동 458 13번 건물 316호,051-244-8940,미등록,2026-06-04,2026-06-04,2026-06-10,2026-06-10,0,16,24.5,26410,유선 통신장비 제조업,도시지역/공업지역/준공업지역
7,(사)골든장애인협회 사업단,류○○,해당없음,"부산광역시 사하구 보덕포1길 100, B동, 지하1층 (장림동)",051-311-1791,051-311-1792,미등록,미등록,2023-05-22,2025-12-18,164.2,123.4,40.8,"26529, 25932, 26410, 26421, 26519, 28119, 28423",기타 음향기기 제조업 외 6종,도시지역/공업지역/전용공업지역
8,(사)골든장애인협회사업단,조○○,해당없음,"부산광역시 사상구 새벽로121번길 21, 2층 (감전동)",051-464-1791,051-464-1792,미등록,미등록,2019-09-10,2019-09-10,0,412.69,248.31,"28123, 24221, 25995, 25999, 28121, 28122, 38312, 38322",배전반 및 전기 자동제어반 제조업 외 7종,도시지역/공업지역/준공업지역
9,(사)부산16개구군장애인법인연합회,신○○,해당없음,부산광역시 사상구 장인로37번길 13-13(감전동),051-552-1597,미등록,2024-04-30,2025-09-30,2024-04-30,2025-10-01,0,309.45,30,"28123, 28119, 28202",배전반 및 전기 자동제어반 제조업 외 2종,도시지역/공업지역/일반공업지역
10,(사)부산고등어식품전략사업단,장○○,해당없음,부산광역시 서구 원양로 242 (암남동),051-714-7140,051-980-7140,2018-10-30,미등록,2019-11-27,2026-04-16,1596,799.15,1505.17,10219,기타 수산동물 가공 및 저장 처리업,도시지역/공업지역/일반공업지역
