직종분류코드,직종분류명,공고,연봉명시,최저임금이하,최저임금이하율,연봉중앙
01,경영·사무·금융·보험직,6808,2523,197,7.8,3096
02,연구직 및 공학기술직,1372,468,21,4.5,3600.0
03,교육·법률·사회복지·경찰·소방직 및 군인,1442,632,173,27.4,2760.0
04,보건·의료직,3384,502,70,13.9,3000.0
05,예술·디자인·방송·스포츠직,895,309,15,4.9,3009
06,미용·여행·숙박·음식·경비·청소직,3959,2570,1289,50.2,2588.0
07,영업·판매직,1410,429,15,3.5,3246
08,운전·운송직,673,483,29,6.0,3600
09,건설·채굴직,83,47,3,6.4,3600
10,설치·정비·생산직,3686,1934,455,23.5,3000.0
11,농림어업직,67,47,19,40.4,2910
12,재료·화학·섬유·가스·에너지·환경관련직,157,56,29,51.8,2588.0
13,정보통신관련직,447,77,3,3.9,3300
