시군구,공고,대졸신입공고,천건당_대졸신입,연봉중앙,최저임금이하율,1위직종
강서구,3839,181,47.1,3200,14.2,설치·정비·생산직
해운대구,2960,146,49.3,3000.0,18.3,경영·사무·금융·보험직
부산진구,2526,88,34.8,3000.0,23.1,경영·사무·금융·보험직
미상,1935,55,28.4,4272,4.0,경영·사무·금융·보험직
기장군,1749,66,37.7,3000,22.1,경영·사무·금융·보험직
사상구,1745,62,35.5,3000,26.5,설치·정비·생산직
사하구,1476,50,33.9,2955.5,30.2,설치·정비·생산직
동래구,1220,88,72.1,2910.0,30.4,보건·의료직
남구,1211,61,50.4,2910,28.5,경영·사무·금융·보험직
금정구,1101,47,42.7,2880,26.1,경영·사무·금융·보험직
연제구,1059,48,45.3,3000,18.5,경영·사무·금융·보험직
수영구,1039,36,34.6,2910,29.9,미용·여행·숙박·음식·경비·청소직
동구,871,43,49.4,3000.0,23.5,경영·사무·금융·보험직
북구,807,41,50.8,2760.0,35.6,보건·의료직
중구,696,26,37.4,3000,18.1,경영·사무·금융·보험직
서구,459,13,28.3,2800.0,32.2,미용·여행·숙박·음식·경비·청소직
영도구,442,19,43.0,3000.0,29.4,경영·사무·금융·보험직
