업종,공고,대졸요구율,연봉중앙,1위직종
기타제조업,431,12.8,3009,설치·정비·생산직
의료(병원종류별),1058,8.3,3240,보건·의료직
의료(진료과목별),2185,2.5,3000.0,보건·의료직
솔루션·SI·ERP·CRM,220,29.1,3000,정보통신관련직
쇼핑몰·오픈마켓,269,6.7,2800,경영·사무·금융·보험직
석유·화학·에너지,136,29.4,3380.0,경영·사무·금융·보험직
운송·운수·물류,240,12.1,3200,경영·사무·금융·보험직
호텔·여행·항공,340,1.8,3000,미용·여행·숙박·음식·경비·청소직
광고·홍보·전시,254,10.2,3000,경영·사무·금융·보험직
유통·무역·상사,526,14.4,3245.0,경영·사무·금융·보험직
판매(상품품목별),353,3.1,3000.0,영업·판매직
식품가공·개발,189,13.2,3000,설치·정비·생산직
섬유·의류·패션,160,14.4,2760,경영·사무·금융·보험직
기계·설비·자동차,910,13.4,3300.0,설치·정비·생산직
레저·스포츠·여가,114,5.3,3000.0,경영·사무·금융·보험직
전기·전자·제어,435,12.0,3000,설치·정비·생산직
건설·건축·토목·시공,321,15.0,3600,연구직 및 공학기술직
조선·항공·우주,484,18.8,3400.0,설치·정비·생산직
뷰티·미용,120,0.0,3000.0,미용·여행·숙박·음식·경비·청소직
사회복지·요양,121,2.5,2588,미용·여행·숙박·음식·경비·청소직
금속·재료·철강·요업,337,15.4,3500.0,설치·정비·생산직
외식업·식음료,554,1.4,3000.0,미용·여행·숙박·음식·경비·청소직
학원·어학원,469,61.2,3260,교육·법률·사회복지·경찰·소방직 및 군인
증권·보험·카드,115,7.0,3500,경영·사무·금융·보험직
실내·인테리어·조경,165,7.9,3312.0,연구직 및 공학기술직
제약·보건·바이오,233,18.5,2880.0,보건·의료직
자동차·조선·철강·항공,234,7.7,3009,설치·정비·생산직
학원·어학원·교육원,164,36.0,3000,교육·법률·사회복지·경찰·소방직 및 군인
시설관리·경비·용역,192,1.0,3090.0,경영·사무·금융·보험직
사회복지,118,3.4,2772.0,미용·여행·숙박·음식·경비·청소직
물류·운송·배송,307,1.6,6000.0,경영·사무·금융·보험직
콜센터·아웃소싱·기타,103,1.9,2614.0,미용·여행·숙박·음식·경비·청소직
기계·기계설비,326,4.9,3240,설치·정비·생산직
백화점·유통·도소매,247,4.5,3000.0,경영·사무·금융·보험직
음식료·외식·프랜차이즈,336,2.1,3120,미용·여행·숙박·음식·경비·청소직
금속·재료·자재,193,4.1,3009.0,설치·정비·생산직
시설관리·보안·경비,173,0.0,2588,미용·여행·숙박·음식·경비·청소직
부동산·임대·중개,130,9.2,3000,경영·사무·금융·보험직
