중계열,취업대상,취업률,1차유지율,2차유지율,3차유지율,4차유지율,이탈폭
간호,827,73.0,88.9,82.8,79.3,75.8,13.1
건축,753,68.0,88.7,83.0,77.9,77.0,11.7
경영ㆍ경제,4811,59.8,80.4,76.0,70.0,68.2,12.2
교통ㆍ운송,647,75.4,91.0,86.1,82.6,81.1,9.9
기계ㆍ금속,1183,67.1,89.2,86.4,82.7,81.5,7.7
기타,449,70.8,90.6,87.7,83.6,82.1,8.5
디자인,897,54.7,72.7,67.0,55.8,54.6,18.1
무용ㆍ체육,686,66.6,56.0,52.5,48.1,46.6,9.4
사회과학,2331,57.7,80.9,76.8,71.4,69.3,11.6
생물ㆍ화학ㆍ환경,1109,51.7,81.0,76.4,72.3,70.5,10.5
생활과학,634,62.8,82.4,75.1,67.6,64.8,17.6
소재ㆍ재료,422,55.7,84.7,80.9,77.4,76.6,8.1
수학ㆍ물리ㆍ천문ㆍ지리,379,53.6,69.5,66.5,61.1,60.1,9.4
언어ㆍ문학,1871,52.8,68.3,63.8,57.5,55.6,12.7
음악,311,56.3,43.4,40.0,30.9,29.1,14.3
응용예술,526,53.6,63.5,56.4,51.1,48.2,15.3
의료,376,72.9,87.6,82.1,75.2,73.7,13.9
인문과학,902,48.2,75.2,70.3,64.6,62.3,12.9
전기ㆍ전자,1117,58.1,87.7,84.0,80.3,78.7,9.0
중등교육,373,45.0,67.3,65.5,61.3,60.1,7.2
치료ㆍ보건,682,76.0,89.6,84.9,78.2,76.8,12.8
컴퓨터ㆍ통신,1565,49.8,82.3,77.6,72.2,70.1,12.2
토목ㆍ도시,383,63.2,88.4,83.1,81.0,79.8,8.6
화공,418,52.4,87.7,82.6,80.4,77.6,10.1
