학교명,설립,졸업자,취업대상,취업률,4차유지율,유학생비중,진학률
경성대학교,사립,2712,2332,55.0,61.3,10.2,3.1
고신대학교,사립,779,609,66.8,63.9,0.8,8.2
국립부경대학교,국립,3461,2944,56.2,75.4,4.4,10.0
국립한국해양대학교,국립,1365,1213,71.3,77.6,0.4,8.1
동명대학교,사립,1729,1518,61.9,68.7,10.1,1.4
동서대학교,사립,2076,1936,60.7,61.4,3.6,2.5
동아대학교,사립,4183,3836,57.4,68.8,1.6,5.7
동의대학교,사립,3241,3060,59.5,65.8,0.5,3.9
부산가톨릭대학교,사립,835,785,67.4,76.0,1.7,2.6
부산교육대학교,국립,346,336,58.3,91.8,0.0,0.6
부산대학교,국립,4176,3325,57.5,76.4,2.4,16.7
부산외국어대학교,사립,1531,1341,57.1,54.7,9.5,2.0
신라대학교,사립,1695,1589,59.0,65.7,3.1,1.8
영산대학교,사립,857,748,64.6,57.1,10.6,1.5
