중계열,졸업자,취업대상자,취업자,유지4,진학자,유학생,취업률,4차유지율,미취업,비교축
경영ㆍ경제,5472,4811,2878,1962,53,589,59.8,68.2,1933,경영·사무·금융·영업
사회과학,2560,2331,1345,932,55,153,57.7,69.3,986,경영·사무·금융·영업
언어ㆍ문학,2042,1871,987,549,54,105,52.8,55.6,884,(대응 직종 없음)
컴퓨터ㆍ통신,1739,1565,780,547,85,75,49.8,70.1,785,IT·정보통신
기계ㆍ금속,1361,1183,794,647,154,19,67.1,81.5,389,공학·기술·생산
전기ㆍ전자,1227,1117,649,511,94,8,58.1,78.7,468,공학·기술·생산
생물ㆍ화학ㆍ환경,1444,1109,573,404,320,5,51.7,70.5,536,공학·기술·생산
인문과학,1126,902,435,271,99,57,48.2,62.3,467,(대응 직종 없음)
디자인,947,897,491,268,11,35,54.7,54.6,406,예술·디자인·스포츠
간호,836,827,604,458,1,1,73.0,75.8,223,보건·의료
건축,798,753,512,394,36,5,68.0,77.0,241,공학·기술·생산
무용ㆍ체육,771,686,457,213,42,1,66.6,46.6,229,예술·디자인·스포츠
치료ㆍ보건,713,682,518,398,20,1,76.0,76.8,164,보건·의료
교통ㆍ운송,759,647,488,396,79,5,75.4,81.1,159,운송·물류
생활과학,709,634,398,258,59,14,62.8,64.8,236,공학·기술·생산
응용예술,570,526,282,136,20,19,53.6,48.2,244,예술·디자인·스포츠
기타,516,449,318,261,53,11,70.8,82.1,131,(대응 직종 없음)
소재ㆍ재료,551,422,235,180,125,1,55.7,76.6,187,공학·기술·생산
화공,542,418,219,170,119,4,52.4,77.6,199,공학·기술·생산
토목ㆍ도시,443,383,242,193,52,5,63.2,79.8,141,공학·기술·생산
수학ㆍ물리ㆍ천문ㆍ지리,476,379,203,122,90,4,53.6,60.1,176,공학·기술·생산
의료,422,376,274,202,3,0,72.9,73.7,102,보건·의료
중등교육,467,373,168,101,16,37,45.0,60.1,205,교육·복지·공공
음악,382,311,175,51,53,6,56.3,29.1,136,예술·디자인·스포츠
산업,317,275,157,123,38,2,57.1,78.3,118,경영·사무·금융·영업
법률,228,218,102,74,7,1,46.8,72.5,116,경영·사무·금융·영업
미술ㆍ조형,246,217,106,39,24,1,48.8,36.8,111,예술·디자인·스포츠
유아교육,181,178,108,77,2,1,60.7,71.3,70,교육·복지·공공
연극ㆍ영화,164,151,96,20,0,10,63.6,20.8,55,예술·디자인·스포츠
교육일반,156,146,87,60,9,0,59.6,69.0,59,교육·복지·공공
특수교육,130,128,98,69,2,0,76.6,70.4,30,교육·복지·공공
약학,116,101,96,66,2,0,95.0,68.8,5,보건·의료
농림ㆍ수산,135,100,60,38,34,0,60.0,63.3,40,농림수산
정밀ㆍ에너지,94,70,44,33,23,0,62.9,75.0,26,공학·기술·생산
