시군구,청년주거인구,청년직장인구,청년유입비,전체유입비,청년주거비중,여성유입비,남성유입비,공고,대졸신입공고,청년주거1만명당_공고,청년주거1만명당_대졸신입,연봉중앙,산단수,산단고용인원,산단고용1만명당_공고
중구,2816,1526,0.542,0.417,10.7,0.429,0.405,696,26,2471.7,92.3,3000,0,0,
서구,5904,1303,0.221,0.133,9.4,0.136,0.13,459,13,777.4,22.0,2800.0,0,0,
동구,4241,1421,0.335,0.236,8.7,0.244,0.226,871,43,2053.9,101.4,3000.0,0,0,
영도구,5390,1142,0.212,0.124,7.5,0.112,0.138,442,19,820.1,35.3,3000.0,0,0,
부산진구,28348,6777,0.239,0.157,12.6,0.166,0.146,2526,88,891.1,31.0,3000.0,0,0,
동래구,15910,2505,0.157,0.119,9.3,0.13,0.107,1220,88,766.8,55.3,2910.0,0,0,
남구,18110,4289,0.237,0.134,11.1,0.13,0.139,1211,61,668.7,33.7,2910,0,0,
북구,17045,2211,0.13,0.094,9.3,0.106,0.08,807,41,473.5,24.1,2760.0,0,0,
해운대구,22993,5615,0.244,0.139,9.0,0.148,0.129,2960,146,1287.4,63.5,3000.0,1,15556,1902.8
사하구,19841,3498,0.176,0.119,9.4,0.116,0.122,1476,50,743.9,25.2,2955.5,1,14059,1049.9
금정구,15576,3924,0.252,0.153,11.4,0.152,0.153,1101,47,706.9,30.2,2880,1,2567,4289.1
강서구,6428,3267,0.508,0.336,7.2,0.231,0.443,3839,181,5972.2,281.6,3200,13,61836,620.8
연제구,12592,2158,0.171,0.141,9.6,0.147,0.134,1059,48,841.0,38.1,3000,0,0,
수영구,11659,1864,0.16,0.116,10.7,0.121,0.11,1039,36,891.2,30.9,2910,0,0,
사상구,13645,3156,0.231,0.179,10.4,0.159,0.199,1745,62,1278.8,45.4,3000,1,1612,10825.1
기장군,10495,2656,0.253,0.154,7.8,0.145,0.164,1749,66,1666.6,62.9,3000,12,16054,1089.4
