시군구,행정동명,청년주거인구,청년직장인구,청년유입비
중구,중구 중앙동,534,752,1.407
강서구,강서구 녹산동,1005,1269,1.262
해운대구,해운대구 우2동,1583,1684,1.064
기장군,기장군 장안읍,484,509,1.053
부산진구,부산진구 부전2동,1791,1670,0.933
금정구,금정구 장전2동,1843,1689,0.916
금정구,금정구 금사회동동,268,234,0.874
강서구,강서구 대저2동,753,607,0.806
남구,남구 문현2동,367,292,0.797
동구,동구 범일2동,511,379,0.742
강서구,강서구 대저1동,481,332,0.689
사상구,사상구 감전동,585,401,0.686
사상구,사상구 삼락동,224,136,0.608
해운대구,해운대구 송정동,472,246,0.522
남구,남구 용당동,498,230,0.462
동구,동구 초량3동,982,440,0.448
북구,북구 덕천2동,812,363,0.446
서구,서구 동대신3동,636,280,0.439
남구,남구 대연3동,4984,2108,0.423
동구,동구 초량2동,256,108,0.422
영도구,영도구 동삼2동,700,280,0.4
부산진구,부산진구 가야1동,1551,600,0.387
중구,중구 부평동,298,110,0.369
해운대구,해운대구 우1동,1648,609,0.369
사하구,사하구 하단2동,3339,1153,0.345
중구,중구 대청동,476,161,0.339
서구,서구 부민동,488,163,0.334
서구,서구 암남동,1132,370,0.327
해운대구,해운대구 중1동,1818,594,0.327
동래구,동래구 명륜동,1443,463,0.321
부산진구,부산진구 부전1동,2125,682,0.321
영도구,영도구 남항동,546,175,0.321
수영구,수영구 남천1동,1087,346,0.318
동래구,동래구 사직1동,587,184,0.314
연제구,연제구 거제1동,1709,528,0.309
남구,남구 감만1동,392,116,0.297
부산진구,부산진구 양정1동,1538,451,0.293
부산진구,부산진구 전포1동,2688,775,0.288
부산진구,부산진구 범천1동,1488,404,0.272
동구,동구 수정1동,263,70,0.268
해운대구,해운대구 좌1동,1144,304,0.266
금정구,금정구 부곡3동,1130,295,0.261
기장군,기장군 기장읍,3611,927,0.257
사하구,사하구 장림1동,721,185,0.257
남구,남구 용호4동,378,97,0.256
동래구,동래구 안락1동,665,168,0.253
강서구,강서구 명지1동,2501,615,0.246
동래구,동래구 온천2동,825,203,0.246
사상구,사상구 주례2동,2455,596,0.243
부산진구,부산진구 개금2동,696,168,0.242
사상구,사상구 학장동,1240,298,0.241
사하구,사하구 괴정3동,761,183,0.24
사상구,사상구 괘법동,2828,675,0.239
연제구,연제구 연산4동,1021,219,0.214
금정구,금정구 청룡노포동,451,96,0.213
사상구,사상구 덕포2동,786,168,0.213
수영구,수영구 광안2동,1412,294,0.208
해운대구,해운대구 좌4동,1576,326,0.207
부산진구,부산진구 전포2동,2108,435,0.206
해운대구,해운대구 재송1동,2213,439,0.199
사하구,사하구 신평1동,847,168,0.198
연제구,연제구 연산5동,1550,305,0.197
기장군,기장군 정관읍,4479,878,0.196
강서구,강서구 명지2동,1332,259,0.194
수영구,수영구 민락동,1791,346,0.193
북구,북구 화명3동,1885,360,0.191
서구,서구 서대신3동,217,40,0.186
남구,남구 문현4동,389,72,0.185
동구,동구 수정2동,402,74,0.184
북구,북구 덕천1동,897,165,0.184
연제구,연제구 연산1동,768,141,0.184
사상구,사상구 주례1동,1091,200,0.183
금정구,금정구 남산동,1934,351,0.181
사하구,사하구 신평2동,1072,194,0.181
영도구,영도구 동삼1동,1726,312,0.181
금정구,금정구 구서1동,857,152,0.178
사하구,사하구 구평동,662,117,0.176
연제구,연제구 거제3동,573,100,0.175
사상구,사상구 모라1동,1611,280,0.174
해운대구,해운대구 반송1동,687,119,0.173
영도구,영도구 동삼3동,339,58,0.171
영도구,영도구 청학2동,647,110,0.17
기장군,기장군 일광읍,1757,298,0.169
남구,남구 대연6동,805,135,0.168
서구,서구 남부민2동,338,56,0.167
동구,동구 범일5동,494,80,0.162
사상구,사상구 모라3동,320,52,0.162
금정구,금정구 부곡2동,1458,231,0.158
수영구,수영구 수영동,942,149,0.158
남구,남구 우암동,607,95,0.157
사하구,사하구 다대1동,2040,320,0.157
영도구,영도구 영선2동,357,56,0.156
해운대구,해운대구 우3동,1085,169,0.156
사하구,사하구 당리동,1548,238,0.153
해운대구,해운대구 중2동,840,128,0.152
금정구,금정구 서2동,297,44,0.147
사상구,사상구 엄궁동,1508,222,0.147
수영구,수영구 광안3동,1101,160,0.146
동래구,동래구 안락2동,1564,226,0.145
부산진구,부산진구 초읍동,1208,175,0.145
사하구,사하구 감천1동,923,134,0.145
수영구,수영구 남천2동,457,66,0.144
연제구,연제구 연산2동,1466,211,0.144
사상구,사상구 주례3동,389,56,0.143
남구,남구 용호3동,623,88,0.142
서구,서구 서대신1동,984,138,0.14
사하구,사하구 장림2동,1595,221,0.139
남구,남구 용호2동,887,123,0.138
영도구,영도구 봉래1동,269,37,0.137
동래구,동래구 사직3동,895,122,0.136
연제구,연제구 연산8동,436,59,0.136
동래구,동래구 온천1동,2687,364,0.135
서구,서구 충무동,540,72,0.133
수영구,수영구 망미2동,469,63,0.133
남구,남구 대연5동,1567,208,0.132
연제구,연제구 거제2동,1417,187,0.132
영도구,영도구 봉래2동,330,44,0.132
부산진구,부산진구 양정2동,1920,247,0.129
해운대구,해운대구 반여1동,2478,319,0.129
남구,남구 문현3동,614,78,0.128
동래구,동래구 수민동,1545,197,0.128
연제구,연제구 연산9동,2058,264,0.128
연제구,연제구 연산6동,724,92,0.127
금정구,금정구 서3동,456,57,0.125
부산진구,부산진구 당감1동,1294,161,0.124
서구,서구 서대신4동,400,50,0.124
남구,남구 용호1동,2157,265,0.123
수영구,수영구 망미1동,1425,176,0.123
부산진구,부산진구 연지동,600,73,0.122
서구,서구 아미동,436,53,0.122
동래구,동래구 명장1동,691,84,0.121
부산진구,부산진구 부암1동,1438,174,0.121
동래구,동래구 복산동,419,50,0.12
사하구,사하구 다대2동,1677,201,0.12
금정구,금정구 부곡4동,458,54,0.118
사상구,사상구 덕포1동,608,72,0.118
금정구,금정구 구서2동,1787,208,0.117
수영구,수영구 광안4동,866,100,0.116
동래구,동래구 사직2동,1418,163,0.115
북구,북구 구포1동,955,110,0.115
북구,북구 화명2동,1228,138,0.113
동구,동구 범일1동,529,59,0.111
북구,북구 구포2동,1543,170,0.11
동구,동구 좌천동,217,24,0.109
북구,북구 금곡동,2080,225,0.108
중구,중구 영주2동,337,36,0.107
부산진구,부산진구 범천2동,1278,136,0.106
금정구,금정구 장전1동,4015,421,0.105
부산진구,부산진구 가야2동,650,68,0.105
서구,서구 동대신1동,304,32,0.105
영도구,영도구 신선동,248,26,0.105
남구,남구 대연4동,692,71,0.103
남구,남구 대연1동,2440,246,0.101
금정구,금정구 부곡1동,335,34,0.1
해운대구,해운대구 재송2동,1363,136,0.1
북구,북구 만덕2동,1557,154,0.099
부산진구,부산진구 당감4동,504,49,0.098
중구,중구 보수동,880,86,0.098
해운대구,해운대구 좌2동,2486,244,0.098
북구,북구 만덕1동,839,81,0.097
부산진구,부산진구 개금3동,1596,152,0.095
부산진구,부산진구 개금1동,2047,193,0.094
부산진구,부산진구 부암3동,1273,118,0.093
해운대구,해운대구 반여2동,629,58,0.093
북구,북구 구포3동,1290,118,0.091
동래구,동래구 온천3동,2752,247,0.09
남구,남구 문현1동,530,47,0.089
사하구,사하구 괴정1동,990,87,0.088
사하구,사하구 하단1동,1932,169,0.088
북구,북구 화명1동,2570,223,0.087
해운대구,해운대구 반송2동,1030,88,0.085
해운대구,해운대구 좌3동,946,80,0.085
해운대구,해운대구 반여4동,632,52,0.082
부산진구,부산진구 당감2동,558,45,0.081
북구,북구 만덕3동,1020,82,0.08
사하구,사하구 괴정4동,770,62,0.08
수영구,수영구 광안1동,2110,164,0.078
동래구,동래구 명장2동,420,32,0.077
사하구,사하구 괴정2동,772,51,0.067
동구,동구 수정5동,251,16,0.064
연제구,연제구 거제4동,608,37,0.061
북구,북구 덕천3동,370,22,0.059
해운대구,해운대구 반여3동,361,19,0.053
연제구,연제구 연산3동,261,12,0.048
