공고ID,회사명,공고제목,직종대분류,직종중분류코드,직종코드,직종명,직종신뢰도,업종원문,시군구,고용형태,고용형태복수,요구학력,경력요건,최소연차,급여형태,연봉환산최소,연봉환산최대,채용인원,채용인원구분,마감구분,게재사이트수,부산확실도,대표URL
KR2026090700000056,엘티삼보 주식회사,직영반장채용,미용·여행·숙박·음식·경비·돌봄·청소,,,,약,,미상,계약직,N,미기재,경력,5,미기재,,,,없음,상시,1,강,https://www.worker.co.kr/job/view.asp?jobid=all&no=1409241
KR2026090700000113,계룡건설산업(주),[계룡건설산업(주)] 쿠팡 부산FC 신축건설공사 현장(설계 직원 채용),연구·공학기술,,,,약,,미상,미기재,,미기재,무관,0,미기재,,,,없음,기한,1,약,https://www.worker.co.kr/job/view.asp?jobid=all&no=1412039
KR2026090700000120,현대엔지니어링㈜,현대엔지니어링 자산관리사업본부 순회사무소 경력직(계약직) 인재영입,경영·사무·금융·보험,,,,약,,강서구,계약직,N,미기재,경력,3,미기재,,,,없음,기한,3,강,https://www.jobkorea.co.kr/Recruit/GI_Read/49901079
KR2026090700000138,한국환경공단,2026년도 한국환경공단 신입직원 채용,연구·공학기술,,,,약,,미상,정규직,N,미기재,신입,0,미기재,,,231,명시,기한,3,중,https://www.worker.co.kr/job/view.asp?jobid=all&no=1412306
KR2026090700000148,(주)세보엠이씨,2026년 하반기 세보엠이씨/에스비테크 신입/경력사원 정규직 공개채용,미분류,,,,미분류,기타제조업,미상,정규직,N,전문대졸,무관,0,면접후결정,,,1,명시,기한,2,중,https://www.worker.co.kr/job/view.asp?jobid=all&no=1412425
KR2026090700000245,주식회사 인우건축사사무소,토목분야(건설사업관리) 중급이상 단기모집,연구·공학기술,,,,약,,미상,미기재,,미기재,무관,0,연봉,,,,없음,기한,1,강,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412964
KR2026090700000249,(주)아이엔지그룹건축사사무소,남양주 LH 건설사업관리(토목:중급이상) 경력 우대(긴급),연구·공학기술,,,,약,,미상,정규직,N,미기재,경력,5,미기재,,,,없음,상시,1,강,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412974
KR2026090700000250,(주)아이엔지그룹건축사사무소,건설사업관리(기계:고급이상) PQ대기,연구·공학기술,,,,약,,미상,정규직,N,미기재,경력,10,미기재,,,,없음,상시,1,강,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412975
KR2026090700000251,(주)아이엔지그룹건축사사무소,교육연구시설 건설사업관리(토목:고급) 경력 우대(긴급),연구·공학기술,,,,약,,미상,정규직,N,미기재,경력,10,미기재,,,,없음,상시,1,강,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412976
KR2026090700000252,(주)아이엔지그룹건축사사무소,부산 (건축:고급이상) 건설사업관리 경력2년 이상,연구·공학기술,,,,약,,미상,정규직,N,미기재,경력,10,미기재,,,,없음,상시,1,강,https://www.worker.co.kr/job/view.asp?jobid=ccp&no=1412977
