직무토큰,건수,직종코드,메모,후보1,후보2,후보3,예시1,예시2,예시3
엔지니어,69,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),,,방위산업 분야 엔지니어 채용,(주)대주 부산지사 기술 엔지니어 신입 및 경력 공개 채용,머신비전 어플리케이션 엔지니어(FA 공장자동화)
팀장,32,,,,,,[BS길종합병원] 시설팀장 모집공고,무이재한방병원 (부산점) 대외협력팀 팀장 채용,부산 KB손해보험 팀장 공개 채용
영업직,24,,,613904 기타 영업원,613900 기타 영업원,613200 제품 영업원,땡겨요 공식협력사 프리랜서 영업직 채용,[SBI Cosmoney] 김해지점 베트남 영업직 채용(Vietnam Sales,킨코스코리아㈜ 백엔드 중심 Product Engineer / 법인영업팀 영업직 
실장,23,,,,,,부동산 기초부터 배우실 실장님 모집합니다,웨딩드레스샵 메이크업직원구인(경력),스튜디오 실장님 모집공고
현장관리,18,,,901502 식물 관리원,542000 건물 관리원,511300 네일 관리사(손톱 관리사),건설 철거 해체 현장 관리자 공고 채용(경력필수),실내인테리어 현장관리소장  채용 - 정규직,실내인테리어  현장관리소장 모집합니다. (경력필)
출고,17,,,,,,철판 상하차 및 샤링절단원 모집,출하관리 담당 팀원(사원급) 채용,철판 상하차 및 철판 절단 직원 모집
유지보수,15,,,705200 철로 설치 및 보수원,702901 건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),306700 재활공학 기사(의지보조기기사),[경남 양산] IT Helpdesk(유지보수) 신입/경력 채용,[반얀트리 부산 해운대] 각 분야별 신입 및 경력직 공개 채용,CCTV 유지보수 외근직 경력무관 채용(정규직)
원장,15,,,,,,"동래 래미안포레스티지 재능공부방 원장님 모집(가맹비,보증금NO",전대성한의원에서 주5일 근무 직원을 모십니다,풍원장 고기정찬 엄궁점 홀 정직원 모집
pm,15,,,,,,[전국] 지열공사 현장대리인 PM 경력사원 모집,2026년 주식회사 세선 공개 채용 - PM,"대한민국 브랜드 성장의 기준, 디자인 PM 동료모집"
수의테크니션,15,,,302000 수의사,307700 수의사 보조원,,[부산]서동 동물메디컬센터 수의테크니션 구인합니다,[사직동물의료센터] 수의 테크니션 선생님 모집합니다.,서면큐외과동물병원에서 수의 테크니션 선생님 모집합니다
ai,13,,,,,,(주)비앤비스틸 AI 로보틱스 사업부 로봇 테스트 실증 실무자,[K-뉴딜] CJ올리브네트웍스 L.L.M. 아카데미,"금융사 생성형 AI 플랫폼 구축 TA (부산, 8MM)"
플랫폼,11,,,,,,패션/인플루언서 플랫폼 에디터 상시 채용,"금융사 생성형 AI 플랫폼 구축 TA (부산, 8MM)",[신입] 상품소싱 & 플랫폼 딜 AMD(부엠디) 채용
세일즈,11,,,,,,[격주4일] 아크레도 부산점 주얼리 세일즈 확장 충원모집,[F45서면] 글로벌 그룹트레이닝 프리랜서 코치 채용,[㈜아난티]회원권 세일즈 담당자 모집
운영관리,10,,,136200 웹 운영자(홈페이지 관리자),901502 식물 관리원,542000 건물 관리원,코리아인스트루먼트(주) KOLAS 교정기관 운영관리팀 채용공고,[재택 부업 가능] 마이픽잉글리쉬 코칭플래너 모집,(주)서용엔지니어링-2026년 관망관리 인원 채용(부산)
관리직,9,,,901502 식물 관리원,542000 건물 관리원,511300 네일 관리사(손톱 관리사),어린이수영장 관리직원  모집,부산신항만 내 냉동 컨테이너 관리직(주야근 교대),(정규직) 외국인 선원 관리직 직원 모집 합니다
세척,7,,,,,,업소용 냉장고 단순 세척 하실분,"페어필드 바이 메리어트 송도  스튜어딩(식기세척,기물관리)",[연세미래IFC] 내시경실 파트별(채혈·세척·회복·이송) 채용
