공고ID,직종코드,메모,공고제목,직무토큰,회사명,업종,시군구,대표URL
KR2026090700023424,,,[부울경 광역이음 일자리박람회 참가업체] ㈜강남 ...,(주)강남,（주）강남,자동차·조선·철강·항공,사하구,https://www.jobkorea.co.kr/Recruit/GI_Read/5584447/Ext?siteCode=WN&sc=
KR2026090700142439,,,**해운대구 반송 활동지원사 구인**,**해운대구반송활동지원사구인**,미소돌봄장기요양센터,기업형태,해운대구,https://www.jobkorea.co.kr/Recruit/GI_Read/5589344/Ext?siteCode=WN&sc=
KR2026090700018013,,,"상업,병의원 실내인테리어 현장소장 모집합니다.",1.인테리어,㈜디자인하이츠,"도배, 실내장식 및 내장 목공사업",금정구,https://www.jobkorea.co.kr/Recruit/GI_Read/49910772
KR2026090700001556,,,2026년도 모자보건사업 기간제 근로자 채용 공고,1400만원이하,부산광역시사상구보건소,,,https://job.nurscape.net/Jobs/Details/596765
KR2026090700055405,,,"파란손해사정 대인,재물,대물 조사인력(서울,천안,대전,광주,대구,부산)",1종조사직,파란손해사정㈜,,영등포구,https://www.jobkorea.co.kr/Recruit/GI_Read/49884534
KR2026090700017264,,,2026년도 하반기 영화의전당 통합채용 공고,2026년도하반기영화의전당통합채용,(재)영화의전당,공연시설 운영업,해운대구,https://www.jobkorea.co.kr/Recruit/GI_Read/49918926
KR2026090700016880,,,(암남동) 2등급 70세 남자어르신 주5일 10시...,2등급70세남자어르신주5일10시,부모사랑노인복지센터,,서구,https://www.jobkorea.co.kr/Recruit/GI_Read/5610762/Ext?siteCode=WN&sc=
KR2026090700020072,,,(괴정동)2등급 80대 여자어르신 주6일 오전 9...,2등급80대여자어르신주6일오전9,효드림노인재가센터,기업형태,사하구,https://www.jobkorea.co.kr/Recruit/GI_Read/5599151/Ext?siteCode=WN&sc=
KR2026090700142600,,,"[다대4지구] 2등급 남자어르신(84세), 주 5...","2등급남자어르신(84세), 2등급남자어르신, 주5",선행노인재가복지센터,,사하구,https://www.jobkorea.co.kr/Recruit/GI_Read/5561723/Ext?siteCode=WN&sc=
KR2026090700142265,,,[초량동] 3등급 70대 할머니 /오전 9시~12...,"3등급70대할머니, 오전9시~12",다은재가복지센터,,동구,https://www.jobkorea.co.kr/Recruit/GI_Read/5612008/Ext?siteCode=WN&sc=
KR2026090700029518,,,"3등급 79세 어르신(남성),4등급 78세(여성)...","3등급79세어르신(남성), 3등급79세어르신, 4등급78세(여성), 4등급78세",사랑재가복지센터,,사하구,https://www.jobkorea.co.kr/Recruit/GI_Read/5541140/Ext?siteCode=WN&sc=
KR2026090700142552,,,"[범일동] 3등급 80세 할아버지, 4등급 할머니...","3등급80세할아버지, 4등급할머니",한아름노인복지센터,,동구,https://www.jobkorea.co.kr/Recruit/GI_Read/5571858/Ext?siteCode=WN&sc=
KR2026090700142686,,,[거제동] 3등급 90세 독거 할머니 / 09:0...,"3등급90세독거할머니, 09:0",참사랑재가복지센터,,연제구,https://www.jobkorea.co.kr/Recruit/GI_Read/5531155/Ext?siteCode=WN&sc=
KR2026090700030868,,,[수영동] 3등급 91세 할머니 / 09:00~1...,"3등급91세할머니, 09:00~1",해누리재가복지센터,,수영구,https://www.jobkorea.co.kr/Recruit/GI_Read/5517596/Ext?siteCode=WN&sc=
KR2026090700029087,,,[부산 화명동] 3등급 남자 어르신 돌봐주실 요양...,3등급남자어르신돌봐주실요양,로뎀나무재가노인복지센터,,북구,https://www.jobkorea.co.kr/Recruit/GI_Read/5548118/Ext?siteCode=WN&sc=
KR2026090700142280,,,[부암동] 3등급 여자어르신 오전 주5일 재가 요...,3등급여자어르신오전주5일재가요,효향재활주간보호시설,,부산진구,https://www.jobkorea.co.kr/Recruit/GI_Read/5607528/Ext?siteCode=WN&sc=
KR2026090700029983,,,[다대 현대]3등급 여자어르신 주5일(3시간*3일...,3등급여자어르신주5일3시간*3일,가나안재가노인복지센터,,사하구,https://www.jobkorea.co.kr/Recruit/GI_Read/5533030/Ext?siteCode=WN&sc=
