시군구,공고수,경영·사무·금융·보험,설치·정비·생산,미용·여행·숙박·음식·경비·돌봄·청소,보건·의료,영업·판매·운전·운송,연구·공학기술,교육·법률·사회복지·경찰·소방·군인,예술·디자인·방송·스포츠,건설·채굴,농림어업,미분류
강서구,3839,919,1314,170,128,438,440,98,59,11,14,248
해운대구,2960,580,138,573,335,295,277,184,166,5,0,407
부산진구,2526,578,94,413,408,243,138,160,124,3,0,365
미상,1935,527,205,89,115,380,210,42,44,4,1,318
기장군,1749,345,448,256,137,163,139,73,29,13,4,142
사상구,1745,345,520,158,137,199,147,50,43,5,11,130
사하구,1476,253,366,192,235,117,90,69,26,6,9,113
동래구,1220,172,45,202,307,80,74,143,37,5,5,150
남구,1211,262,76,198,183,117,107,77,41,2,1,147
금정구,1101,226,151,156,187,108,79,59,51,3,2,79
연제구,1059,226,44,152,209,78,61,102,37,0,0,150
수영구,1039,194,45,248,198,67,52,80,41,1,2,111
동구,871,240,46,166,120,81,77,28,27,0,0,86
북구,807,100,41,172,229,40,43,72,22,1,0,87
중구,696,249,16,133,73,77,33,14,19,2,0,80
서구,459,84,54,105,82,47,13,25,17,0,0,32
영도구,442,95,70,97,53,30,42,22,8,2,2,21
