직종13분류,공고수,비중,채용인원합,학력명시,대졸이상요구율,경력명시,신입가능율,정규직율,연봉명시,연봉명시율,연봉중앙값
경영·사무·금융·보험직,6623,27.8%,7390,6119,28.3%,6417,60.6%,81.0%,2458,37.1%,3072
미용·여행·숙박·음식·경비·청소직,3869,16.2%,3483,3742,5.0%,3830,76.5%,74.4%,2495,64.5%,2592
설치·정비·생산직,3615,15.2%,4152,3470,8.8%,3534,65.7%,83.0%,1903,52.6%,3000
보건·의료직,3394,14.2%,3174,3361,41.7%,3376,67.9%,89.5%,497,14.6%,3000
교육·법률·사회복지·경찰·소방직 및 군인,1416,5.9%,1419,1389,56.5%,1412,66.1%,59.5%,620,43.8%,2772
영업·판매직,1366,5.7%,1340,1262,28.8%,1309,66.5%,81.5%,408,29.9%,3300
연구직 및 공학기술직,1331,5.6%,1576,1256,44.3%,1296,46.0%,85.4%,455,34.2%,3600
예술·디자인·방송·스포츠직,871,3.7%,904,832,23.6%,851,54.2%,77.8%,305,35.0%,3000
운전·운송직,660,2.8%,801,575,3.8%,638,75.2%,74.4%,475,72.0%,3600
정보통신관련직,405,1.7%,422,330,45.8%,363,32.5%,84.8%,72,17.8%,3300
재료·화학·섬유·가스·에너지·환경관련직,157,0.7%,104,156,1.9%,156,59.6%,87.2%,56,35.7%,2588
건설·채굴직,73,0.3%,117,69,11.6%,72,61.1%,65.3%,42,57.5%,3600
농림어업직,56,0.2%,58,54,7.4%,56,80.4%,62.5%,41,73.2%,2964
미분류,1299,,1514,1028,21.8%,1139,66.3%,76.8%,480,37.0%,3000
