직종대분류,공고수,비중,채용인원합,학력명시,대졸이상요구율,경력명시,신입가능율,정규직율,연봉명시,연봉명시율,연봉중앙값
경영·사무·금융·보험,5204,23.5%,5448,4659,30.4%,5014,59.4%,81.6%,1832,35.2%,3000
미용·여행·숙박·음식·경비·돌봄·청소,3403,15.4%,3014,3218,4.1%,3359,77.3%,74.4%,2293,67.4%,2588
설치·정비·생산,3375,15.3%,4020,3167,7.6%,3251,63.2%,85.2%,1736,51.4%,3000
보건·의료,3066,13.9%,2855,2998,42.0%,3020,67.2%,89.4%,445,14.5%,3000
영업·판매·운전·운송,2734,12.4%,3193,2349,21.9%,2643,67.7%,80.4%,1194,43.7%,3480
연구·공학기술,2021,9.1%,2018,1838,45.8%,1944,46.5%,84.8%,582,28.8%,3500
교육·법률·사회복지·경찰·소방·군인,1312,5.9%,1226,1267,55.2%,1306,65.3%,59.4%,567,43.2%,2760
예술·디자인·방송·스포츠,859,3.9%,913,803,21.3%,835,57.6%,77.6%,307,35.7%,3000
농림어업,76,0.3%,76,73,8.2%,76,73.7%,73.7%,49,64.5%,3009
건설·채굴,66,0.3%,110,60,11.7%,65,63.1%,67.7%,37,56.1%,3600
미분류,3129,,3245,2613,21.6%,2896,68.2%,77.7%,962,30.7%,3000
