공고ID,직종코드,메모
KR2026090700005376,026501,Claude 수작업 — 총무 및 일반 사무원
KR2026090700015103,420400,Claude 수작업 — 스포츠 강사 및 트레이너
KR2026090700015204,307500,Claude 수작업 — 간호조무사
KR2026090700015229,028100,Claude 수작업 — 무역 사무원
KR2026090700015315,702900,Claude 수작업 — 기타 건축 마감 관련 기능 종사원
KR2026090700015336,2142,Claude 수작업 — 상위 2142자리
KR2026090700015355,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700015372,813201,Claude 수작업 — CNC 선반 조작원(NC 선반 조작원)
KR2026090700015412,834002,Claude 수작업 — 빌딩 전기관리원
KR2026090700015443,026202,유제명 직접 — 영업 기획·관리·지원 사무원
KR2026090700015462,832906,Claude 수작업 — 영상·음향기기 등 기타 전기·전자 기기 설치·수리원
KR2026090700015473,133200,유제명 직접 — 응용 소프트웨어 개발자
KR2026090700015497,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700015509,614000,Claude 수작업 — 텔레마케터
KR2026090700015533,033201,Claude 수작업 — 보험 대리인 및 중개인
KR2026090700015602,029103,유제명 직접 — 호텔·콘도·숙박시설 프론트 사무원
KR2026090700015622,2147,Claude 수작업 — 상위 2147자리
KR2026090700015668,532202,Claude 수작업 — 일반 음식점 접객서빙원
KR2026090700015733,82,Claude 수작업 — 상위 82자리
KR2026090700015752,872100,Claude 수작업 — 정육 가공원 및 도축원
KR2026090700015789,153,Claude 수작업 — 상위 153자리
KR2026090700015882,2142,Claude 수작업 — 상위 2142자리
KR2026090700016145,015101,유제명 직접 — 영업 관리자(영업소장·지점장)
KR2026090700016378,306400,Claude 수작업 — 치과위생사
KR2026090700016403,214202,Claude 수작업 — 수학 강사
KR2026090700016544,872100,Claude 수작업 — 정육 가공원 및 도축원
KR2026090700016570,532201,Claude 수작업 — 호텔·레스토랑 웨이터·웨이트리스
KR2026090700016667,2147,Claude 수작업 — 상위 2147자리
KR2026090700016811,014200,유제명 직접 — 음식 서비스 관련 관리자
KR2026090700016820,029202,유제명 직접 — 콜센터 상담원(콜센터·고객센터·CS센터)
KR2026090700016825,306902,유제명 직접 — 운동처방사
KR2026090700016836,013903,Claude 수작업 — 빌딩 관리소장
KR2026090700016879,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700016893,026501,Claude 수작업 — 총무 및 일반 사무원
KR2026090700016907,561101,"유제명 직접 — 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
KR2026090700016929,615500,Claude 수작업 — 상품 대여원
KR2026090700016972,3,Claude 수작업 — 상위 3자리
KR2026090700017041,214701,Claude 수작업 — 미술 강사
KR2026090700017042,616101,Claude 수작업 — 매장 계산원
KR2026090700017094,155100,유제명 직접 — 가스·에너지 기술자 및 연구원
KR2026090700017100,032100,Claude 수작업 — 은행 사무원(출납창구 제외)
KR2026090700017127,028502,유제명 직접 — 생산관리 사무원(기계·자동차·금속)
KR2026090700017198,029205,유제명 직접 — 고객 상담원(스포츠·예식·항공·여행·숙박·오락)
KR2026090700017298,5,Claude 수작업 — 상위 5자리
KR2026090700017426,8900,Claude 수작업 — 상위 8900자리
KR2026090700017449,813200,Claude 수작업 — 금속 공작기계 조작원
