직종코드,직종명,대분류코드,대분류명,중분류코드,소분류코드,세분류코드,work24_13대분류코드,work24_13대분류명,work24_114중분류코드,work24_114중분류명,부모중복
011100,의회 의원,0,경영·사무·금융·보험,01,011,0111,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
011200,고위 공무원 및 정당‧특수 단체 임원,0,경영·사무·금융·보험,01,011,0112,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
011300,기업 대표 및 기업 고위 임원,0,경영·사무·금융·보험,01,011,0113,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
012100,정부 행정 관리자,0,경영·사무·금융·보험,01,012,0121,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
012200,경영지원 관리자,0,경영·사무·금융·보험,01,012,0122,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
012201,경영기획 부서장,0,경영·사무·금융·보험,01,012,0122,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
012202,인사·노무·교육·총무·감사 부서장,0,경영·사무·금융·보험,01,012,0122,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
012203,자재·구매 부서장,0,경영·사무·금융·보험,01,012,0122,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
012204,재무·회계·경리 부서장,0,경영·사무·금융·보험,01,012,0122,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
012205,기타 경영지원 서비스 관리자,0,경영·사무·금융·보험,01,012,0122,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
012300,마케팅 및 광고‧홍보 관리자(부서장),0,경영·사무·금융·보험,01,012,0123,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
012400,금융 및 보험 관리자(부서장),0,경영·사무·금융·보험,01,012,0124,01,경영·사무·금융·보험,011,행정·경영·금융·보험 관리직,N
013100,연구 관리자(부서장),0,경영·사무·금융·보험,01,013,0131,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
013200,교육 관리자(부서장),0,경영·사무·금융·보험,01,013,0132,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
013300,법률‧경찰‧소방 및 교도 관리자,0,경영·사무·금융·보험,01,013,0133,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
013400,보건 의료 관련 관리자(부서장),0,경영·사무·금융·보험,01,013,0134,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
013500,사회복지 관련 관리자(부서장),0,경영·사무·금융·보험,01,013,0135,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
013600,문화‧예술 관련 관리자(부서장),0,경영·사무·금융·보험,01,013,0136,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
013700,정보 통신 관련 관리자(부서장),0,경영·사무·금융·보험,01,013,0137,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
013900,기타 전문 서비스 관리자,0,경영·사무·금융·보험,01,013,0139,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
013901,부동산·임대업 관리자,0,경영·사무·금융·보험,01,013,0139,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
013902,아파트 관리소장,0,경영·사무·금융·보험,01,013,0139,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
013903,빌딩 관리소장,0,경영·사무·금융·보험,01,013,0139,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
013904,"조사, 인력공급·알선 및 기타 전문서비스 관리자(부서장)",0,경영·사무·금융·보험,01,013,0139,01,경영·사무·금융·보험,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,N
014100,숙박·여행·오락 및 스포츠 관련 관리자,0,경영·사무·금융·보험,01,014,0141,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
014101,미용·여행·숙박·오락 서비스 관리자,0,경영·사무·금융·보험,01,014,0141,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
014102,스포츠 관리자,0,경영·사무·금융·보험,01,014,0141,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
014200,음식 서비스 관련 관리자,0,경영·사무·금융·보험,01,014,0142,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
014300,환경·청소 및 경비 관련 관리자,0,경영·사무·금융·보험,01,014,0143,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
014301,경비 관리자,0,경영·사무·금융·보험,01,014,0143,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
014302,환경·청소 관리자,0,경영·사무·금융·보험,01,014,0143,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
015100,영업 및 판매 관련 관리자,0,경영·사무·금융·보험,01,015,0151,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
015101,영업 관리자(영업소장·지점장),0,경영·사무·금융·보험,01,015,0151,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
015102,판매 관리자(소규모 판매점장 제외),0,경영·사무·금융·보험,01,015,0151,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
015200,운송 관련 관리자(부서장),0,경영·사무·금융·보험,01,015,0152,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
015900,기타 판매 및 고객 서비스 관리자,0,경영·사무·금융·보험,01,015,0159,01,경영·사무·금융·보험,013,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직,N
016100,건설 및 광업 관련 관리자(부서장),0,경영·사무·금융·보험,01,016,0161,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
016200,전기·가스 및 수도 관련 관리자(부서장),0,경영·사무·금융·보험,01,016,0162,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
016300,제품 생산 관련 관리자,0,경영·사무·금융·보험,01,016,0163,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
016301,기계·금속·비금속 제조 관리자(공장장),0,경영·사무·금융·보험,01,016,0163,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
016302,화학 제조 관리자(공장장),0,경영·사무·금융·보험,01,016,0163,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
016303,섬유·의류 제조 관리자(공장장),0,경영·사무·금융·보험,01,016,0163,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
016304,전기·전자 제조 관리자(공장장),0,경영·사무·금융·보험,01,016,0163,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
016305,식품가공 제조 관리자(공장장),0,경영·사무·금융·보험,01,016,0163,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
016306,기타 제품 제조 관리자(공장장),0,경영·사무·금융·보험,01,016,0163,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
016900,기타 건설·전기 및 생산 관련 관리자,0,경영·사무·금융·보험,01,016,0169,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
016901,수리·정비 관리자(부서장),0,경영·사무·금융·보험,01,016,0169,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
016902,농림어업 및 기타 생산 관리자,0,경영·사무·금융·보험,01,016,0169,01,경영·사무·금융·보험,014,건설·채굴·제조·생산 관리직,N
021100,정부 행정 전문가,0,경영·사무·금융·보험,02,021,0211,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
021200,행정사,0,경영·사무·금융·보험,02,021,0212,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,Y
022100,"경영 및 진단 전문가(경영 컨설턴트, M&A·창업·인증심사·FTA)",0,경영·사무·금융·보험,02,022,0221,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
022201,인사·노무 전문가,0,경영·사무·금융·보험,02,022,0222,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
022202,HRD·교육·훈련 전문가,0,경영·사무·금융·보험,02,022,0222,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
023100,회계사,0,경영·사무·금융·보험,02,023,0231,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
023200,세무사,0,경영·사무·금융·보험,02,023,0232,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
023301,관세사,0,경영·사무·금융·보험,02,023,0233,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
023302,FTA 원산지관리사,0,경영·사무·금융·보험,02,023,0233,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
023400,감정 관련 전문가,0,경영·사무·금융·보험,02,023,0234,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
023401,감정평가사,0,경영·사무·금융·보험,02,023,0234,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
023402,감정사(문화재·보석·문서·음식료품 및 조향사),0,경영·사무·금융·보험,02,023,0234,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
024101,광고·홍보 전문가,0,경영·사무·금융·보험,02,024,0241,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
024102,마케팅 전문가,0,경영·사무·금융·보험,02,024,0241,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
024200,조사 전문가,0,경영·사무·금융·보험,02,024,0242,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
024301,상품 기획자,0,경영·사무·금융·보험,02,024,0243,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
024302,머천다이저(MD),0,경영·사무·금융·보험,02,024,0243,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
024400,행사·전시 및 회의 기획자,0,경영·사무·금융·보험,02,024,0244,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,N
024401,행사·이벤트 기획자,0,경영·사무·금융·보험,02,024,0244,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,Y
024402,전시·회의 기획자,0,경영·사무·금융·보험,02,024,0244,01,경영·사무·금융·보험,015,행정·경영·회계·광고·상품기획 전문가,Y
025100,조세 행정 사무원,0,경영·사무·금융·보험,02,025,0251,01,경영·사무·금융·보험,016,정부 행정 사무,N
025200,관세 행정 사무원,0,경영·사무·금융·보험,02,025,0252,01,경영·사무·금융·보험,016,정부 행정 사무,N
